,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,MATCHUPS_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_A,BLK_B,H/A_B,ELO_B,MATCHUPS_B,WINNER
0,113.66666666666667,96.0,0.47333333333333333,0.42533333333333334,0.8606666666666666,53.333333333333336,14.666666666666666,5.333333333333333,1.0,1517.0181592398574,1.0,108.33333333333333,114.0,0.4573333333333333,0.4023333333333334,0.7680000000000001,44.666666666666664,14.0,6.333333333333333,1.0,1478.01346700909,0.0,B
1,98.33333333333333,109.0,0.4183333333333333,0.18899999999999997,0.7566666666666667,42.333333333333336,12.0,5.0,0.0,1452.9191064537995,0.0,109.33333333333333,114.33333333333333,0.459,0.26966666666666667,0.8210000000000001,42.333333333333336,15.333333333333334,4.333333333333333,0.0,1516.0086961258305,1.0,B
2,106.0,93.0,0.439,0.291,0.7283333333333334,47.0,12.333333333333334,4.0,1.0,1578.1558335115842,1.0,109.5,114.5,0.467,0.3945,0.8065,39.75,15.25,4.75,1.0,1502.4040549957006,0.0,A
3,101.5,106.5,0.44125000000000003,0.275,0.8185,44.75,12.5,4.75,0.5,1507.1191600161349,1.0,102.0,111.0,0.4235,0.22824999999999998,0.7625,42.25,12.25,5.0,0.0,1436.5977674614694,0.0,B
4,100.25,91.0,0.427,0.29775,0.65725,45.5,14.0,4.25,1.0,1594.7378770441362,0.0,103.5,96.5,0.42775,0.27675,0.723,51.75,18.5,4.0,1.0,1526.5937256795548,1.0,A
5,110.0,97.25,0.4735,0.35575,0.7100000000000001,44.75,16.0,5.25,0.6666666666666666,1554.670233685564,1.0,90.75,104.75,0.417,0.334,0.7675,40.25,17.25,6.25,0.0,1436.8894497097874,0.0,A
6,104.0,112.6,0.434,0.28459999999999996,0.7236,47.6,15.6,3.4,0.0,1450.5368311507527,0.0,115.4,108.6,0.49119999999999997,0.3322,0.8004,43.6,15.6,6.2,0.5,1554.5912104738281,1.0,B
7,106.0,105.25,0.4285,0.31900000000000006,0.7609999999999999,52.25,18.0,5.0,0.6666666666666666,1472.664800864319,0.0,110.6,115.2,0.45680000000000004,0.3884,0.8262,42.4,15.2,5.4,0.3333333333333333,1490.3749756314255,1.0,B
8,101.5,98.75,0.4375,0.365,0.67275,46.25,15.25,6.5,1.0,1474.490911040579,0.0,105.2,95.6,0.4486,0.42119999999999996,0.8615999999999999,44.6,11.8,5.6,0.5,1538.4287378343602,1.0,B
9,114.4,104.0,0.46240000000000003,0.39099999999999996,0.7802,43.8,12.2,4.4,1.0,1561.2332428222423,1.0,102.8,95.4,0.466,0.2614,0.8202,45.2,13.4,3.8,1.0,1548.4972219287315,0.0,A
10,100.8,109.0,0.4506,0.35320000000000007,0.7266,40.0,12.8,5.4,0.5,1470.3105668103383,0.0,100.0,94.4,0.4492,0.355,0.7567999999999999,47.4,13.2,3.8,0.0,1516.575340115057,1.0,A
11,102.66666666666667,90.66666666666667,0.43333333333333335,0.313,0.7293333333333334,45.0,12.833333333333334,4.833333333333333,0.6666666666666666,1621.3236394486848,1.0,95.83333333333333,101.66666666666667,0.4004999999999999,0.3518333333333334,0.7541666666666665,44.0,16.5,5.5,0.0,1475.173023900734,0.0,B
12,102.57142857142857,97.14285714285714,0.44200000000000006,0.4008571428571428,0.8709999999999999,44.57142857142857,12.142857142857142,5.857142857142857,1.0,1543.3504618443856,1.0,99.66666666666667,102.5,0.45133333333333336,0.32883333333333337,0.7526666666666667,40.333333333333336,15.166666666666666,3.5,0.5,1465.3681377924456,0.0,A
13,102.8,95.4,0.466,0.2614,0.8202,45.2,13.4,3.8,1.0,1535.296745947296,1.0,105.5,105.16666666666667,0.428,0.339,0.7779999999999999,50.666666666666664,17.666666666666668,4.666666666666667,0.0,1477.7200685887149,0.0,A
14,101.6,100.4,0.458,0.3742,0.7484,43.0,15.8,5.4,0.0,1515.8247357479438,0.5,95.57142857142857,101.42857142857143,0.39799999999999996,0.3345714285714286,0.7625714285714285,44.0,16.0,5.428571428571429,0.6,1497.2946341406725,0.5,B
15,100.83333333333333,95.5,0.44783333333333336,0.2566666666666667,0.8125,44.833333333333336,12.166666666666666,4.0,1.0,1539.1573065088257,0.0,98.125,102.875,0.442125,0.33037500000000003,0.755875,40.625,14.625,3.625,0.5,1456.1321342738945,1.0,B
16,108.625,108.5,0.461,0.33287500000000003,0.8267500000000001,43.75,17.75,4.375,0.75,1496.2402225861827,0.0,102.71428571428571,97.85714285714286,0.4387142857142857,0.3194285714285714,0.7017142857142857,48.0,17.142857142857142,5.142857142857143,0.6666666666666666,1513.3205762647412,1.0,A
17,108.625,108.5,0.461,0.33287500000000003,0.8267500000000001,43.75,17.75,4.375,0.25,1501.379662897932,1.0,113.25,107.625,0.49874999999999997,0.348625,0.76575,41.875,16.0,5.375,0.75,1601.4811039370256,0.0,B
18,110.16666666666667,111.83333333333333,0.4876666666666667,0.3796666666666666,0.7376666666666667,40.333333333333336,12.666666666666666,5.833333333333333,0.3333333333333333,1505.858745464201,1.0,105.57142857142857,107.71428571428571,0.4511428571428572,0.31771428571428567,0.8217142857142858,45.714285714285715,17.285714285714285,4.0,0.6,1441.5515931605848,0.0,A
19,108.625,108.5,0.461,0.33287500000000003,0.8267500000000001,43.75,17.75,4.375,0.75,1482.378492603646,1.0,113.25,107.625,0.49874999999999997,0.348625,0.76575,41.875,16.0,5.375,0.75,1620.4822742313115,0.0,B
20,101.42857142857143,103.71428571428571,0.44985714285714284,0.3212857142857143,0.7821428571428571,44.285714285714285,16.0,4.714285714285714,0.0,1465.9454815274403,0.0,94.625,104.625,0.414625,0.30675,0.7151250000000001,42.875,12.25,4.875,0.5,1434.862345978587,1.0,A
21,105.125,88.25,0.447,0.34275,0.7458750000000001,46.375,12.0,5.375,1.0,1634.8506408732487,1.0,98.125,97.375,0.431,0.358375,0.7558750000000001,45.5,12.875,4.375,1.0,1502.9762325127035,0.0,B
22,104.375,108.0,0.44700000000000006,0.319625,0.807,45.0,17.375,4.0,0.0,1429.2684642982783,1.0,110.0,113.25,0.477125,0.401,0.742625,42.5,15.75,6.25,1.0,1460.300261401424,0.0,B
23,111.42857142857143,104.42857142857143,0.4418571428571429,0.3692857142857143,0.7884285714285715,43.857142857142854,11.857142857142858,4.0,1.0,1589.532888842113,1.0,96.5,107.125,0.42925,0.34625,0.706,43.125,17.625,6.0,0.16666666666666666,1421.0653644821525,0.0,A
24,108.625,99.25,0.47762499999999997,0.35650000000000004,0.6981250000000001,46.0,18.0,5.125,0.6666666666666666,1518.8713339349142,0.0,107.77777777777777,106.55555555555556,0.4668888888888889,0.33288888888888896,0.8156666666666668,43.55555555555556,18.11111111111111,4.111111111111111,0.75,1471.9446190217268,1.0,B
25,103.88888888888889,102.0,0.46366666666666667,0.3218888888888889,0.8006666666666666,45.22222222222222,15.555555555555555,5.222222222222222,0.3333333333333333,1504.136499260429,1.0,106.33333333333333,107.55555555555556,0.4502222222222223,0.3321111111111111,0.8136666666666668,46.111111111111114,17.333333333333332,4.666666666666667,0.6,1414.781438858928,0.0,A
26,95.5,98.5,0.42287499999999995,0.34475,0.6768749999999999,44.25,13.5,5.875,0.3333333333333333,1472.5903873511495,0.0,97.0,91.1,0.45170000000000005,0.3679,0.7455999999999998,43.4,12.6,5.6,0.6666666666666666,1560.4322821591866,1.0,A
27,92.33333333333333,102.66666666666667,0.4055555555555556,0.3171111111111111,0.7175555555555557,42.888888888888886,12.222222222222221,5.0,0.25,1438.1099129038914,1.0,96.44444444444444,108.22222222222223,0.4297777777777778,0.3498888888888889,0.6997777777777778,42.666666666666664,17.77777777777778,5.777777777777778,0.16666666666666666,1406.0281845053044,0.0,A
28,116.4,108.2,0.5048,0.3741,0.7947000000000001,42.2,15.9,5.6,0.8,1631.4310539126927,1.0,109.8,115.9,0.44089999999999996,0.30779999999999996,0.774,47.9,15.3,3.2,0.16666666666666666,1424.9233753628032,0.0,A
29,106.33333333333333,107.55555555555556,0.4502222222222223,0.3321111111111111,0.8136666666666668,46.111111111111114,17.333333333333332,4.666666666666667,0.25,1404.144240112901,0.0,103.88888888888889,102.0,0.46366666666666667,0.3218888888888889,0.8006666666666666,45.22222222222222,15.555555555555555,5.222222222222222,0.6666666666666666,1514.773698006456,1.0,B
30,99.0,94.9,0.44299999999999995,0.342,0.7611,45.0,12.1,4.9,1.0,1553.4837736787688,1.0,95.0,104.1,0.41850000000000004,0.33120000000000005,0.7258000000000001,42.4,12.0,5.2,0.4,1451.0759127013243,0.0,B
31,97.0,92.4,0.45830000000000004,0.37249999999999994,0.7573999999999999,41.6,12.1,5.0,0.625,1560.6566872192534,1.0,107.5,106.9,0.47139999999999993,0.35190000000000005,0.8212999999999999,43.9,17.4,4.3,0.75,1460.5569832400315,0.0,A
32,110.6,103.5,0.4466,0.3771,0.7497,45.3,12.4,4.9,1.0,1548.242347796923,1.0,106.5,101.4,0.46319999999999995,0.3002,0.8047000000000001,43.3,11.0,4.6,0.6666666666666666,1602.7660230902663,0.0,A
33,101.7,109.3,0.4361999999999999,0.2929,0.7499,44.0,13.7,6.3,0.16666666666666666,1460.9150150078135,0.0,97.5,101.9,0.4220999999999999,0.3215,0.7819999999999999,41.6,15.5,4.9,0.25,1508.3153653859138,1.0,B
34,92.3,102.1,0.4124,0.3179,0.7241000000000001,43.1,12.5,5.3,0.3333333333333333,1461.911846740528,1.0,100.1,104.6,0.4422,0.3105,0.7817,44.5,15.0,4.6,0.4,1464.8502024477993,0.0,A
35,110.6,103.5,0.4466,0.3771,0.7497,45.3,12.4,4.9,1.0,1555.884484349676,1.0,102.7,105.0,0.45620000000000005,0.3451,0.7636999999999999,45.6,14.0,5.8,0.6666666666666666,1507.2677248814812,0.0,A
36,111.1,109.1,0.4779,0.34490000000000004,0.8242,45.1,16.9,3.8,0.42857142857142855,1455.4050357090457,1.0,107.8,104.8,0.46469999999999995,0.36950000000000005,0.7411000000000001,43.9,17.4,4.8,0.6666666666666666,1558.338795914533,0.0,B
37,94.4,97.5,0.42269999999999996,0.3329,0.6771999999999998,44.3,14.4,6.2,0.25,1459.808423580993,0.0,107.2,98.1,0.4774999999999999,0.3462,0.6933,44.2,17.6,5.2,0.8571428571428571,1448.9914299699435,1.0,B
38,98.4,102.8,0.42590000000000006,0.33340000000000003,0.7958000000000001,41.4,15.9,4.0,0.6666666666666666,1516.4557895210346,0.0,106.5,111.7,0.43889999999999996,0.34340000000000004,0.7703,42.0,14.4,5.1,0.6,1487.441728811539,1.0,A
39,109.2,116.6,0.44560000000000005,0.32989999999999997,0.7705000000000002,47.0,15.4,3.3,0.14285714285714285,1401.7196355336148,0.0,111.1,109.1,0.4779,0.34490000000000004,0.8242,45.1,16.9,3.8,0.8,1437.9581874132473,1.0,A
40,107.2,98.1,0.4774999999999999,0.3462,0.6933,44.2,17.6,5.2,0.75,1458.435044262501,1.0,103.5,102.5,0.45709999999999995,0.31470000000000004,0.7984,45.4,15.5,4.9,0.6666666666666666,1525.9803796494414,0.0,A
41,105.1,105.8,0.4685,0.35519999999999996,0.7868999999999999,40.8,14.3,7.1,0.0,1492.760382489526,1.0,93.7,100.2,0.41669999999999996,0.3051,0.8016,40.3,12.0,3.8,0.3333333333333333,1407.8753155489017,0.0,B
42,102.3,102.6,0.4452,0.35940000000000005,0.7505999999999999,44.7,16.8,5.5,0.625,1543.5359510873923,1.0,108.7,104.4,0.45830000000000004,0.3773,0.7344,46.0,16.9,5.6,0.5,1575.7856442103314,0.0,B
43,103.7,97.3,0.43339999999999995,0.3281,0.8421,48.9,13.3,5.0,0.8,1515.9221009906541,1.0,93.2,95.2,0.41439999999999994,0.3312,0.6670999999999998,45.0,14.0,6.3,0.25,1437.3164200833962,0.0,A
44,105.5,99.8,0.44239999999999996,0.35530000000000006,0.7789999999999999,45.0,10.9,5.1,0.8,1545.90514449269,0.0,108.2,105.0,0.4394,0.3767,0.736,45.3,12.7,4.9,0.8571428571428571,1587.926731597207,1.0,B
45,108.7,104.4,0.45830000000000004,0.3773,0.7344,46.0,16.9,5.6,0.75,1580.7312191035999,1.0,93.7,100.2,0.41669999999999996,0.3051,0.8016,40.3,12.0,3.8,0.14285714285714285,1419.9497141917643,0.0,A
46,98.5,106.0,0.4258,0.3035,0.7636,43.9,14.0,6.7,0.16666666666666666,1430.7786619671256,0.0,110.8,115.6,0.4519,0.3297,0.7818000000000002,46.6,15.4,3.4,0.4,1408.9097190707325,1.0,A
47,105.9,113.0,0.4386,0.3478,0.7798999999999999,41.6,14.1,4.7,0.5,1474.6249025039322,0.0,110.7,96.1,0.47539999999999993,0.4102,0.7478999999999999,43.2,11.7,5.7,0.7142857142857143,1589.8759677503826,1.0,B
48,104.8,99.8,0.43859999999999993,0.35940000000000005,0.7623999999999999,44.3,11.0,4.5,0.8,1536.5341512235152,1.0,104.6,105.6,0.4670000000000001,0.3306,0.7773000000000001,41.0,14.8,7.2,0.75,1489.1739926465705,0.0,B
49,112.2,109.4,0.48250000000000004,0.37100000000000005,0.8260000000000002,45.5,16.1,3.7,0.42857142857142855,1424.724142823893,1.0,100.5,107.2,0.4452,0.35330000000000006,0.7666999999999999,42.6,14.6,3.7,0.3333333333333333,1461.548279787216,0.0,B
50,117.3,104.8,0.5088,0.389,0.7844000000000001,42.3,15.2,6.2,0.8571428571428571,1647.28169380669,1.0,101.9,106.3,0.44350000000000006,0.3228,0.7603,43.1,13.9,7.4,0.2857142857142857,1434.501365456612,0.0,A
51,105.5,112.8,0.44909999999999994,0.332,0.8046,43.3,17.6,4.5,0.6,1388.448717206427,0.0,112.2,109.4,0.48250000000000004,0.37100000000000005,0.8260000000000002,45.5,16.1,3.7,0.42857142857142855,1408.544996118672,1.0,A
52,105.2,108.2,0.4425,0.3588,0.7772,47.7,17.2,4.4,0.2,1431.3865182673862,0.0,105.6,111.6,0.43310000000000004,0.34719999999999995,0.7921999999999999,43.2,13.7,4.4,0.42857142857142855,1492.3011371976415,1.0,A
53,106.7,102.8,0.4417999999999999,0.3625,0.7541,44.6,11.7,4.1,0.6666666666666666,1513.0601670437186,0.0,102.6,104.0,0.4274,0.35090000000000005,0.7839999999999999,43.4,12.5,4.1,0.6666666666666666,1516.1058483835982,1.0,B
54,86.9,94.1,0.3922,0.3064,0.8049,39.9,12.6,4.0,0.125,1423.0310353842085,0.0,96.8,94.1,0.4584,0.3517,0.7535000000000001,42.5,11.9,4.8,0.4,1589.2480231539723,1.0,B
