,PTS_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,PTS_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_A,BLK_B,WINNER
0,100.0,0.363,0.27,0.649,45.0,15.0,6.0,98.0,0.398,0.286,0.833,47.0,14.0,9.0,B
1,107.0,0.456,0.278,0.833,45.0,24.0,3.0,83.0,0.298,0.345,0.821,28.0,10.0,3.0,B
2,117.0,0.516,0.368,0.667,37.0,9.0,3.0,131.0,0.531,0.4,0.773,54.0,12.0,3.0,B
3,87.0,0.391,0.192,0.609,47.0,16.0,5.0,104.0,0.415,0.28,0.613,51.0,12.0,7.0,A
4,126.0,0.455,0.364,0.774,46.0,16.0,6.0,105.0,0.433,0.297,0.714,55.0,15.0,5.0,B
5,101.0,0.392,0.273,0.727,52.0,17.0,5.0,112.0,0.446,0.421,0.636,41.0,11.0,9.0,B
6,128.0,0.44,0.351,0.931,54.0,17.0,10.0,112.0,0.43,0.44,0.724,52.0,12.0,4.0,A
7,100.0,0.432,0.303,0.7,38.0,9.0,5.0,108.0,0.429,0.316,0.889,46.0,11.0,2.0,A
8,100.0,0.488,0.185,0.682,39.0,19.0,5.0,111.0,0.566,0.385,0.538,57.0,20.0,7.0,B
9,107.0,0.379,0.333,0.786,56.0,11.0,9.0,121.0,0.543,0.559,0.875,44.0,12.0,2.0,A
10,116.0,0.489,0.424,0.6,43.0,10.0,7.0,112.0,0.469,0.269,0.744,40.0,14.0,15.0,A
11,112.0,0.424,0.333,0.75,37.0,12.0,7.0,98.0,0.398,0.286,0.833,47.0,14.0,9.0,B
12,104.0,0.4,0.368,0.744,49.0,16.0,0.0,107.0,0.456,0.278,0.833,45.0,24.0,3.0,B
13,107.0,0.379,0.333,0.786,56.0,11.0,9.0,108.0,0.442,0.269,0.944,58.0,21.0,7.0,A
14,117.0,0.516,0.368,0.667,37.0,9.0,3.0,96.0,0.3605,0.241,0.694,48.5,14.0,5.0,A
15,121.0,0.543,0.559,0.875,44.0,12.0,2.0,108.0,0.442,0.269,0.944,58.0,21.0,7.0,B
16,112.0,0.43,0.44,0.724,52.0,12.0,4.0,119.0,0.484,0.233,0.759,46.0,15.0,6.0,A
17,96.0,0.399,0.23700000000000002,0.6635,47.5,15.0,7.0,105.0,0.433,0.297,0.714,55.0,15.0,5.0,A
18,128.0,0.44,0.351,0.931,54.0,17.0,10.0,112.0,0.469,0.269,0.744,40.0,14.0,15.0,B
19,83.0,0.298,0.345,0.821,28.0,10.0,3.0,123.0,0.484,0.44699999999999995,0.7825,41.0,17.0,4.0,A
20,115.5,0.4835,0.391,0.6845,53.5,19.0,6.0,115.5,0.4285,0.3425,0.837,41.0,9.5,3.5,A
21,100.0,0.432,0.303,0.7,38.0,9.0,5.0,108.0,0.436,0.333,0.75,39.0,12.0,6.0,A
22,106.0,0.5015,0.359,0.621,49.0,18.5,5.0,119.5,0.4675,0.358,0.9159999999999999,43.0,12.5,4.5,B
23,116.0,0.4565,0.434,0.743,48.0,13.5,6.5,114.5,0.478,0.39749999999999996,0.6685,46.0,11.5,5.0,B
24,107.0,0.432,0.2625,0.7545,51.0,14.5,6.5,103.0,0.424,0.25,0.864,46.0,17.0,5.0,B
25,123.0,0.5185,0.384,0.6990000000000001,38.0,11.0,2.5,107.0,0.379,0.333,0.786,56.0,11.0,9.0,B
26,140.0,0.56,0.458,0.7045,53.0,14.0,3.5,103.0,0.41500000000000004,0.3545,0.7915,47.5,14.5,6.0,A
27,116.0,0.5025,0.3975,0.9165,50.5,18.5,6.5,112.0,0.469,0.269,0.744,40.0,14.0,15.0,A
28,112.0,0.43,0.44,0.724,52.0,12.0,4.0,106.0,0.5015,0.359,0.621,49.0,18.5,5.0,B
29,108.0,0.436,0.333,0.75,39.0,12.0,6.0,116.0,0.4565,0.434,0.743,48.0,13.5,6.5,A
30,121.0,0.543,0.559,0.875,44.0,12.0,2.0,117.0,0.482,0.2415,0.685,45.0,13.0,8.0,B
31,113.5,0.442,0.358,0.8029999999999999,46.0,15.0,1.0,103.5,0.4905,0.2925,0.7785,47.0,20.5,5.5,B
32,123.0,0.484,0.44699999999999995,0.7825,41.0,17.0,4.0,118.0,0.441,0.357,0.7085,45.5,15.0,5.5,A
33,110.66666666666667,0.42366666666666664,0.3426666666666667,0.7679999999999999,42.666666666666664,11.666666666666666,2.6666666666666665,107.0,0.392,0.30800000000000005,0.731,53.5,18.0,5.0,B
34,110.0,0.44766666666666666,0.3466666666666667,0.8029999999999999,49.333333333333336,13.0,5.333333333333333,115.5,0.4835,0.391,0.6845,53.5,19.0,6.0,B
35,100.0,0.432,0.303,0.7,38.0,9.0,5.0,112.0,0.475,0.37250000000000005,0.708,42.5,21.5,4.0,B
36,107.0,0.4205,0.4225,0.7595,34.5,13.5,3.5,123.0,0.5185,0.384,0.6990000000000001,38.0,11.0,2.5,B
37,119.5,0.4675,0.358,0.9159999999999999,43.0,12.5,4.5,114.5,0.478,0.39749999999999996,0.6685,46.0,11.5,5.0,B
38,107.0,0.379,0.333,0.786,56.0,11.0,9.0,117.0,0.482,0.2415,0.685,45.0,13.0,8.0,B
39,102.33333333333333,0.418,0.342,0.7000000000000001,48.0,15.333333333333334,7.0,124.5,0.488,0.41,0.8865000000000001,50.0,14.5,6.5,B
40,113.5,0.442,0.358,0.8029999999999999,46.0,15.0,1.0,110.5,0.41500000000000004,0.35,0.8235,47.5,13.5,4.5,B
41,96.0,0.3605,0.241,0.694,48.5,14.0,5.0,103.0,0.413,0.3486666666666666,0.754,50.333333333333336,15.333333333333334,4.333333333333333,B
42,110.66666666666667,0.42366666666666664,0.3426666666666667,0.7679999999999999,42.666666666666664,11.666666666666666,2.6666666666666665,116.0,0.5025,0.3975,0.9165,50.5,18.5,6.5,B
43,118.0,0.441,0.357,0.7085,45.5,15.0,5.5,103.0,0.41500000000000004,0.3545,0.7915,47.5,14.5,6.0,B
44,123.0,0.5185,0.384,0.6990000000000001,38.0,11.0,2.5,112.0,0.469,0.269,0.744,40.0,14.0,15.0,A
45,115.5,0.4835,0.391,0.6845,53.5,19.0,6.0,125.0,0.48633333333333334,0.4116666666666666,0.894,39.666666666666664,14.0,4.0,A
46,112.0,0.471,0.333,0.779,40.0,11.5,4.5,115.0,0.45133333333333336,0.4163333333333334,0.7126666666666667,45.333333333333336,13.0,8.333333333333334,B
47,115.33333333333333,0.4663333333333333,0.37999999999999995,0.7143333333333333,48.0,13.333333333333334,5.0,120.0,0.46599999999999997,0.3215,0.7175,40.0,12.5,6.5,A
48,106.33333333333333,0.486,0.33899999999999997,0.731,44.666666666666664,20.333333333333332,5.666666666666667,140.0,0.56,0.458,0.7045,53.0,14.0,3.5,B
49,115.0,0.45133333333333336,0.4163333333333334,0.7126666666666667,45.333333333333336,13.0,8.333333333333334,110.0,0.44766666666666666,0.3466666666666667,0.8029999999999999,49.333333333333336,13.0,5.333333333333333,B
50,110.0,0.425,0.4365,0.755,46.0,9.0,4.0,117.0,0.482,0.2415,0.685,45.0,13.0,8.0,A
51,114.66666666666667,0.519,0.46166666666666667,0.626,46.0,16.0,5.0,112.66666666666667,0.44966666666666666,0.36199999999999993,0.7496666666666666,47.0,16.0,1.3333333333333333,A
52,124.5,0.488,0.41,0.8865000000000001,50.0,14.5,6.5,108.66666666666667,0.41500000000000004,0.3133333333333334,0.722,52.0,17.333333333333332,7.0,B
53,103.0,0.413,0.3486666666666666,0.754,50.333333333333336,15.333333333333334,4.333333333333333,110.5,0.41500000000000004,0.35,0.8235,47.5,13.5,4.5,A
