,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,H/A_B,ELO_B,SCORE_A,SCORE_B
0,96.0,98.0,0.45,0.294,0.76,45.0,15.0,8.0,0.0,1475.2901567620593,85.0,99.0,0.368,0.16,0.63,45.0,15.0,11.0,0.0,1482.3392867942446,103,121
1,99.0,103.0,0.519,0.3945,0.6855,38.5,17.0,4.0,0.0,1494.7845930708204,76.0,96.0,0.345,0.417,0.571,44.0,14.0,3.0,0.0,1487.8015639390105,107,96
2,120.0,115.0,0.483,0.36,0.73,46.0,15.0,0.0,1.0,1484.2680380973416,96.5,97.5,0.4675,0.40900000000000003,0.779,37.5,19.5,3.5,0.5,1493.3401079454054,86,94
3,94.0,95.5,0.40249999999999997,0.3335,0.8415,42.0,20.0,6.0,0.0,1508.1435687980015,85.0,99.0,0.368,0.16,0.63,45.0,15.0,11.0,0.0,1497.17714237415,93,96
4,84.0,95.0,0.345,0.25,0.75,56.0,18.0,8.0,0.0,1503.3793308458191,96.0,98.0,0.45,0.294,0.76,45.0,15.0,8.0,0.0,1460.4523011821539,125,91
5,90.5,84.5,0.45599999999999996,0.259,0.6910000000000001,43.5,18.5,6.5,0.0,1496.8342726518572,102.0,112.0,0.417,0.25,0.824,40.0,9.0,5.0,0.0,1500.9876830729859,100,81
6,78.5,83.0,0.389,0.077,0.746,45.5,13.5,6.5,1.0,1483.5674848122446,105.5,110.0,0.443,0.385,0.6859999999999999,42.5,16.5,5.5,0.0,1496.924018913424,90,79
7,90.5,84.5,0.45599999999999996,0.259,0.6910000000000001,43.5,18.5,6.5,1.0,1512.884569090434,94.0,95.5,0.40249999999999997,0.3335,0.8415,42.0,20.0,6.0,0.0,1502.3255059958833,107,93
8,105.5,110.0,0.443,0.385,0.6859999999999999,42.5,16.5,5.5,0.0,1485.3660505798364,101.33333333333333,101.66666666666667,0.458,0.301,0.7309999999999999,44.333333333333336,16.666666666666668,6.0,0.5,1496.080777024814,111,101
9,98.0,94.0,0.468,0.25,0.786,46.0,18.0,5.0,1.0,1531.96306670947,88.0,97.5,0.404,0.385,0.6605,40.5,10.0,4.0,0.0,1477.0714270001806,103,96
10,103.5,115.5,0.405,0.305,0.746,44.5,12.5,0.5,1.0,1475.4894598653295,79.0,96.0,0.338,0.25,0.839,34.0,13.0,4.0,0.0,1484.2536733055183,101,98
11,98.5,101.5,0.5295000000000001,0.44799999999999995,0.8085,34.5,10.5,1.5,0.0,1473.925616119146,98.0,96.0,0.483,0.273,0.5,40.0,11.0,7.0,1.0,1487.9662287812896,129,125
12,96.66666666666667,96.0,0.446,0.2896666666666667,0.6836666666666668,43.0,15.666666666666666,7.0,0.5,1502.9952051762682,96.0,92.33333333333333,0.447,0.3416666666666666,0.711,55.333333333333336,18.666666666666668,5.666666666666667,0.0,1503.9773641753063,98,88
13,88.0,97.5,0.404,0.385,0.6605,40.5,10.0,4.0,1.0,1470.2752932648846,94.33333333333333,83.33333333333333,0.4043333333333334,0.36633333333333334,0.8723333333333333,46.0,13.666666666666666,2.3333333333333335,1.0,1524.3277588282783,101,99
14,96.5,97.5,0.4675,0.40900000000000003,0.779,37.5,19.5,3.5,0.5,1510.5095804536345,93.0,82.5,0.442,0.23199999999999998,0.6935,42.5,18.5,3.5,1.0,1523.6948917893606,89,101
15,99.0,103.0,0.519,0.3945,0.6855,38.5,17.0,4.0,1.0,1535.6295305404801,94.66666666666667,92.33333333333333,0.3953333333333333,0.3626666666666667,0.8276666666666667,45.0,18.0,7.666666666666667,1.0,1489.9590480803442,83,100
16,101.33333333333333,101.66666666666667,0.458,0.301,0.7309999999999999,44.333333333333336,16.666666666666668,6.0,0.0,1485.2908362594405,98.5,98.5,0.4315,0.2815,0.812,39.0,10.5,4.5,1.0,1499.792562962241,108,105
17,91.0,91.0,0.46399999999999997,0.309,0.6536666666666667,41.0,18.333333333333332,5.666666666666667,1.0,1525.2510270059731,94.5,89.5,0.44999999999999996,0.30300000000000005,0.84,43.0,17.5,8.0,0.0,1498.1655060905555,111,107
18,99.5,86.5,0.47850000000000004,0.236,0.6885,44.5,11.5,5.0,1.0,1538.759200444766,82.0,93.5,0.41900000000000004,0.0835,0.73,37.0,18.0,5.5,0.0,1473.124657253507,104,97
19,87.0,110.33333333333333,0.38766666666666666,0.24933333333333332,0.758,41.666666666666664,16.666666666666668,6.333333333333333,0.0,1430.401032339289,94.33333333333333,83.33333333333333,0.4043333333333334,0.36633333333333334,0.8723333333333333,46.0,13.666666666666666,2.3333333333333335,1.0,1518.498095178375,83,92
20,99.33333333333333,93.0,0.4776666666666667,0.5416666666666666,0.8390000000000001,34.666666666666664,14.333333333333334,6.666666666666667,1.0,1514.66343582551,97.0,86.5,0.4355,0.28500000000000003,0.6995,47.0,12.5,6.0,1.0,1530.6293344990543,92,110
21,81.0,87.33333333333333,0.40166666666666667,0.218,0.741,44.666666666666664,14.666666666666666,5.666666666666667,0.0,1486.6087689172434,105.33333333333333,105.66666666666667,0.43566666666666665,0.3793333333333333,0.6753333333333332,42.0,16.666666666666668,5.333333333333333,0.0,1496.15599134521,109,104
22,98.5,101.5,0.5295000000000001,0.44799999999999995,0.8085,34.5,10.5,1.5,0.0,1480.580174072408,101.66666666666667,99.0,0.4566666666666666,0.3233333333333333,0.673,38.666666666666664,13.0,5.333333333333333,0.0,1519.0247918390676,83,99
23,97.0,106.0,0.4445,0.273,0.7935000000000001,32.5,11.5,3.5,0.0,1472.7480254702054,103.5,115.5,0.405,0.305,0.746,44.5,12.5,0.5,0.0,1481.2615428634379,108,114
24,89.5,91.5,0.43700000000000006,0.375,0.7475,37.5,17.0,4.5,1.0,1478.48159030741,106.66666666666667,96.66666666666667,0.48266666666666663,0.49733333333333335,0.7719999999999999,37.0,13.666666666666666,4.333333333333333,1.0,1521.058232903456,92,89
25,96.66666666666667,96.0,0.446,0.2896666666666667,0.6836666666666668,43.0,15.666666666666666,7.0,0.5,1513.410240639071,97.0,106.0,0.4445,0.273,0.7935000000000001,32.5,11.5,3.5,0.0,1465.2557695241985,106,81
26,94.66666666666667,92.33333333333333,0.3953333333333333,0.3626666666666667,0.8276666666666667,45.0,18.0,7.666666666666667,1.0,1507.14897984373,91.0,91.0,0.46399999999999997,0.309,0.6536666666666667,41.0,18.333333333333332,5.666666666666667,0.0,1530.959657317167,97,106
27,101.66666666666667,100.66666666666667,0.5296666666666666,0.38066666666666665,0.7346666666666666,37.666666666666664,15.333333333333334,3.6666666666666665,1.0,1518.4395987770943,93.33333333333333,95.33333333333333,0.45966666666666667,0.34966666666666674,0.73,38.0,18.0,3.6666666666666665,0.0,1499.431605380568,104,96
28,106.66666666666667,96.66666666666667,0.48266666666666663,0.49733333333333335,0.7719999999999999,37.0,13.666666666666666,4.333333333333333,1.0,1514.5647436440584,101.66666666666667,99.0,0.4566666666666666,0.3233333333333333,0.673,38.666666666666664,13.0,5.333333333333333,0.0,1531.1608252854999,100,89
