,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,WINNER
0,129.0,100.0,0.48,0.5,0.885,55.0,14.0,3.0,1.0,1.0,1521.3333333333333,1,113.0,94.0,0.512,0.286,0.731,41.0,14.0,5.0,1.0,0.0,1515.8079983264533,1,A
1,117.0,122.0,0.443,0.341,0.8,44.0,16.0,3.0,0.0,0.0,1492.9626244758779,-1,130.0,121.0,0.505,0.526,0.765,52.0,16.0,6.0,1.0,0.0,1509.7338294702913,1,A
2,107.0,96.0,0.449,0.304,0.833,51.0,10.0,10.0,1.0,1.0,1511.011365163986,1,108.0,96.0,0.485,0.25,0.625,52.0,12.0,7.0,1.0,0.0,1511.6362151830538,1,A
3,91.0,109.0,0.417,0.182,0.773,40.0,14.0,0.0,0.0,0.0,1484.7694995991114,-1,96.0,108.0,0.382,0.333,0.786,45.0,11.0,4.0,0.0,0.0,1488.3637848169462,-1,A
4,104.0,113.0,0.488,0.333,1.0,31.0,14.0,5.0,0.0,0.0,1490.2661705297087,-1,120.0,114.0,0.506,0.343,0.818,39.0,16.0,4.0,1.0,0.0,1507.732728179727,1,A
5,114.0,120.0,0.512,0.241,0.704,39.0,15.0,1.0,0.0,0.0,1492.267271820273,-1,121.0,130.0,0.433,0.375,0.722,49.0,15.0,8.0,0.0,0.0,1490.2661705297087,-1,A
6,117.0,88.0,0.479,0.371,0.737,51.0,15.0,5.0,1.0,0.0,1521.3333333333333,1,109.0,91.0,0.477,0.167,0.828,51.0,12.0,0.0,1.0,1.0,1515.2305004008886,1,A
7,103.0,97.0,0.415,0.273,0.731,53.0,10.0,3.0,1.0,0.0,1507.732728179727,1,94.0,113.0,0.468,0.25,0.667,41.0,18.0,3.0,0.0,0.0,1484.1920016735467,-1,A
8,102.0,107.0,0.413,0.158,0.885,33.0,11.0,5.0,0.0,0.0,1492.9626244758779,-1,100.0,129.0,0.471,0.212,0.722,35.0,16.0,6.0,0.0,0.0,1478.6666666666667,-1,B
9,97.0,103.0,0.429,0.292,0.72,43.0,14.0,10.0,0.0,0.0,1492.267271820273,-1,114.0,99.0,0.5,0.462,0.778,52.0,21.0,7.0,1.0,0.0,1513.4634617453544,1,B
10,108.0,114.5,0.4415,0.1925,0.7685,41.0,13.0,5.0,0.0,0.0,1483.4005783716957,-2,115.5,97.0,0.46799999999999997,0.4165,0.887,47.5,12.0,5.5,1.0,0.0,1530.228945324123,2,B
11,112.0,112.0,0.4415,0.40900000000000003,0.7075,50.5,14.5,6.0,0.5,0.0,1499.3917395042931,-1,105.0,99.0,0.391,0.44,0.733,55.0,12.0,1.0,1.0,1.0,1507.9340023231098,1,B
12,102.0,98.0,0.45,0.458,0.704,45.0,13.0,11.0,1.0,0.0,1506.3243685250711,1,88.0,117.0,0.368,0.333,0.75,42.0,18.0,6.0,0.0,0.0,1478.6666666666667,-1,B
13,89.0,108.0,0.3645,0.3205,0.7265,44.5,10.0,3.5,0.0,0.0,1468.3846198162994,-2,105.5,89.5,0.4485,0.373,0.732,45.5,16.5,4.0,1.0,1.0,1526.7990739522659,2,B
14,96.0,107.0,0.424,0.188,0.75,46.0,8.0,5.0,0.0,0.0,1488.988634836014,-1,110.0,108.0,0.44,0.322,0.825,48.0,16.0,3.5,0.5,0.0,1503.3047144418763,1,A
15,103.5,98.0,0.456,0.293,0.7865,40.5,15.0,2.5,0.5,0.0,1506.9123863356635,-1,98.0,102.0,0.419,0.333,0.69,45.0,11.0,5.0,0.0,0.0,1493.6756314749289,-1,A
16,109.5,109.0,0.48950000000000005,0.453,0.875,41.0,13.5,3.5,0.5,0.0,1500.32696540704,-1,107.0,102.0,0.446,0.333,0.758,58.0,25.0,4.0,1.0,0.0,1507.0373755241221,1,A
17,102.0,93.5,0.4145,0.311,0.833,50.0,9.0,9.5,1.0,0.0,1518.7618746784667,2,110.5,111.0,0.5195000000000001,0.346,0.729,41.5,15.5,7.5,0.5,0.0,1499.1033732010123,-1,B
18,102.0,113.0,0.4575,0.2145,0.6615,42.5,16.5,3.0,0.0,0.0,1479.075950499392,-2,111.0,121.5,0.4775,0.2665,0.8075,42.0,15.0,4.0,0.5,1.0,1488.2287127708491,1,B
19,100.0,101.0,0.4505,0.2865,0.85,39.0,14.0,6.0,0.5,0.0,1499.2267203318695,1,114.0,106.0,0.407,0.276,0.696,48.0,8.0,4.0,1.0,0.0,1509.4068640632513,1,B
20,109.5,118.0,0.4355,0.3255,0.7775,41.5,12.5,5.0,0.0,0.0,1481.2535806926794,-2,110.0,109.0,0.4915,0.355,0.755,40.0,17.0,1.0,0.5,0.0,1501.2798616573023,1,B
21,99.5,96.5,0.4285,0.33099999999999996,0.6375,52.0,16.0,5.5,0.5,0.0,1503.885705668573,-1,109.66666666666667,91.0,0.4526666666666666,0.4166666666666667,0.8523333333333333,48.333333333333336,11.333333333333334,6.0,1.0,1.0,1543.4247546453414,3,B
22,99.5,95.5,0.46099999999999997,0.275,0.8029999999999999,46.5,13.0,2.0,0.5,1.0,1504.7486645997583,1,103.0,107.5,0.445,0.276,0.7915,45.0,11.0,5.0,0.5,0.0,1494.0777687370837,1,A
23,103.0,104.5,0.44,0.40900000000000003,0.756,42.5,12.5,6.5,0.5,1.0,1497.0378393871272,-1,99.0,114.0,0.426,0.3,0.722,40.0,19.0,4.0,0.0,0.0,1486.5365382546456,-1,A
24,108.0,103.5,0.416,0.2555,0.734,55.0,16.0,3.0,1.0,1.0,1512.8487793538816,2,104.5,105.0,0.4435,0.367,0.79,41.0,16.5,5.5,0.5,0.0,1498.7721783775662,-1,A
25,111.5,100.0,0.457,0.4345,0.819,51.0,12.0,3.5,1.0,0.0,1522.124442298076,2,109.33333333333333,108.66666666666667,0.44,0.32266666666666666,0.8236666666666667,47.0,16.666666666666668,4.333333333333333,0.3333333333333333,1.0,1498.2155805408065,-1,A
26,101.33333333333333,110.66666666666667,0.442,0.25899999999999995,0.681,45.0,15.0,4.0,0.0,0.0,1471.6016130683113,-3,101.0,90.5,0.4085,0.249,0.698,48.5,10.5,4.0,1.0,1.0,1521.2046502585624,2,B
27,104.33333333333333,99.66666666666667,0.457,0.31066666666666665,0.7776666666666667,37.333333333333336,14.333333333333334,3.3333333333333335,0.6666666666666666,1.0,1512.233762278461,1,109.0,85.5,0.497,0.356,0.7150000000000001,49.5,16.5,7.0,1.0,1.0,1534.626969975418,2,B
28,110.0,108.5,0.41300000000000003,0.29700000000000004,0.7765,59.5,21.0,4.5,0.5,1.0,1502.0856168620905,-1,100.0,92.5,0.433,0.20850000000000002,0.8859999999999999,51.0,15.0,1.5,0.5,0.5,1509.764759781956,-1,B
29,92.33333333333333,107.0,0.39366666666666666,0.309,0.6766666666666667,46.333333333333336,13.666666666666666,4.0,0.0,0.0,1462.2276108771396,-3,84.5,103.5,0.38949999999999996,0.28500000000000003,0.7264999999999999,41.0,17.0,7.5,0.0,0.0,1471.1037635902094,-2,A
30,108.75,93.0,0.45225,0.4515,0.85075,47.25,12.25,5.75,1.0,1.0,1550.6555190715962,4,91.66666666666667,96.66666666666667,0.4326666666666667,0.31366666666666665,0.823,40.333333333333336,15.333333333333334,4.666666666666667,0.3333333333333333,0.0,1487.4289341365584,-1,B
31,104.33333333333333,103.33333333333333,0.4676666666666667,0.355,0.7256666666666667,42.333333333333336,17.0,2.0,0.6666666666666666,0.5,1505.0289884867725,2,105.33333333333333,92.66666666666667,0.43533333333333335,0.3476666666666666,0.7323333333333334,43.666666666666664,14.0,4.666666666666667,1.0,1.0,1532.9560828914257,3,B
32,102.0,101.25,0.46275,0.34175,0.7542500000000001,37.5,15.5,4.0,0.5,0.5,1502.112448609183,-1,99.33333333333333,99.66666666666667,0.44,0.3373333333333333,0.6556666666666666,46.666666666666664,14.666666666666666,5.666666666666667,0.3333333333333333,0.0,1496.6549412423183,-2,B
33,99.0,91.33333333333333,0.455,0.26666666666666666,0.7853333333333333,50.333333333333336,14.0,2.6666666666666665,0.6666666666666666,1.0,1517.6882869908975,2,99.5,110.5,0.447,0.3095,0.6955,41.5,15.5,5.0,0.5,0.0,1487.9531958046107,1,A
34,109.33333333333333,114.33333333333333,0.459,0.26966666666666667,0.8210000000000001,42.333333333333336,15.333333333333334,4.333333333333333,0.6666666666666666,1.0,1495.70305020193,2,111.33333333333333,110.33333333333333,0.4793333333333334,0.4063333333333334,0.8213333333333334,42.333333333333336,14.333333333333334,5.0,0.6666666666666666,0.5,1505.2787240690716,1,A
35,101.66666666666667,107.66666666666667,0.4296666666666667,0.31766666666666665,0.7906666666666666,41.0,18.333333333333332,4.333333333333333,0.3333333333333333,0.0,1484.8743402852272,-2,108.33333333333333,114.0,0.4573333333333333,0.4023333333333334,0.7680000000000001,44.666666666666664,14.0,6.333333333333333,0.3333333333333333,1.0,1485.201299529327,-2,B
36,100.5,104.0,0.474,0.3255,0.7,40.5,12.5,5.0,0.0,0.0,1488.3542555321314,-2,106.0,104.0,0.441,0.434,0.7476666666666666,44.0,13.0,5.0,0.6666666666666666,0.0,1506.3989089955203,1,A
37,96.33333333333333,104.33333333333333,0.42700000000000005,0.26233333333333336,0.7896666666666666,43.333333333333336,11.333333333333334,4.666666666666667,0.3333333333333333,0.0,1481.1381463459445,-1,98.33333333333333,109.0,0.4183333333333333,0.18899999999999997,0.7566666666666667,42.333333333333336,12.0,5.0,0.0,0.0,1470.2047690504774,-3,A
