,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,PER_B,WINNER
0,100.0,103.0,0.488,0.185,0.682,39.0,19.0,5.0,0.0,0.0,1494.4093830498273,-1,13.249287221825773,126.0,107.0,0.455,0.364,0.774,46.0,16.0,6.0,1.0,0.0,1515.8079983264533,1,15.983951527673034,A
1,100.0,108.0,0.363,0.27,0.649,45.0,15.0,6.0,0.0,0.0,1490.9206891633037,-1,12.152002380275686,98.0,107.0,0.398,0.286,0.833,47.0,14.0,9.0,0.0,0.0,1490.2661705297087,-1,11.988021547119299,B
2,104.0,101.0,0.415,0.28,0.613,51.0,12.0,7.0,1.0,1.0,1505.5906169501727,1,14.817942948246927,112.0,113.0,0.446,0.421,0.636,41.0,11.0,9.0,0.0,0.0,1495.9580891559722,-1,18.570891033449126,B
3,123.0,117.0,0.519,0.481,0.737,44.0,17.0,4.0,1.0,0.0,1507.732728179727,1,18.779050931168793,108.0,100.0,0.442,0.269,0.944,58.0,21.0,7.0,1.0,0.0,1509.0793108366963,1,15.95737588602786,B
4,113.0,112.0,0.494,0.412,0.75,57.0,21.0,4.0,1.0,0.0,1504.0419108440278,1,15.793705103801774,111.0,83.0,0.566,0.385,0.538,57.0,20.0,7.0,1.0,0.0,1520.7983121346053,1,17.516020307449043,A
5,108.0,112.0,0.429,0.316,0.889,46.0,11.0,2.0,0.0,0.0,1493.6756314749289,-1,13.090725835509554,104.0,116.0,0.4,0.368,0.744,49.0,16.0,0.0,0.0,0.0,1488.3637848169462,-1,11.802877647683315,A
6,105.0,87.0,0.433,0.297,0.714,55.0,15.0,5.0,1.0,0.0,1515.2305004008886,1,15.762819364851303,116.0,104.0,0.489,0.424,0.6,43.0,10.0,7.0,1.0,1.0,1511.6362151830538,1,18.748383947063946,B
7,107.0,126.0,0.456,0.278,0.833,45.0,24.0,3.0,0.0,0.0,1484.1920016735467,-1,13.093426087348643,83.0,111.0,0.298,0.345,0.821,28.0,10.0,3.0,0.0,0.0,1479.2016878653947,-1,5.064971993827647,B
8,117.0,123.0,0.516,0.368,0.667,37.0,9.0,3.0,0.0,0.0,1492.267271820273,-1,13.13029469217024,131.0,112.0,0.531,0.4,0.773,54.0,12.0,3.0,1.0,0.0,1515.8079983264533,1,20.240354902324327,B
9,107.0,106.5,0.432,0.2625,0.7545,51.0,14.5,6.5,0.5,1.0,1501.473557003729,1,15.60054505963933,96.0,110.5,0.399,0.23700000000000002,0.6635,47.5,15.0,7.0,0.5,0.0,1481.85357561409,-1,13.66338812564837,A
10,112.0,131.0,0.424,0.333,0.75,37.0,12.0,7.0,0.0,0.0,1484.1920016735467,-1,14.73163977920486,119.0,128.0,0.484,0.233,0.759,46.0,15.0,6.0,0.0,0.0,1490.2661705297087,-1,17.8248483586143,A
11,108.0,127.0,0.436,0.333,0.75,39.0,12.0,6.0,0.0,0.0,1483.2959425953825,-1,13.721453037250814,103.0,100.0,0.424,0.25,0.864,46.0,17.0,5.0,1.0,0.0,1505.5906169501727,1,14.015581300270892,B
12,115.5,107.0,0.4285,0.3425,0.837,41.0,9.5,3.5,0.5,1.0,1510.589580767896,-1,18.16031169660894,103.0,100.0,0.4185,0.34299999999999997,0.707,52.0,15.5,5.5,0.5,0.0,1503.4400080056503,-1,14.42989626851528,B
13,107.0,108.0,0.392,0.30800000000000005,0.731,53.5,18.0,5.0,0.5,0.0,1498.5347778300527,1,13.536607743487519,116.0,100.5,0.4565,0.434,0.743,48.0,13.5,6.5,0.5,1.0,1519.695130492055,1,19.609099178748338,B
14,128.0,119.0,0.44,0.351,0.931,54.0,17.0,10.0,1.0,1.0,1509.7338294702913,1,21.5985480106214,112.0,108.0,0.43,0.44,0.724,52.0,12.0,4.0,1.0,0.0,1506.3243685250711,1,14.262818144945147,A
15,100.0,121.0,0.432,0.303,0.7,38.0,9.0,5.0,0.0,0.0,1483.052418543219,-1,18.523730878805964,119.5,117.5,0.4675,0.358,0.9159999999999999,43.0,12.5,4.5,0.5,0.0,1502.5783103197482,1,13.466031752150336,A
16,103.5,104.0,0.4905,0.2925,0.7785,47.0,20.5,5.5,0.5,0.0,1499.6278006083846,1,15.940794012122305,106.0,100.5,0.5015,0.359,0.621,49.0,18.5,5.0,0.5,1.0,1505.2363453021435,-1,17.73168887479994,B
17,107.0,98.0,0.379,0.333,0.786,56.0,11.0,9.0,1.0,0.0,1509.7338294702913,1,17.495025079088656,121.0,100.0,0.543,0.559,0.875,44.0,12.0,2.0,1.0,0.0,1516.947581456781,1,20.703357667601235,A
18,114.5,102.5,0.478,0.39749999999999996,0.6685,46.0,11.5,5.0,1.0,0.0,1523.426707578292,2,15.698181845925554,112.0,113.0,0.469,0.269,0.744,40.0,14.0,15.0,0.0,0.0,1495.8746052197746,-1,15.386895458066506,A
19,118.0,123.0,0.441,0.357,0.7085,45.5,15.0,5.5,0.5,1.0,1494.1443508175482,1,14.75595917487531,103.0,99.5,0.41500000000000004,0.3545,0.7915,47.5,14.5,6.0,0.5,0.5,1504.3586190704414,1,10.686169756202808,B
20,113.5,123.5,0.442,0.358,0.8029999999999999,46.0,15.0,1.0,0.0,0.0,1479.461105972127,-2,13.39278710712585,112.0,128.5,0.475,0.37250000000000005,0.708,42.5,21.5,4.0,0.0,0.0,1471.0932999731756,-2,18.075239824215643,B
21,113.0,94.5,0.4425,0.327,0.8069999999999999,55.0,14.5,7.5,1.0,1.0,1531.0871417385604,2,13.799717835249588,116.0,111.5,0.5025,0.3975,0.9165,50.5,18.5,6.5,1.0,1.0,1513.1012235460184,2,19.574333057094055,A
22,123.0,136.0,0.5185,0.384,0.6990000000000001,38.0,11.0,2.5,0.0,0.0,1477.2774611175998,-2,15.002976576828386,96.0,108.0,0.3605,0.241,0.694,48.5,14.0,5.0,0.0,0.0,1476.828240622571,-2,9.629731347249106,A
23,106.0,109.5,0.46,0.4205,0.752,42.0,15.5,3.0,0.5,0.0,1495.594269188512,-1,18.96543049556443,110.0,107.66666666666667,0.48699999999999993,0.3453333333333333,0.875,47.0,18.666666666666668,6.333333333333333,0.6666666666666666,1.0,1508.5842634453259,-1,11.624377198580532,B
24,110.0,114.5,0.425,0.4365,0.755,46.0,9.0,4.0,0.5,0.0,1494.2248237708973,-1,14.1370658523889,117.0,126.0,0.482,0.2415,0.685,45.0,13.0,8.0,0.0,0.0,1480.3138213857071,-2,15.818253172200846,A
25,102.33333333333333,112.33333333333333,0.418,0.342,0.7000000000000001,48.0,15.333333333333334,7.0,0.3333333333333333,0.0,1478.0986104540093,-2,13.380183359130625,103.0,100.33333333333333,0.413,0.3486666666666666,0.754,50.333333333333336,15.333333333333334,4.333333333333333,0.6666666666666666,1.0,1508.3996566004776,1,15.179281204362704,A
26,124.5,113.5,0.488,0.41,0.8865000000000001,50.0,14.5,6.5,1.0,1.0,1521.8333742244652,2,21.427120552169427,112.5,115.0,0.4425,0.30100000000000005,0.7785,38.5,12.5,12.0,0.0,0.0,1490.176318632396,-2,17.591070968541935,B
27,107.0,114.0,0.4205,0.4225,0.7595,34.5,13.5,3.5,0.5,0.0,1492.3003895657657,1,14.552947501092996,123.0,120.5,0.484,0.44699999999999995,0.7825,41.0,17.0,4.0,0.5,0.0,1503.710815470405,-1,19.619755730156378,A
28,115.5,106.5,0.4835,0.391,0.6845,53.5,19.0,6.0,1.0,1.0,1519.6038776764897,2,18.690748645431125,110.66666666666667,105.66666666666667,0.42366666666666664,0.3426666666666667,0.7679999999999999,42.666666666666664,11.666666666666666,2.6666666666666665,0.3333333333333333,0.0,1505.6299321730687,-2,17.20378814335006,A
29,120.0,128.5,0.46599999999999997,0.3215,0.7175,40.0,12.5,6.5,0.5,1.0,1489.8378361295747,1,23.00680439128137,112.0,122.5,0.471,0.333,0.779,40.0,11.5,4.5,0.0,0.0,1478.852954303973,-2,10.766953596290262,A
30,114.66666666666667,104.33333333333333,0.519,0.46166666666666667,0.626,46.0,16.0,5.0,0.6666666666666666,0.0,1521.2802285113166,1,17.5157521796107,125.0,125.0,0.48633333333333334,0.4116666666666666,0.894,39.666666666666664,14.0,4.0,0.3333333333333333,1.0,1495.7928927333924,-1,19.419957845928376,B
