,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
25,1629027,26,Trae Young,ATL,81,2503,525,1256,0.418,156,482,0.324,343,414,0.829,64,237,301,653,72,15,308,140,1549,1480,2.12,0.23
60,1628381,61,John Collins,ATL,61,1828,465,831,0.56,55,158,0.348,203,266,0.763,219,376,595,121,22,39,120,199,1188,1416,1.01,0.18
114,203458,115,Alex Len,ATL,77,1544,320,648,0.494,74,204,0.363,140,216,0.648,158,266,424,86,27,69,97,200,854,959,0.89,0.28
129,203145,129,Kent Bazemore,ATL,67,1643,278,691,0.402,96,300,0.32,127,175,0.726,37,224,261,152,89,42,121,170,779,741,1.26,0.74
138,1627752,139,Taurean Prince,ATL,55,1552,262,594,0.441,123,315,0.39,95,116,0.819,22,177,199,118,53,19,100,141,742,678,1.18,0.53
142,1628989,143,Kevin Huerter,ATL,75,2049,275,657,0.419,136,353,0.385,41,56,0.732,60,185,245,214,65,25,109,155,727,770,1.96,0.6
158,203473,159,Dewayne Dedmon,ATL,64,1609,259,526,0.492,83,217,0.382,92,113,0.814,105,375,480,90,69,71,84,214,693,1031,1.07,0.82
159,1627761,160,DeAndre' Bembry,ATL,82,1931,275,616,0.446,50,173,0.289,87,136,0.64,54,304,358,202,105,41,142,190,687,861,1.42,0.74
192,1713,193,Vince Carter,ATL,76,1330,196,468,0.419,123,316,0.389,47,66,0.712,31,163,194,87,44,27,48,141,562,575,1.81,0.92
313,1629016,314,Omari Spellman,ATL,46,805,98,244,0.402,44,128,0.344,32,45,0.711,72,122,194,47,26,25,31,67,272,374,1.52,0.84
361,1626147,362,Justin Anderson,ATL,48,464,64,157,0.408,24,77,0.312,26,35,0.743,24,60,84,23,22,13,23,48,178,195,1.0,0.96
403,1629121,404,Jaylen Adams,ATL,34,428,38,110,0.345,25,74,0.338,7,9,0.778,11,49,60,65,14,5,28,45,108,150,2.32,0.5
404,1627816,405,Alex Poythress,ATL,21,305,40,81,0.494,9,23,0.391,18,29,0.621,29,47,76,17,4,10,13,47,107,149,1.31,0.31
418,203101,418,Miles Plumlee,ATL,18,173,32,48,0.667,0,0,0.0,16,30,0.533,16,23,39,17,6,4,10,14,80,106,1.7,0.6
431,1627772,432,Daniel Hamilton,ATL,19,204,23,60,0.383,8,23,0.348,3,6,0.5,10,37,47,22,6,1,16,19,57,77,1.38,0.38
455,1627738,456,Deyonta Davis,ATL,9,118,15,22,0.682,0,1,0.0,6,10,0.6,10,26,36,5,3,5,3,12,36,71,1.67,1.0
486,1629353,487,Isaac Humphries,ATL,5,56,6,21,0.286,3,11,0.273,0,0,0.0,4,7,11,0,1,0,0,7,15,12,0.0,0.0
511,1626296,511,Jordan Sibert,ATL,1,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,0.0,0.0
