,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
13,1626156,14,D'Angelo Russell,BKN,81,2448,659,1517,0.434,234,635,0.369,160,205,0.78,53,262,315,563,100,20,253,141,1712,1554,2.23,0.4
63,203915,64,Spencer Dinwiddie,BKN,68,1914,366,828,0.442,124,370,0.335,287,356,0.806,26,140,166,311,40,17,152,187,1143,994,2.05,0.26
75,203925,76,Joe Harris,BKN,76,2294,374,748,0.5,183,386,0.474,110,133,0.827,52,239,291,181,38,17,121,182,1041,1050,1.5,0.31
109,1628386,109,Jarrett Allen,BKN,80,2096,335,568,0.59,6,45,0.133,197,278,0.709,191,481,672,110,43,120,103,184,873,1401,1.07,0.42
137,201960,138,DeMarre Carroll,BKN,67,1703,227,575,0.395,106,310,0.342,184,242,0.76,68,281,349,85,31,10,73,114,744,740,1.16,0.43
194,1627747,195,Caris LeVert,BKN,40,1063,207,483,0.429,48,154,0.312,85,123,0.691,35,116,151,156,42,14,69,77,547,527,2.26,0.61
201,1629066,202,Rodions Kurucs,BKN,63,1294,202,449,0.45,58,184,0.315,72,92,0.783,56,190,246,52,41,25,77,146,534,554,0.68,0.53
203,203894,204,Shabazz Napier,BKN,56,983,169,435,0.389,76,228,0.333,115,138,0.833,18,82,100,143,41,16,66,67,529,474,2.17,0.62
205,1626178,205,Rondae Hollis-Jefferson,BKN,59,1234,200,487,0.411,9,49,0.184,118,183,0.645,83,227,310,96,44,27,68,107,527,584,1.41,0.65
234,202334,235,Ed Davis,BKN,81,1446,186,302,0.616,0,2,0.0,100,162,0.617,216,478,694,61,35,33,64,226,472,1053,0.95,0.55
267,203459,268,Allen Crabbe,BKN,43,1133,137,373,0.367,98,259,0.378,41,56,0.732,16,132,148,46,23,13,46,102,413,346,1.0,0.5
304,201162,305,Jared Dudley,BKN,59,1220,101,239,0.423,53,151,0.351,32,46,0.696,34,121,155,83,36,16,43,131,287,382,1.93,0.84
357,1626203,358,Treveon Graham,BKN,35,715,64,191,0.335,38,128,0.297,18,22,0.818,23,84,107,34,13,7,17,68,184,197,2.0,0.77
416,1629033,415,Theo Pinson,BKN,18,211,25,73,0.342,12,46,0.261,19,22,0.864,4,32,36,21,6,0,18,15,81,75,1.17,0.33
477,1629058,478,Dzanan Musa,BKN,9,39,9,22,0.409,1,10,0.1,0,2,0.0,1,4,5,2,2,0,4,1,19,9,0.5,0.5
480,1626210,481,Alan Williams,BKN,5,26,8,13,0.615,0,1,0.0,2,4,0.5,4,15,19,3,1,0,1,2,18,33,3.0,1.0
509,1628769,510,Tahjere McCall,BKN,1,8,2,3,0.667,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,2,4,3,0.0,0.0
