,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
3,22018,1610612738,BOS,Boston Celtics,0021800001,2018-10-16,BOS vs. PHI,W,240,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,15,20,105,18,1
44,22018,1610612738,BOS,Boston Celtics,0021800019,2018-10-19,BOS @ TOR,L,240,40,99,0.404,14,36,0.389,7,10,0.7,16,33,49,29,4,6,16,27,101,-12,1
57,22018,1610612738,BOS,Boston Celtics,0021800028,2018-10-20,BOS @ NYK,W,240,33,82,0.402,9,25,0.36,28,33,0.848,11,36,47,21,8,2,15,26,103,2,1
83,22018,1610612738,BOS,Boston Celtics,0021800040,2018-10-22,BOS vs. ORL,L,240,37,91,0.407,9,40,0.225,7,9,0.778,9,42,51,21,6,3,12,15,90,-3,1
131,22018,1610612738,BOS,Boston Celtics,0021800065,2018-10-25,BOS @ OKC,W,240,33,86,0.384,11,32,0.344,24,33,0.727,10,35,45,19,7,1,12,27,101,6,1
154,22018,1610612738,BOS,Boston Celtics,0021800074,2018-10-27,BOS @ DET,W,240,39,86,0.453,14,34,0.412,17,25,0.68,8,46,54,25,4,8,13,26,109,20,1
190,22018,1610612738,BOS,Boston Celtics,0021800099,2018-10-30,BOS vs. DET,W,240,37,84,0.44,9,31,0.29,25,32,0.781,8,38,46,25,8,4,14,20,108,3,1
222,22018,1610612738,BOS,Boston Celtics,0021800115,2018-11-01,BOS vs. MIL,W,240,41,92,0.446,24,55,0.436,11,13,0.846,8,34,42,30,5,8,13,23,117,4,1
256,22018,1610612738,BOS,Boston Celtics,0021800127,2018-11-03,BOS @ IND,L,240,38,88,0.432,19,46,0.413,6,9,0.667,10,35,45,23,6,8,14,20,101,-1,1
293,22018,1610612738,BOS,Boston Celtics,0021800145,2018-11-05,BOS @ DEN,L,240,44,87,0.506,9,31,0.29,10,12,0.833,7,33,40,22,9,9,12,21,107,-8,1
326,22018,1610612738,BOS,Boston Celtics,0021800164,2018-11-08,BOS @ PHX,W,265,39,97,0.402,14,37,0.378,24,31,0.774,17,39,56,21,6,6,16,18,116,7,1
339,22018,1610612738,BOS,Boston Celtics,0021800172,2018-11-09,BOS @ UTA,L,240,39,88,0.443,17,43,0.395,20,22,0.909,5,23,28,31,11,3,8,20,115,-8,1
375,22018,1610612738,BOS,Boston Celtics,0021800188,2018-11-11,BOS @ POR,L,240,36,93,0.387,14,42,0.333,8,10,0.8,11,31,42,19,11,5,13,16,94,-6,1
409,22018,1610612738,BOS,Boston Celtics,0021800204,2018-11-14,BOS vs. CHI,W,240,42,90,0.467,15,34,0.441,12,14,0.857,8,43,51,27,12,5,14,12,111,29,1
432,22018,1610612738,BOS,Boston Celtics,0021800216,2018-11-16,BOS vs. TOR,W,265,47,89,0.528,9,26,0.346,20,24,0.833,9,37,46,25,9,6,18,23,123,7,1
452,22018,1610612738,BOS,Boston Celtics,0021800229,2018-11-17,BOS vs. UTA,L,240,35,91,0.385,5,33,0.152,11,20,0.55,17,34,51,16,11,4,14,22,86,-12,1
489,22018,1610612738,BOS,Boston Celtics,0021800239,2018-11-19,BOS @ CHA,L,240,45,89,0.506,9,32,0.281,13,18,0.722,8,33,41,31,9,6,12,22,112,-5,1
511,22018,1610612738,BOS,Boston Celtics,0021800255,2018-11-21,BOS vs. NYK,L,240,38,97,0.392,10,33,0.303,23,32,0.719,15,35,50,30,10,9,8,16,109,-8,1
549,22018,1610612738,BOS,Boston Celtics,0021800268,2018-11-23,BOS @ ATL,W,240,42,91,0.462,13,40,0.325,17,21,0.81,7,36,43,31,11,7,16,29,114,18,1
562,22018,1610612738,BOS,Boston Celtics,0021800283,2018-11-24,BOS @ DAL,L,240,41,86,0.477,10,28,0.357,12,13,0.923,9,33,42,19,8,3,18,21,104,-9,1
599,22018,1610612738,BOS,Boston Celtics,0021800298,2018-11-26,BOS @ NOP,W,240,48,97,0.495,19,39,0.487,9,10,0.9,14,28,42,27,14,4,15,25,124,17,1
647,22018,1610612738,BOS,Boston Celtics,0021800319,2018-11-30,BOS vs. CLE,W,240,49,92,0.533,17,31,0.548,13,16,0.813,12,35,47,30,4,4,10,27,128,33,1
669,22018,1610612738,BOS,Boston Celtics,0021800335,2018-12-01,BOS @ MIN,W,240,40,85,0.471,17,44,0.386,21,21,1.0,7,33,40,30,9,3,14,25,118,9,1
729,22018,1610612738,BOS,Boston Celtics,0021800365,2018-12-06,BOS vs. NYK,W,240,49,92,0.533,13,38,0.342,17,20,0.85,7,39,46,32,8,6,9,24,128,28,1
754,22018,1610612738,BOS,Boston Celtics,0021800383,2018-12-08,BOS @ CHI,W,240,50,93,0.538,22,43,0.512,11,15,0.733,13,41,54,34,10,4,7,14,133,56,1
790,22018,1610612738,BOS,Boston Celtics,0021800393,2018-12-10,BOS vs. NOP,W,240,44,90,0.489,12,39,0.308,13,19,0.684,14,37,51,23,8,5,15,21,113,13,1
