,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
23,202681,23,Kyrie Irving,BOS,67,2214,604,1241,0.487,174,434,0.401,214,245,0.873,71,264,335,464,103,34,172,167,1596,1692,2.7,0.6
52,1628369,53,Jayson Tatum,BOS,79,2455,466,1036,0.45,116,311,0.373,195,228,0.855,70,407,477,168,84,57,122,168,1243,1304,1.38,0.69
73,202694,74,Marcus Morris Sr.,BOS,75,2091,377,844,0.447,146,389,0.375,146,173,0.844,76,382,458,109,43,25,92,181,1046,1095,1.19,0.47
86,1627759,87,Jaylen Brown,BOS,74,1913,368,792,0.465,95,276,0.344,133,202,0.658,65,248,313,100,69,32,99,186,964,886,1.01,0.7
96,201143,97,Al Horford,BOS,68,1973,387,723,0.535,73,203,0.36,78,95,0.821,120,338,458,283,59,86,102,126,925,1356,2.78,0.58
120,202330,121,Gordon Hayward,BOS,72,1863,296,635,0.466,77,231,0.333,156,187,0.834,51,271,322,244,62,23,105,104,825,1001,2.32,0.59
149,203935,150,Marcus Smart,BOS,80,2200,239,567,0.422,126,346,0.364,104,129,0.806,57,177,234,321,143,28,123,201,708,958,2.61,1.16
150,1626179,150,Terry Rozier,BOS,79,1791,258,666,0.387,119,337,0.353,73,93,0.785,32,275,307,231,68,21,68,101,708,839,3.4,1.0
278,1628464,279,Daniel Theis,BOS,66,908,146,266,0.549,26,67,0.388,56,76,0.737,87,138,225,68,21,42,33,161,374,557,2.06,0.64
306,203382,307,Aron Baynes,BOS,51,821,105,223,0.471,21,61,0.344,53,62,0.855,88,152,240,57,12,34,40,125,284,460,1.43,0.3
356,1628400,357,Semi Ojeleye,BOS,56,594,67,158,0.424,28,89,0.315,24,39,0.615,24,62,86,23,10,4,19,43,186,184,1.21,0.53
381,202954,382,Brad Wanamaker,BOS,36,343,50,105,0.476,16,39,0.41,24,28,0.857,3,38,41,56,12,2,19,34,140,173,2.95,0.63
409,1627824,410,Guerschon Yabusele,BOS,41,251,35,77,0.455,9,28,0.321,15,22,0.682,23,30,53,15,8,7,15,32,94,113,1.0,0.53
415,1629057,415,Robert Williams III,BOS,32,283,36,51,0.706,0,0,0.0,9,15,0.6,27,54,81,7,9,40,10,36,81,187,0.7,0.9
479,1628408,478,PJ Dozier,BOS,6,51,8,21,0.381,2,8,0.25,1,2,0.5,6,11,17,5,2,0,0,2,19,29,0.0,0.0
483,1626154,483,RJ Hunter,BOS,1,26,6,13,0.462,4,10,0.4,1,2,0.5,1,2,3,3,1,0,0,3,17,16,0.0,0.0
