,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22,22018,1610612766,CHA,Charlotte Hornets,0021800003,2018-10-17,CHA vs. MIL,L,240,41,92,0.446,16,38,0.421,14,22,0.636,9,32,41,21,8,9,11,19,112,-1,1
37,22018,1610612766,CHA,Charlotte Hornets,0021800017,2018-10-19,CHA @ ORL,W,240,43,92,0.467,17,38,0.447,17,20,0.85,12,43,55,32,6,4,16,17,120,32,1
59,22018,1610612766,CHA,Charlotte Hornets,0021800030,2018-10-20,CHA @ MIA,W,240,41,93,0.441,16,42,0.381,15,23,0.652,12,28,40,23,6,12,12,27,113,1,1
94,22018,1610612766,CHA,Charlotte Hornets,0021800041,2018-10-22,CHA @ TOR,L,240,41,97,0.423,9,28,0.321,15,18,0.833,14,27,41,21,5,5,12,14,106,-21,1
107,22018,1610612766,CHA,Charlotte Hornets,0021800056,2018-10-24,CHA @ CHI,L,240,37,85,0.435,10,35,0.286,26,29,0.897,8,28,36,23,5,5,8,20,110,-2,1
141,22018,1610612766,CHA,Charlotte Hornets,0021800067,2018-10-26,CHA vs. CHI,W,240,53,93,0.57,14,32,0.438,15,16,0.938,11,39,50,30,10,10,12,18,135,29,1
146,22018,1610612766,CHA,Charlotte Hornets,0021800078,2018-10-27,CHA @ PHI,L,240,37,95,0.389,9,35,0.257,20,24,0.833,9,39,48,19,3,8,9,25,103,-2,1
198,22018,1610612766,CHA,Charlotte Hornets,0021800096,2018-10-30,CHA vs. MIA,W,240,44,81,0.543,13,28,0.464,24,29,0.828,8,31,39,27,7,5,14,26,125,12,1
231,22018,1610612766,CHA,Charlotte Hornets,0021800111,2018-11-01,CHA vs. OKC,L,240,38,93,0.409,11,41,0.268,20,22,0.909,11,40,51,26,7,3,18,26,107,-4,1
263,22018,1610612766,CHA,Charlotte Hornets,0021800126,2018-11-03,CHA vs. CLE,W,240,52,91,0.571,10,30,0.333,12,13,0.923,12,38,50,29,3,7,15,17,126,32,1
303,22018,1610612766,CHA,Charlotte Hornets,0021800149,2018-11-06,CHA vs. ATL,W,240,45,92,0.489,13,31,0.419,10,18,0.556,8,35,43,27,9,4,21,16,113,11,1
332,22018,1610612766,CHA,Charlotte Hornets,0021800168,2018-11-09,CHA @ PHI,L,265,43,110,0.391,16,40,0.4,30,40,0.75,14,35,49,25,10,5,7,33,132,-1,1
372,22018,1610612766,CHA,Charlotte Hornets,0021800184,2018-11-11,CHA @ DET,W,240,43,85,0.506,11,28,0.393,16,18,0.889,6,40,46,24,6,8,12,26,113,10,1
399,22018,1610612766,CHA,Charlotte Hornets,0021800199,2018-11-13,CHA @ CLE,L,240,33,95,0.347,8,41,0.195,15,19,0.789,12,25,37,22,12,4,9,11,89,-24,1
462,22018,1610612766,CHA,Charlotte Hornets,0021800225,2018-11-17,CHA vs. PHI,L,265,42,99,0.424,10,31,0.323,25,27,0.926,9,40,49,23,10,3,17,29,119,-3,1
