,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
2,202689,3,Kemba Walker,CHA,82,2863,731,1684,0.434,260,731,0.356,380,450,0.844,52,309,361,484,102,34,211,131,2102,1849,2.29,0.48
59,203087,60,Jeremy Lamb,CHA,79,2250,431,979,0.44,115,330,0.348,231,260,0.888,65,369,434,172,88,32,80,140,1208,1277,2.15,1.1
135,101107,136,Marvin Williams,CHA,75,2133,275,652,0.422,140,382,0.366,66,86,0.767,76,331,407,92,71,61,47,156,756,943,1.96,1.51
155,201587,156,Nicolas Batum,CHA,75,2354,253,562,0.45,116,298,0.389,77,89,0.865,71,319,390,247,71,43,117,140,699,1012,2.11,0.61
168,1628370,168,Malik Monk,CHA,73,1258,227,586,0.387,109,330,0.33,90,102,0.882,16,121,137,117,37,19,86,106,653,506,1.36,0.43
182,1628970,183,Miles Bridges,CHA,80,1696,237,511,0.464,65,200,0.325,58,77,0.753,67,256,323,95,55,49,50,111,597,776,1.9,1.1
202,2225,203,Tony Parker,CHA,56,1003,213,463,0.46,13,51,0.255,91,124,0.734,14,69,83,207,21,7,75,53,530,490,2.76,0.28
220,203469,221,Cody Zeller,CHA,49,1243,190,345,0.551,6,22,0.273,111,141,0.787,110,223,333,102,38,41,62,164,497,764,1.65,0.61
252,202714,253,Shelvin Mack,CHA,57,1247,163,403,0.404,46,130,0.354,58,84,0.69,18,86,104,183,47,4,66,84,430,436,2.77,0.71
256,203077,257,Michael Kidd-Gilchrist,CHA,64,1179,158,332,0.476,16,47,0.34,95,123,0.772,88,158,246,61,32,39,43,156,427,560,1.42,0.74
263,1626195,263,Willy Hernangomez,CHA,58,812,153,295,0.519,15,39,0.385,100,144,0.694,117,194,311,60,16,20,58,98,421,584,1.03,0.28
270,1626163,271,Frank Kaminsky,CHA,47,755,138,298,0.463,50,139,0.36,79,107,0.738,39,124,163,63,12,12,41,68,405,426,1.54,0.29
295,1628407,296,Dwayne Bacon,CHA,43,759,122,257,0.475,38,87,0.437,34,46,0.739,8,81,89,47,12,5,18,72,316,304,2.61,0.67
326,202687,327,Bismack Biyombo,CHA,54,782,89,156,0.571,0,0,0.0,58,91,0.637,81,166,247,33,11,41,34,103,236,434,0.97,0.32
339,1628984,340,Devonte' Graham,CHA,46,676,74,216,0.343,34,121,0.281,35,46,0.761,10,53,63,121,23,2,30,48,217,243,4.03,0.77
505,1629122,504,J.P. Macura,CHA,2,17,3,9,0.333,0,4,0.0,0,0,0.0,0,3,3,2,0,0,0,0,6,5,0.0,0.0
514,1629147,514,Joe Chealey,CHA,1,8,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,1,0.0,0.0
