,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
29,203897,30,Zach LaVine,CHI,63,2171,530,1135,0.467,120,321,0.374,312,375,0.832,40,254,294,283,60,26,215,140,1492,1272,1.32,0.28
83,1628374,84,Lauri Markkanen,CHI,52,1682,342,795,0.43,120,332,0.361,170,195,0.872,74,396,470,75,37,33,85,122,974,1026,0.88,0.44
127,203490,128,Otto Porter Jr.,CHI,56,1684,299,643,0.465,104,256,0.406,78,96,0.813,54,260,314,120,82,31,65,108,780,900,1.85,1.26
153,201577,154,Robin Lopez,CHI,74,1606,304,535,0.568,7,31,0.226,89,123,0.724,140,146,286,89,11,78,96,124,704,807,0.93,0.12
198,1627853,199,Ryan Arcidiacono,CHI,81,1961,187,418,0.447,81,217,0.373,89,102,0.873,27,192,219,269,65,4,63,171,544,794,4.27,1.03
208,1627739,209,Kris Dunn,CHI,46,1389,215,506,0.425,34,96,0.354,55,69,0.797,19,168,187,277,68,21,104,166,519,663,2.66,0.65
210,1627782,211,Wayne Selden,CHI,75,1439,196,483,0.406,55,174,0.316,67,92,0.728,37,143,180,109,33,13,79,131,514,458,1.38,0.42
233,1627885,234,Shaquille Harrison,CHI,73,1430,184,426,0.432,24,89,0.27,82,123,0.667,33,189,222,139,89,30,60,124,474,611,2.32,1.48
246,1628976,247,Wendell Carter Jr.,CHI,44,1110,180,371,0.485,6,32,0.188,89,112,0.795,87,220,307,78,26,58,65,152,455,645,1.2,0.4
265,1628469,266,Antonio Blakeney,CHI,57,829,166,396,0.419,36,91,0.396,50,76,0.658,7,99,106,42,12,9,35,41,418,296,1.2,0.34
324,1626245,325,Cristiano Felicio,CHI,60,746,95,179,0.531,0,4,0.0,50,73,0.685,79,139,218,37,11,7,33,69,240,373,1.12,0.33
329,1627789,330,Timothe Luwawu-Cabarrot,CHI,50,669,82,218,0.376,36,116,0.31,31,41,0.756,11,86,97,26,19,8,21,73,231,214,1.24,0.91
333,1628990,333,Chandler Hutchison,CHI,44,895,96,209,0.459,14,50,0.28,23,38,0.605,31,154,185,34,23,6,25,59,229,324,1.36,0.92
412,1627215,413,Walt Lemon Jr.,CHI,6,167,38,87,0.437,2,5,0.4,8,11,0.727,4,23,27,30,11,1,10,14,86,93,3.0,1.1
417,203960,418,JaKarr Sampson,CHI,4,127,29,54,0.537,5,14,0.357,17,21,0.81,5,27,32,4,4,3,4,8,80,90,1.0,1.0
424,1629102,425,Brandon Sampson,CHI,14,214,28,60,0.467,11,29,0.379,4,6,0.667,3,13,16,10,8,3,12,19,71,62,0.83,0.67
454,1628959,455,Rawle Alkins,CHI,10,120,13,39,0.333,3,12,0.25,8,12,0.667,11,15,26,13,1,0,8,7,37,39,1.63,0.13
528,1627755,521,Tyler Ulis,CHI,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
