,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
38,1629012,39,Collin Sexton,CLE,82,2605,519,1206,0.43,119,296,0.402,214,255,0.839,57,179,236,243,44,6,185,186,1371,987,1.31,0.24
41,203903,42,Jordan Clarkson,CLE,81,2215,529,1180,0.448,144,445,0.324,162,192,0.844,82,188,270,196,57,13,135,112,1364,1084,1.45,0.42
80,1626224,81,Cedi Osman,CLE,76,2444,360,844,0.427,130,374,0.348,141,181,0.779,45,312,357,195,60,11,114,195,991,976,1.71,0.53
172,1626204,173,Larry Nance Jr.,CLE,67,1795,249,479,0.52,33,98,0.337,96,134,0.716,168,384,552,214,100,40,97,192,627,1168,2.21,1.03
235,202684,236,Tristan Thompson,CLE,43,1198,201,380,0.529,0,0,0.0,68,106,0.642,173,265,438,86,28,16,59,89,470,762,1.46,0.48
242,1627790,243,Ante Zizic,CLE,59,1082,183,331,0.553,0,0,0.0,93,132,0.705,108,212,320,53,13,22,61,113,459,619,0.87,0.21
272,203917,273,Nik Stauskas,CLE,68,1015,136,338,0.402,70,188,0.372,57,64,0.891,18,109,127,81,21,7,51,50,399,375,1.59,0.41
279,201567,279,Kevin Love,CLE,22,598,109,283,0.385,53,147,0.361,103,114,0.904,33,206,239,48,6,5,42,54,374,445,1.14,0.14
289,1628021,290,David Nwaba,CLE,51,984,126,262,0.481,24,75,0.32,58,85,0.682,41,122,163,54,36,17,29,106,334,412,1.86,1.24
309,203521,309,Matthew Dellavedova,CLE,48,812,98,242,0.405,44,130,0.338,42,52,0.808,6,71,77,181,14,2,68,75,282,334,2.66,0.21
316,202688,317,Brandon Knight,CLE,39,737,99,260,0.381,41,129,0.318,27,34,0.794,10,49,59,71,21,2,30,62,266,221,2.37,0.7
318,1626166,319,Cameron Payne,CLE,40,712,96,223,0.43,25,84,0.298,33,41,0.805,13,59,72,106,28,9,45,64,250,285,2.36,0.62
358,1627737,359,Marquese Chriss,CLE,43,499,67,180,0.372,16,72,0.222,32,45,0.711,40,102,142,22,17,11,36,81,182,212,0.61,0.47
391,101112,392,Channing Frye,CLE,36,341,43,117,0.368,32,79,0.405,11,14,0.786,4,48,52,20,6,5,13,44,129,122,1.54,0.46
399,1628417,399,Jaron Blossomgame,CLE,27,439,47,106,0.443,10,39,0.256,10,13,0.769,26,72,98,13,7,8,11,20,114,167,1.18,0.64
414,1627883,415,Jalen Jones,CLE,16,214,26,62,0.419,10,28,0.357,19,27,0.704,11,23,34,7,9,2,8,27,81,81,0.88,1.13
419,203089,420,John Henson,CLE,14,188,31,67,0.463,11,31,0.355,6,10,0.6,16,55,71,14,7,11,12,16,79,130,1.17,0.58
422,2747,423,JR Smith,CLE,11,222,27,79,0.342,12,39,0.308,8,10,0.8,0,18,18,21,11,3,11,19,74,62,1.91,1.0
459,1629061,460,Deng Adel,CLE,19,194,11,36,0.306,6,23,0.261,4,4,1.0,3,16,19,5,1,4,6,13,32,30,0.83,0.17
524,204066,521,John Holland,CLE,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
525,1628424,521,Kobi Simmons,CLE,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
