,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
10,22018,1610612743,DEN,Denver Nuggets,0021800012,2018-10-17,DEN @ LAC,W,240,33,87,0.379,8,24,0.333,33,42,0.786,14,42,56,20,6,9,11,22,107,9,1
66,22018,1610612743,DEN,Denver Nuggets,0021800033,2018-10-20,DEN vs. PHX,W,240,43,85,0.506,9,28,0.321,24,29,0.828,9,45,54,28,12,6,18,31,119,28,1
74,22018,1610612743,DEN,Denver Nuggets,0021800038,2018-10-21,DEN vs. GSW,W,240,35,86,0.407,6,32,0.188,24,42,0.571,13,34,47,21,11,4,10,22,100,2,1
99,22018,1610612743,DEN,Denver Nuggets,0021800051,2018-10-23,DEN vs. SAC,W,240,51,99,0.515,11,30,0.367,13,15,0.867,15,34,49,31,11,3,12,22,126,14,1
124,22018,1610612743,DEN,Denver Nuggets,0021800066,2018-10-25,DEN @ LAL,L,240,46,92,0.5,6,23,0.261,16,20,0.8,10,34,44,22,8,5,19,22,114,-7,1
186,22018,1610612743,DEN,Denver Nuggets,0021800095,2018-10-29,DEN vs. NOP,W,240,42,93,0.452,11,35,0.314,21,23,0.913,9,32,41,28,14,5,13,17,116,5,1
210,22018,1610612743,DEN,Denver Nuggets,0021800106,2018-10-31,DEN @ CHI,W,265,45,99,0.455,7,26,0.269,11,18,0.611,17,39,56,24,7,9,16,16,108,1,1
225,22018,1610612743,DEN,Denver Nuggets,0021800112,2018-11-01,DEN @ CLE,W,240,41,85,0.482,10,26,0.385,18,21,0.857,14,30,44,22,8,7,12,18,110,19,1
261,22018,1610612743,DEN,Denver Nuggets,0021800131,2018-11-03,DEN vs. UTA,W,240,41,83,0.494,9,28,0.321,12,19,0.632,8,40,48,32,8,0,17,26,103,15,1
292,22018,1610612743,DEN,Denver Nuggets,0021800145,2018-11-05,DEN vs. BOS,W,240,41,90,0.456,13,34,0.382,20,28,0.714,15,32,47,25,5,4,13,14,115,8,1
321,22018,1610612743,DEN,Denver Nuggets,0021800158,2018-11-07,DEN @ MEM,L,240,32,82,0.39,8,32,0.25,15,19,0.789,13,28,41,19,9,3,19,22,87,-2,1
344,22018,1610612743,DEN,Denver Nuggets,0021800171,2018-11-09,DEN vs. BKN,L,240,40,87,0.46,5,18,0.278,25,34,0.735,15,39,54,20,3,5,13,28,110,-2,1
376,22018,1610612743,DEN,Denver Nuggets,0021800187,2018-11-11,DEN vs. MIL,L,240,41,89,0.461,18,38,0.474,14,20,0.7,10,29,39,27,8,5,10,16,114,-7,1
400,22018,1610612743,DEN,Denver Nuggets,0021800200,2018-11-13,DEN vs. HOU,L,240,38,76,0.5,11,25,0.44,12,16,0.75,7,24,31,27,11,2,16,20,99,-10,1
429,22018,1610612743,DEN,Denver Nuggets,0021800214,2018-11-15,DEN vs. ATL,W,240,53,94,0.564,13,31,0.419,19,25,0.76,11,45,56,34,12,6,15,24,138,45,1
465,22018,1610612743,DEN,Denver Nuggets,0021800228,2018-11-17,DEN @ NOP,L,240,46,95,0.484,15,39,0.385,8,13,0.615,10,33,43,30,5,6,13,23,115,-10,1
481,22018,1610612743,DEN,Denver Nuggets,0021800245,2018-11-19,DEN @ MIL,L,240,40,94,0.426,12,41,0.293,6,9,0.667,13,30,43,30,6,4,18,20,98,-6,1
524,22018,1610612743,DEN,Denver Nuggets,0021800260,2018-11-21,DEN @ MIN,W,240,42,89,0.472,14,35,0.4,5,6,0.833,9,31,40,29,12,4,14,22,103,2,1
550,22018,1610612743,DEN,Denver Nuggets,0021800276,2018-11-23,DEN vs. ORL,W,240,44,93,0.473,9,28,0.321,15,17,0.882,12,39,51,33,10,5,11,20,112,25,1
569,22018,1610612743,DEN,Denver Nuggets,0021800282,2018-11-24,DEN @ OKC,W,240,39,95,0.411,10,30,0.333,17,24,0.708,15,39,54,26,6,9,18,20,105,7,1
606,22018,1610612743,DEN,Denver Nuggets,0021800304,2018-11-27,DEN vs. LAL,W,240,47,97,0.485,9,25,0.36,14,15,0.933,16,44,60,28,7,4,12,17,117,32,1
653,22018,1610612743,DEN,Denver Nuggets,0021800329,2018-11-30,DEN @ POR,W,240,40,87,0.46,14,30,0.467,19,26,0.731,13,28,41,28,11,3,12,21,113,1,1
695,22018,1610612743,DEN,Denver Nuggets,0021800347,2018-12-03,DEN @ TOR,W,240,40,89,0.449,11,28,0.393,15,24,0.625,15,34,49,32,9,2,20,14,106,3,1
713,22018,1610612743,DEN,Denver Nuggets,0021800356,2018-12-05,DEN @ ORL,W,265,45,82,0.549,11,19,0.579,23,37,0.622,4,39,43,34,5,2,10,19,124,6,1
751,22018,1610612743,DEN,Denver Nuggets,0021800368,2018-12-07,DEN @ CHA,L,240,39,101,0.386,8,35,0.229,21,26,0.808,20,35,55,24,6,12,9,28,107,-6,1
769,22018,1610612743,DEN,Denver Nuggets,0021800380,2018-12-08,DEN @ ATL,L,240,36,97,0.371,9,36,0.25,17,21,0.81,11,37,48,28,11,4,15,16,98,-8,1
798,22018,1610612743,DEN,Denver Nuggets,0021800398,2018-12-10,DEN vs. MEM,W,240,39,77,0.506,9,28,0.321,18,23,0.783,11,29,40,22,11,6,14,17,105,6,1
851,22018,1610612743,DEN,Denver Nuggets,0021800426,2018-12-14,DEN vs. OKC,W,240,42,83,0.506,11,34,0.324,14,15,0.933,12,36,48,29,8,6,20,24,109,11,1
879,22018,1610612743,DEN,Denver Nuggets,0021800442,2018-12-16,DEN vs. TOR,W,240,36,85,0.424,10,30,0.333,13,16,0.813,10,34,44,21,7,4,9,14,95,9,1
906,22018,1610612743,DEN,Denver Nuggets,0021800454,2018-12-18,DEN vs. DAL,W,240,50,90,0.556,12,29,0.414,14,18,0.778,12,35,47,33,7,3,16,28,126,8,1
960,22018,1610612743,DEN,Denver Nuggets,0021800479,2018-12-22,DEN @ LAC,L,240,41,97,0.423,9,31,0.29,20,25,0.8,13,24,37,21,10,5,9,16,111,-21,1
1002,22018,1610612743,DEN,Denver Nuggets,0021800510,2018-12-26,DEN @ SAS,L,240,35,90,0.389,18,40,0.45,15,23,0.652,11,36,47,29,10,3,13,17,103,-8,1
1042,22018,1610612743,DEN,Denver Nuggets,0021800524,2018-12-28,DEN vs. SAS,W,240,39,85,0.459,10,29,0.345,14,17,0.824,16,36,52,29,5,4,20,20,102,3,1
1053,22018,1610612743,DEN,Denver Nuggets,0021800533,2018-12-29,DEN @ PHX,W,240,42,76,0.553,18,35,0.514,20,26,0.769,10,30,40,31,10,3,21,20,122,4,1
1103,22018,1610612743,DEN,Denver Nuggets,0021800551,2019-01-01,DEN vs. NYK,W,240,44,95,0.463,12,34,0.353,15,23,0.652,16,37,53,36,7,6,9,19,115,7,1
1129,22018,1610612743,DEN,Denver Nuggets,0021800564,2019-01-03,DEN @ SAC,W,240,41,89,0.461,14,39,0.359,21,30,0.7,16,38,54,24,3,3,14,20,117,4,1
1164,22018,1610612743,DEN,Denver Nuggets,0021800576,2019-01-05,DEN vs. CHA,W,240,47,102,0.461,14,39,0.359,15,20,0.75,17,29,46,30,10,6,8,19,123,13,1
1183,22018,1610612743,DEN,Denver Nuggets,0021800593,2019-01-07,DEN @ HOU,L,240,44,93,0.473,7,29,0.241,18,21,0.857,14,32,46,26,7,3,14,21,113,-12,1
1207,22018,1610612743,DEN,Denver Nuggets,0021800601,2019-01-08,DEN @ MIA,W,240,41,87,0.471,9,27,0.333,12,17,0.706,15,35,50,32,2,2,16,20,103,4,1
1238,22018,1610612743,DEN,Denver Nuggets,0021800618,2019-01-10,DEN vs. LAC,W,240,50,99,0.505,11,28,0.393,10,13,0.769,15,38,53,29,7,8,9,23,121,21,1
1258,22018,1610612743,DEN,Denver Nuggets,0021800635,2019-01-12,DEN @ PHX,L,240,34,88,0.386,10,31,0.323,15,22,0.682,13,37,50,25,7,6,17,19,93,-9,1
1285,22018,1610612743,DEN,Denver Nuggets,0021800643,2019-01-13,DEN vs. POR,W,240,45,81,0.556,9,22,0.409,17,20,0.85,4,31,35,21,5,0,12,20,116,3,1
1310,22018,1610612743,DEN,Denver Nuggets,0021800655,2019-01-15,DEN vs. GSW,L,240,42,92,0.457,14,34,0.412,13,16,0.813,9,27,36,30,4,3,8,12,111,-31,1
1330,22018,1610612743,DEN,Denver Nuggets,0021800669,2019-01-17,DEN vs. CHI,W,240,50,96,0.521,20,40,0.5,15,20,0.75,13,32,45,34,6,2,7,16,135,30,1
1369,22018,1610612743,DEN,Denver Nuggets,0021800687,2019-01-19,DEN vs. CLE,W,240,50,89,0.562,15,37,0.405,9,11,0.818,12,31,43,33,7,2,12,25,124,22,1
1422,22018,1610612743,DEN,Denver Nuggets,0021800715,2019-01-23,DEN @ UTA,L,240,42,88,0.477,8,27,0.296,16,20,0.8,12,38,50,20,7,9,16,25,108,-6,1
1455,22018,1610612743,DEN,Denver Nuggets,0021800728,2019-01-25,DEN vs. PHX,W,240,47,94,0.5,15,36,0.417,23,29,0.793,16,41,57,26,9,1,12,20,132,37,1
1463,22018,1610612743,DEN,Denver Nuggets,0021800733,2019-01-26,DEN vs. PHI,W,240,48,94,0.511,8,24,0.333,22,29,0.759,11,40,51,27,4,4,11,21,126,16,1
1495,22018,1610612743,DEN,Denver Nuggets,0021800747,2019-01-28,DEN @ MEM,W,240,37,84,0.44,8,36,0.222,13,14,0.929,9,28,37,17,10,2,15,18,95,3,1
1524,22018,1610612743,DEN,Denver Nuggets,0021800761,2019-01-30,DEN @ NOP,W,240,42,89,0.472,9,30,0.3,12,19,0.632,6,37,43,31,10,7,10,17,105,6,1
1545,22018,1610612743,DEN,Denver Nuggets,0021800774,2019-02-01,DEN vs. HOU,W,240,51,82,0.622,14,31,0.452,20,23,0.87,10,26,36,37,7,4,8,14,136,14,1
1566,22018,1610612743,DEN,Denver Nuggets,0021800783,2019-02-02,DEN @ MIN,W,240,42,89,0.472,13,33,0.394,10,14,0.714,15,33,48,29,3,7,10,16,107,1,1
1583,22018,1610612743,DEN,Denver Nuggets,0021800790,2019-02-04,DEN @ DET,L,240,41,92,0.446,9,28,0.321,12,22,0.545,10,22,32,28,10,3,14,19,103,-26,1
1611,22018,1610612743,DEN,Denver Nuggets,0021800804,2019-02-06,DEN @ BKN,L,240,50,99,0.505,13,35,0.371,17,21,0.81,12,36,48,32,7,8,13,26,130,-5,1
1633,22018,1610612743,DEN,Denver Nuggets,0021800818,2019-02-08,DEN @ PHI,L,240,46,94,0.489,6,26,0.231,12,13,0.923,8,32,40,35,5,3,13,19,110,-7,1
1686,22018,1610612743,DEN,Denver Nuggets,0021800847,2019-02-11,DEN vs. MIA,W,240,38,89,0.427,16,37,0.432,11,13,0.846,10,35,45,27,7,6,15,17,103,16,1
1720,22018,1610612743,DEN,Denver Nuggets,0021800860,2019-02-13,DEN vs. SAC,W,240,45,99,0.455,8,31,0.258,22,25,0.88,14,39,53,26,7,1,14,19,120,2,1
1751,22018,1610612743,DEN,Denver Nuggets,0021800880,2019-02-22,DEN @ DAL,W,240,42,103,0.408,14,37,0.378,16,25,0.64,21,42,63,32,11,2,13,26,114,10,1
1789,22018,1610612743,DEN,Denver Nuggets,0021800895,2019-02-24,DEN vs. LAC,W,240,44,85,0.518,12,34,0.353,23,35,0.657,12,44,56,30,11,6,23,28,123,27,1
1817,22018,1610612743,DEN,Denver Nuggets,0021800910,2019-02-26,DEN vs. OKC,W,240,41,88,0.466,13,28,0.464,26,35,0.743,11,36,47,28,9,4,18,28,121,9,1
1850,22018,1610612743,DEN,Denver Nuggets,0021800926,2019-02-28,DEN vs. UTA,L,240,40,99,0.404,7,25,0.28,17,24,0.708,16,39,55,25,6,5,13,23,104,-7,1
1884,22018,1610612743,DEN,Denver Nuggets,0021800941,2019-03-02,DEN vs. NOP,L,240,39,92,0.424,9,32,0.281,25,29,0.862,10,34,44,25,13,7,16,22,112,-8,1
1902,22018,1610612743,DEN,Denver Nuggets,0021800954,2019-03-04,DEN @ SAS,L,240,41,95,0.432,17,40,0.425,4,4,1.0,8,35,43,27,5,3,13,17,103,-1,1
1929,22018,1610612743,DEN,Denver Nuggets,0021800974,2019-03-06,DEN @ LAL,W,240,45,98,0.459,13,42,0.31,12,17,0.706,18,37,55,33,6,3,8,17,115,16,1
1952,22018,1610612743,DEN,Denver Nuggets,0021800984,2019-03-08,DEN @ GSW,L,240,33,87,0.379,12,33,0.364,27,35,0.771,14,32,46,21,9,3,19,22,105,-17,1
2023,22018,1610612743,DEN,Denver Nuggets,0021801012,2019-03-12,DEN vs. MIN,W,240,51,85,0.6,18,30,0.6,13,15,0.867,7,29,36,40,6,6,14,16,133,26,1
2046,22018,1610612743,DEN,Denver Nuggets,0021801025,2019-03-14,DEN vs. DAL,W,240,39,81,0.481,8,29,0.276,14,17,0.824,8,36,44,27,6,7,11,16,100,1,1
2075,22018,1610612743,DEN,Denver Nuggets,0021801040,2019-03-16,DEN vs. IND,W,240,39,82,0.476,11,38,0.289,13,20,0.65,9,30,39,27,6,5,11,22,102,2,1
2103,22018,1610612743,DEN,Denver Nuggets,0021801052,2019-03-18,DEN @ BOS,W,240,46,94,0.489,14,39,0.359,8,10,0.8,11,40,51,29,6,5,19,19,114,9,1
2156,22018,1610612743,DEN,Denver Nuggets,0021801075,2019-03-21,DEN @ WAS,W,240,46,87,0.529,14,30,0.467,7,11,0.636,9,31,40,30,9,4,8,20,113,5,1
2161,22018,1610612743,DEN,Denver Nuggets,0021801082,2019-03-22,DEN @ NYK,W,240,40,96,0.417,15,38,0.395,16,19,0.842,17,45,62,24,5,5,9,15,111,18,1
2198,22018,1610612743,DEN,Denver Nuggets,0021801097,2019-03-24,DEN @ IND,L,240,33,93,0.355,7,29,0.241,15,16,0.938,15,26,41,21,5,7,17,17,88,-36,1
2222,22018,1610612743,DEN,Denver Nuggets,0021801115,2019-03-26,DEN vs. DET,W,240,37,87,0.425,7,27,0.259,14,20,0.7,11,45,56,22,3,2,14,19,95,3,1
2249,22018,1610612743,DEN,Denver Nuggets,0021801126,2019-03-28,DEN @ HOU,L,240,31,84,0.369,4,24,0.167,19,20,0.95,7,31,38,22,7,3,15,17,85,-27,1
2268,22018,1610612743,DEN,Denver Nuggets,0021801133,2019-03-29,DEN @ OKC,W,240,48,85,0.565,14,33,0.424,5,6,0.833,7,32,39,30,6,1,13,21,115,10,1
2296,22018,1610612743,DEN,Denver Nuggets,0021801148,2019-03-31,DEN vs. WAS,L,240,35,93,0.376,7,36,0.194,13,20,0.65,12,45,57,18,6,5,11,18,90,-5,1
2321,22018,1610612743,DEN,Denver Nuggets,0021801164,2019-04-02,DEN @ GSW,L,240,36,96,0.375,7,30,0.233,23,29,0.793,12,28,40,23,19,4,16,15,102,-14,1
2347,22018,1610612743,DEN,Denver Nuggets,0021801173,2019-04-03,DEN vs. SAS,W,240,47,87,0.54,12,33,0.364,7,12,0.583,8,39,47,41,6,3,15,20,113,28,1
2374,22018,1610612743,DEN,Denver Nuggets,0021801190,2019-04-05,DEN vs. POR,W,240,43,84,0.512,7,27,0.259,26,29,0.897,12,27,39,27,10,4,10,19,119,9,1
2403,22018,1610612743,DEN,Denver Nuggets,0021801206,2019-04-07,DEN @ POR,L,240,42,95,0.442,13,33,0.394,11,20,0.55,12,30,42,24,9,4,11,26,108,-7,1
2426,22018,1610612743,DEN,Denver Nuggets,0021801217,2019-04-09,DEN @ UTA,L,240,41,88,0.466,12,25,0.48,14,22,0.636,3,28,31,24,9,3,7,28,108,-10,1
2454,22018,1610612743,DEN,Denver Nuggets,0021801228,2019-04-10,DEN vs. MIN,W,240,39,87,0.448,10,33,0.303,11,17,0.647,12,41,53,23,6,4,13,12,99,4,1
