,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
5,42018,1610612743,DEN,Denver Nuggets,0041800151,2019-04-13,DEN vs. SAS,L,240,37,88,0.42,6,28,0.214,16,24,0.667,13,33,46,25,8,3,10,18,96,-5,1
23,42018,1610612743,DEN,Denver Nuggets,0041800152,2019-04-16,DEN vs. SAS,W,240,43,89,0.483,10,24,0.417,18,26,0.692,7,34,41,29,5,2,6,21,114,9,1
32,42018,1610612743,DEN,Denver Nuggets,0041800153,2019-04-18,DEN @ SAS,L,240,42,81,0.519,15,29,0.517,9,17,0.529,10,27,37,31,3,1,13,21,108,-10,1
44,42018,1610612743,DEN,Denver Nuggets,0041800154,2019-04-20,DEN @ SAS,W,240,40,89,0.449,15,31,0.484,22,24,0.917,11,34,45,25,4,2,8,22,117,14,1
68,42018,1610612743,DEN,Denver Nuggets,0041800155,2019-04-23,DEN vs. SAS,W,240,39,78,0.5,14,33,0.424,16,20,0.8,7,42,49,25,4,6,14,21,108,18,1
77,42018,1610612743,DEN,Denver Nuggets,0041800156,2019-04-25,DEN @ SAS,L,240,44,96,0.458,6,24,0.25,9,12,0.75,12,25,37,26,5,3,7,18,103,-17,1
81,42018,1610612743,DEN,Denver Nuggets,0041800157,2019-04-27,DEN vs. SAS,W,240,35,88,0.398,2,20,0.1,18,23,0.783,13,40,53,21,3,8,6,19,90,4,1
88,42018,1610612743,DEN,Denver Nuggets,0041800231,2019-04-29,DEN vs. POR,W,240,41,81,0.506,12,29,0.414,27,31,0.871,7,27,34,22,12,7,13,22,121,8,1
97,42018,1610612743,DEN,Denver Nuggets,0041800232,2019-05-01,DEN vs. POR,L,240,34,98,0.347,6,29,0.207,16,26,0.615,23,35,58,20,6,5,9,19,90,-7,1
102,42018,1610612743,DEN,Denver Nuggets,0041800233,2019-05-03,DEN @ POR,L,340,54,119,0.454,15,42,0.357,14,20,0.7,24,42,66,28,11,8,21,27,137,-3,1
109,42018,1610612743,DEN,Denver Nuggets,0041800234,2019-05-05,DEN @ POR,W,240,40,92,0.435,11,25,0.44,25,28,0.893,17,28,45,21,7,4,10,22,116,4,1
114,42018,1610612743,DEN,Denver Nuggets,0041800235,2019-05-07,DEN vs. POR,W,240,44,89,0.494,8,24,0.333,28,31,0.903,10,52,62,26,4,4,8,22,124,26,1
125,42018,1610612743,DEN,Denver Nuggets,0041800236,2019-05-09,DEN @ POR,L,240,33,86,0.384,12,32,0.375,30,32,0.938,16,28,44,22,7,3,7,23,108,-11,1
129,42018,1610612743,DEN,Denver Nuggets,0041800237,2019-05-12,DEN vs. POR,L,240,33,89,0.371,2,19,0.105,28,39,0.718,13,38,51,15,1,9,5,23,96,-4,1
