,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
21,203999,22,Nikola Jokic,DEN,80,2504,616,1206,0.511,83,270,0.307,289,352,0.821,228,637,865,580,108,55,248,228,1604,2311,2.34,0.44
40,1627750,41,Jamal Murray,DEN,75,2447,513,1173,0.437,152,414,0.367,189,223,0.848,65,252,317,363,67,27,158,153,1367,1289,2.3,0.42
99,1627736,99,Malik Beasley,DEN,81,1879,349,737,0.474,163,405,0.402,56,66,0.848,35,165,200,97,55,10,55,116,917,826,1.76,1.0
107,200794,108,Paul Millsap,DEN,70,1895,322,665,0.484,58,159,0.365,181,249,0.727,153,352,505,141,83,54,95,183,883,1160,1.48,0.87
116,1628420,117,Monte Morris,DEN,82,1970,346,702,0.493,94,227,0.414,65,81,0.802,35,159,194,297,73,4,52,102,851,995,5.71,1.4
140,203914,141,Gary Harris,DEN,57,1639,270,637,0.424,82,242,0.339,115,144,0.799,41,119,160,127,55,19,68,113,737,634,1.87,0.81
169,203486,170,Mason Plumlee,DEN,82,1731,262,442,0.593,2,10,0.2,111,198,0.561,165,359,524,243,66,76,126,252,637,1153,1.93,0.52
196,1626168,197,Trey Lyles,DEN,64,1120,207,495,0.418,51,200,0.255,81,116,0.698,44,202,246,87,30,23,68,93,546,541,1.28,0.44
224,203115,223,Will Barton,DEN,43,1189,185,460,0.402,67,196,0.342,57,74,0.77,32,167,199,124,18,22,65,82,494,500,1.91,0.28
253,1628470,253,Torrey Craig,DEN,75,1503,160,362,0.442,61,188,0.324,49,70,0.7,89,174,263,72,37,46,44,175,430,581,1.64,0.84
269,1627823,269,Juancho Hernangomez,DEN,70,1358,138,314,0.439,66,181,0.365,66,86,0.767,64,201,265,55,27,24,37,94,408,546,1.49,0.73
407,202738,408,Isaiah Thomas,DEN,12,181,34,99,0.343,12,43,0.279,17,27,0.63,5,8,13,23,5,1,18,17,97,46,1.28,0.28
469,1629020,470,Jarred Vanderbilt,DEN,17,69,9,19,0.474,0,1,0.0,6,10,0.6,7,16,23,3,6,1,8,8,24,35,0.38,0.75
471,1629164,471,Brandon Goodwin,DEN,16,57,6,23,0.261,2,6,0.333,9,11,0.818,1,2,3,14,0,0,3,7,23,18,4.67,0.0
472,1628399,471,Tyler Lydon,DEN,25,94,9,18,0.5,4,10,0.4,1,3,0.333,7,11,18,6,2,0,4,10,23,34,1.5,0.5
481,1629118,481,Thomas Welsh,DEN,11,36,7,13,0.538,3,7,0.429,1,2,0.5,0,4,4,5,0,0,1,3,18,19,5.0,0.0
498,201156,498,Nick Young,DEN,4,37,3,9,0.333,3,8,0.375,0,0,0.0,0,1,1,2,0,1,2,4,9,5,1.0,0.0
501,1629152,502,DeVaughn Akoon-Purcell,DEN,7,22,3,10,0.3,0,4,0.0,1,2,0.5,1,3,4,6,2,0,2,4,7,9,3.0,1.0
