,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
16,22018,1610612765,DET,Detroit Pistons,0021800004,2018-10-17,DET vs. BKN,W,240,39,92,0.424,6,24,0.25,19,22,0.864,14,32,46,21,5,5,17,20,103,3,1
55,22018,1610612765,DET,Detroit Pistons,0021800031,2018-10-20,DET @ CHI,W,240,41,101,0.406,18,40,0.45,18,23,0.783,18,31,49,21,4,4,10,23,118,2,1
97,22018,1610612765,DET,Detroit Pistons,0021800049,2018-10-23,DET vs. PHI,W,265,51,108,0.472,12,33,0.364,19,27,0.704,12,34,46,22,4,4,8,24,133,1,1
129,22018,1610612765,DET,Detroit Pistons,0021800063,2018-10-25,DET vs. CLE,W,240,41,78,0.526,11,28,0.393,17,29,0.586,13,35,48,21,4,5,20,21,110,7,1
155,22018,1610612765,DET,Detroit Pistons,0021800074,2018-10-27,DET vs. BOS,L,240,33,89,0.371,7,37,0.189,16,20,0.8,6,41,47,16,4,3,11,24,89,-20,1
191,22018,1610612765,DET,Detroit Pistons,0021800099,2018-10-30,DET @ BOS,L,240,37,88,0.42,8,30,0.267,23,27,0.852,11,39,50,17,6,3,17,28,105,-3,1
216,22018,1610612765,DET,Detroit Pistons,0021800104,2018-10-31,DET @ BKN,L,265,39,93,0.419,11,34,0.324,30,39,0.769,14,41,55,16,8,6,17,30,119,-1,1
249,22018,1610612765,DET,Detroit Pistons,0021800125,2018-11-03,DET @ PHI,L,240,33,83,0.398,5,30,0.167,28,41,0.683,7,37,44,16,8,3,17,32,99,-10,1
287,22018,1610612765,DET,Detroit Pistons,0021800140,2018-11-05,DET vs. MIA,L,265,43,105,0.41,11,35,0.314,18,28,0.643,21,39,60,27,8,3,19,30,115,-5,1
307,22018,1610612765,DET,Detroit Pistons,0021800154,2018-11-07,DET @ ORL,W,240,37,90,0.411,11,37,0.297,18,20,0.9,13,37,50,21,13,1,20,15,103,7,1
340,22018,1610612765,DET,Detroit Pistons,0021800169,2018-11-09,DET @ ATL,W,240,46,97,0.474,20,47,0.426,12,19,0.632,10,34,44,30,10,6,11,31,124,15,1
373,22018,1610612765,DET,Detroit Pistons,0021800184,2018-11-11,DET vs. CHA,L,240,38,104,0.365,12,44,0.273,15,19,0.789,22,29,51,21,5,4,10,18,103,-10,1
420,22018,1610612765,DET,Detroit Pistons,0021800206,2018-11-14,DET @ TOR,W,240,44,91,0.484,10,33,0.303,8,13,0.615,7,32,39,24,8,5,18,24,106,2,1
