,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
9,201933,10,Blake Griffin,DET,75,2622,619,1341,0.462,189,522,0.362,414,550,0.753,100,465,565,402,52,28,253,199,1841,1777,1.59,0.21
39,203083,40,Andre Drummond,DET,79,2647,561,1052,0.533,5,38,0.132,243,412,0.59,423,809,1232,112,136,138,175,272,1370,2153,0.64,0.78
50,202704,51,Reggie Jackson,DET,82,2289,441,1047,0.421,174,471,0.369,204,236,0.864,45,171,216,344,55,9,148,208,1260,1098,2.32,0.37
164,204038,165,Langston Galloway,DET,80,1745,228,587,0.388,135,380,0.355,81,96,0.844,49,122,171,85,37,8,24,135,672,575,3.54,1.54
176,1628379,177,Luke Kennard,DET,63,1437,228,520,0.438,106,269,0.394,51,61,0.836,12,171,183,114,26,10,57,92,613,587,2.0,0.46
197,201961,198,Wayne Ellington,DET,53,1297,184,457,0.403,138,372,0.371,39,49,0.796,14,93,107,72,54,6,40,92,545,461,1.8,1.35
218,202397,219,Ish Smith,DET,56,1251,205,489,0.419,44,135,0.326,47,62,0.758,23,122,145,203,28,11,61,109,501,528,3.33,0.46
291,1627748,292,Thon Maker,DET,64,972,109,268,0.407,49,153,0.32,56,84,0.667,41,161,202,45,21,51,33,105,323,422,1.36,0.64
293,1628971,294,Bruce Brown,DET,74,1449,125,314,0.398,24,93,0.258,45,60,0.75,48,137,185,91,40,36,46,178,319,421,1.98,0.87
315,2585,316,Zaza Pachulia,DET,68,878,85,193,0.44,0,4,0.0,97,124,0.782,99,166,265,91,31,17,57,151,267,479,1.6,0.54
346,203922,347,Glenn Robinson III,DET,47,610,74,176,0.42,18,62,0.29,32,40,0.8,17,54,71,21,14,8,18,45,198,184,1.17,0.78
371,202720,372,Jon Leuer,DET,41,402,66,113,0.584,1,11,0.091,23,31,0.742,27,70,97,14,12,4,23,60,156,205,0.61,0.52
388,1629004,389,Svi Mykhailiuk,DET,42,440,46,140,0.329,29,89,0.326,12,20,0.6,9,27,36,37,14,1,21,25,133,98,1.76,0.67
400,101181,401,Jose Calderon,DET,49,632,45,120,0.375,14,57,0.246,9,11,0.818,11,49,60,115,16,3,35,64,113,195,3.29,0.46
430,1629017,431,Khyri Thomas,DET,26,195,22,69,0.319,10,35,0.286,7,11,0.636,4,16,20,8,7,5,4,22,61,46,2.0,1.75
515,203564,514,Kalin Lucas,DET,1,6,0,1,0.0,0,1,0.0,2,2,1.0,0,3,3,1,0,0,0,1,2,5,0.0,0.0
529,1629155,521,Zach Lofton,DET,1,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-1,0.0,1.0
