,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
3,42018,1610612744,GSW,Golden State Warriors,0041800141,2019-04-13,GSW vs. LAC,W,240,45,92,0.489,14,30,0.467,17,20,0.85,12,42,54,31,9,14,21,22,121,17,1
18,42018,1610612744,GSW,Golden State Warriors,0041800142,2019-04-15,GSW vs. LAC,L,240,40,75,0.533,11,28,0.393,40,45,0.889,7,31,38,31,11,6,22,31,131,-4,1
36,42018,1610612744,GSW,Golden State Warriors,0041800143,2019-04-18,GSW @ LAC,W,240,51,93,0.548,15,35,0.429,15,18,0.833,10,40,50,35,4,11,12,28,132,27,1
53,42018,1610612744,GSW,Golden State Warriors,0041800144,2019-04-21,GSW @ LAC,W,240,42,89,0.472,12,31,0.387,17,19,0.895,11,38,49,27,5,2,13,27,113,8,1
73,42018,1610612744,GSW,Golden State Warriors,0041800145,2019-04-24,GSW vs. LAC,L,240,43,96,0.448,15,39,0.385,20,22,0.909,15,24,39,31,7,3,8,23,121,-8,1
79,42018,1610612744,GSW,Golden State Warriors,0041800146,2019-04-26,GSW @ LAC,W,240,47,89,0.528,10,30,0.333,25,31,0.806,7,39,46,32,6,9,10,24,129,19,1
85,42018,1610612744,GSW,Golden State Warriors,0041800221,2019-04-28,GSW vs. HOU,W,240,38,75,0.507,7,22,0.318,21,27,0.778,8,30,38,24,7,3,20,24,104,4,1
93,42018,1610612744,GSW,Golden State Warriors,0041800222,2019-04-30,GSW vs. HOU,W,240,42,91,0.462,11,36,0.306,20,24,0.833,18,27,45,24,10,5,12,23,115,6,1
104,42018,1610612744,GSW,Golden State Warriors,0041800223,2019-05-04,GSW @ HOU,L,265,42,95,0.442,14,33,0.424,23,29,0.793,7,28,35,27,6,6,8,22,121,-5,1
112,42018,1610612744,GSW,Golden State Warriors,0041800224,2019-05-06,GSW @ HOU,L,240,42,90,0.467,8,33,0.242,16,23,0.696,8,35,43,24,6,2,11,21,108,-4,1
118,42018,1610612744,GSW,Golden State Warriors,0041800225,2019-05-08,GSW vs. HOU,W,240,39,85,0.459,13,37,0.351,13,18,0.722,12,30,42,28,6,1,15,19,104,5,1
127,42018,1610612744,GSW,Golden State Warriors,0041800226,2019-05-10,GSW @ HOU,W,240,42,85,0.494,16,38,0.421,18,23,0.783,10,25,35,25,9,7,17,19,118,5,1
133,42018,1610612744,GSW,Golden State Warriors,0041800311,2019-05-14,GSW vs. POR,W,240,42,84,0.5,17,33,0.515,15,18,0.833,11,31,42,30,13,8,14,24,116,22,1
136,42018,1610612744,GSW,Golden State Warriors,0041800312,2019-05-16,GSW vs. POR,W,240,42,82,0.512,9,29,0.31,21,27,0.778,12,38,50,30,4,9,16,21,114,3,1
141,42018,1610612744,GSW,Golden State Warriors,0041800313,2019-05-18,GSW @ POR,W,240,41,84,0.488,8,26,0.308,20,23,0.87,7,42,49,27,9,5,14,24,110,11,1
145,42018,1610612744,GSW,Golden State Warriors,0041800314,2019-05-20,GSW @ POR,W,265,46,99,0.465,12,39,0.308,15,19,0.789,15,41,56,30,10,5,15,17,119,2,1
153,42018,1610612744,GSW,Golden State Warriors,0041800401,2019-05-30,GSW @ TOR,L,240,34,78,0.436,12,31,0.387,29,31,0.935,9,29,38,29,6,2,17,27,109,-9,1
154,42018,1610612744,GSW,Golden State Warriors,0041800402,2019-06-02,GSW @ TOR,W,240,38,82,0.463,13,34,0.382,20,23,0.87,6,36,42,34,7,5,16,26,109,5,1
157,42018,1610612744,GSW,Golden State Warriors,0041800403,2019-06-05,GSW vs. TOR,L,240,36,91,0.396,12,36,0.333,25,30,0.833,13,28,41,25,8,3,15,21,109,-14,1
158,42018,1610612744,GSW,Golden State Warriors,0041800404,2019-06-07,GSW vs. TOR,L,240,35,78,0.449,8,27,0.296,14,21,0.667,8,34,42,26,6,6,19,23,92,-13,1
160,42018,1610612744,GSW,Golden State Warriors,0041800405,2019-06-10,GSW @ TOR,W,240,38,82,0.463,20,42,0.476,10,14,0.714,6,31,37,27,5,7,16,22,106,1,1
162,42018,1610612744,GSW,Golden State Warriors,0041800406,2019-06-13,GSW vs. TOR,L,240,39,80,0.488,11,31,0.355,21,30,0.7,11,31,42,28,9,6,17,23,110,-4,1
