,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
5,201142,6,Kevin Durant,GSW,78,2702,721,1383,0.521,137,388,0.353,448,506,0.885,33,464,497,457,58,84,225,155,2027,2178,2.03,0.26
7,201939,8,Stephen Curry,GSW,69,2331,632,1340,0.472,354,810,0.437,263,287,0.916,45,324,369,361,92,25,192,166,1881,1804,1.88,0.48
16,202691,17,Klay Thompson,GSW,78,2652,655,1402,0.467,241,599,0.402,129,158,0.816,37,262,299,186,84,47,115,157,1680,1405,1.62,0.73
215,1626188,216,Quinn Cook,GSW,74,1059,204,439,0.465,81,200,0.405,20,26,0.769,22,135,157,116,20,3,50,92,509,514,2.32,0.4
219,1626172,220,Kevon Looney,GSW,80,1481,217,347,0.625,1,10,0.1,65,105,0.619,194,223,417,123,46,53,51,211,500,918,2.41,0.9
226,202326,227,DeMarcus Cousins,GSW,30,771,178,371,0.48,26,95,0.274,106,144,0.736,43,204,247,107,40,44,72,109,488,623,1.49,0.56
227,203110,228,Draymond Green,GSW,66,2065,188,422,0.445,47,165,0.285,63,91,0.692,60,421,481,454,95,70,169,197,486,1155,2.69,0.56
243,201973,243,Jonas Jerebko,GSW,73,1218,163,355,0.459,69,188,0.367,64,80,0.8,72,216,288,96,27,18,43,137,459,637,2.23,0.63
273,2738,274,Andre Iguodala,GSW,68,1578,151,302,0.5,48,144,0.333,39,67,0.582,48,204,252,216,61,51,52,95,389,738,4.15,1.17
288,1628035,289,Alfonzo McKinnie,GSW,72,1003,134,275,0.487,42,118,0.356,27,48,0.563,81,166,247,31,18,15,30,134,337,456,1.03,0.6
317,2733,318,Shaun Livingston,GSW,64,967,109,210,0.519,0,2,0.0,40,51,0.784,42,75,117,114,31,27,38,74,258,397,3.0,0.82
337,1628395,338,Jordan Bell,GSW,68,788,99,192,0.516,0,2,0.0,25,41,0.61,55,129,184,76,20,51,42,80,223,403,1.81,0.48
368,1627814,369,Damion Lee,GSW,32,375,56,127,0.441,27,68,0.397,19,22,0.864,8,56,64,13,13,0,11,28,158,163,1.18,1.18
390,1627745,391,Damian Jones,GSW,24,410,53,74,0.716,0,0,0.0,24,37,0.649,31,44,75,28,12,25,16,63,130,220,1.75,0.75
441,1629094,442,Marcus Derrickson,GSW,11,67,16,33,0.485,10,20,0.5,4,5,0.8,8,5,13,1,0,1,3,9,46,40,0.33,0.0
447,1628980,447,Jacob Evans,GSW,30,204,18,53,0.34,4,15,0.267,0,1,0.0,6,19,25,23,5,3,11,28,40,49,2.09,0.46
450,101106,451,Andrew Bogut,GSW,11,134,18,36,0.5,0,0,0.0,3,3,1.0,12,43,55,11,3,8,8,22,39,90,1.38,0.38
