,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
14,22018,1610612745,HOU,Houston Rockets,0021800009,2018-10-17,HOU vs. NOP,L,240,39,92,0.424,16,48,0.333,18,24,0.75,8,29,37,21,8,7,12,22,112,-19,1
52,22018,1610612745,HOU,Houston Rockets,0021800035,2018-10-20,HOU @ LAL,W,240,44,96,0.458,16,42,0.381,20,30,0.667,13,41,54,22,7,4,18,21,124,9,1
70,22018,1610612745,HOU,Houston Rockets,0021800039,2018-10-21,HOU @ LAC,L,240,43,89,0.483,15,35,0.429,11,15,0.733,6,29,35,28,6,6,12,23,112,-3,1
113,22018,1610612745,HOU,Houston Rockets,0021800057,2018-10-24,HOU vs. UTA,L,240,35,87,0.402,11,40,0.275,8,14,0.571,10,25,35,16,12,5,17,23,89,-11,1
134,22018,1610612745,HOU,Houston Rockets,0021800070,2018-10-26,HOU vs. LAC,L,240,38,98,0.388,15,41,0.366,22,25,0.88,16,26,42,21,11,7,13,27,113,-20,1
196,22018,1610612745,HOU,Houston Rockets,0021800101,2018-10-30,HOU vs. POR,L,240,31,96,0.323,10,43,0.233,13,23,0.565,20,29,49,18,7,9,12,25,85,-19,1
238,22018,1610612745,HOU,Houston Rockets,0021800118,2018-11-02,HOU @ BKN,W,240,41,83,0.494,15,39,0.385,22,32,0.688,11,30,41,22,4,10,9,21,119,8,1
252,22018,1610612745,HOU,Houston Rockets,0021800129,2018-11-03,HOU @ CHI,W,240,35,83,0.422,13,42,0.31,13,20,0.65,10,35,45,21,13,5,19,22,96,8,1
290,22018,1610612745,HOU,Houston Rockets,0021800141,2018-11-05,HOU @ IND,W,240,34,76,0.447,15,47,0.319,15,16,0.938,5,34,39,23,9,6,17,24,98,4,1
331,22018,1610612745,HOU,Houston Rockets,0021800163,2018-11-08,HOU @ OKC,L,240,31,82,0.378,11,42,0.262,7,10,0.7,12,27,39,16,9,3,17,26,80,-18,1
349,22018,1610612745,HOU,Houston Rockets,0021800180,2018-11-10,HOU @ SAS,L,240,30,90,0.333,9,41,0.22,20,29,0.69,15,34,49,11,10,5,8,24,89,-7,1
370,22018,1610612745,HOU,Houston Rockets,0021800185,2018-11-11,HOU vs. IND,W,240,36,74,0.486,20,47,0.426,23,32,0.719,8,30,38,18,6,5,17,22,115,12,1
401,22018,1610612745,HOU,Houston Rockets,0021800200,2018-11-13,HOU @ DEN,W,240,39,71,0.549,13,37,0.351,18,26,0.692,6,26,32,23,7,6,15,20,109,10,1
427,22018,1610612745,HOU,Houston Rockets,0021800213,2018-11-15,HOU vs. GSW,W,240,35,87,0.402,16,47,0.34,21,26,0.808,14,27,41,20,8,4,8,21,107,21,1
456,22018,1610612745,HOU,Houston Rockets,0021800231,2018-11-17,HOU vs. SAC,W,240,46,81,0.568,20,47,0.426,20,24,0.833,6,35,41,27,9,10,22,20,132,20,1
515,22018,1610612745,HOU,Houston Rockets,0021800258,2018-11-21,HOU vs. DET,W,240,40,72,0.556,13,33,0.394,33,36,0.917,5,31,36,18,8,7,15,25,126,2,1
543,22018,1610612745,HOU,Houston Rockets,0021800267,2018-11-23,HOU @ DET,L,265,41,98,0.418,10,36,0.278,19,21,0.905,17,27,44,22,6,7,14,26,111,-5,1
559,22018,1610612745,HOU,Houston Rockets,0021800279,2018-11-24,HOU @ CLE,L,240,37,74,0.5,15,39,0.385,19,28,0.679,8,23,31,18,5,4,16,19,108,-9,1
597,22018,1610612745,HOU,Houston Rockets,0021800296,2018-11-26,HOU @ WAS,L,265,46,97,0.474,18,48,0.375,21,27,0.778,18,30,48,22,8,5,21,31,131,-4,1
617,22018,1610612745,HOU,Houston Rockets,0021800309,2018-11-28,HOU vs. DAL,L,240,40,87,0.46,13,45,0.289,15,23,0.652,15,23,38,28,10,5,18,26,108,-20,1
639,22018,1610612745,HOU,Houston Rockets,0021800326,2018-11-30,HOU @ SAS,W,240,49,98,0.5,22,54,0.407,16,20,0.8,13,36,49,32,9,6,6,22,136,31,1
663,22018,1610612745,HOU,Houston Rockets,0021800334,2018-12-01,HOU vs. CHI,W,240,42,84,0.5,16,41,0.39,21,30,0.7,6,41,47,23,8,7,14,21,121,16,1
693,22018,1610612745,HOU,Houston Rockets,0021800348,2018-12-03,HOU @ MIN,L,240,32,74,0.432,11,39,0.282,16,19,0.842,7,27,34,24,9,6,20,27,91,-12,1
732,22018,1610612745,HOU,Houston Rockets,0021800367,2018-12-06,HOU @ UTA,L,240,34,88,0.386,8,36,0.222,15,17,0.882,14,29,43,13,5,5,23,26,91,-27,1
766,22018,1610612745,HOU,Houston Rockets,0021800378,2018-12-08,HOU @ DAL,L,240,39,86,0.453,15,47,0.319,11,13,0.846,10,26,36,20,5,3,12,19,104,-3,1
807,22018,1610612745,HOU,Houston Rockets,0021800402,2018-12-11,HOU vs. POR,W,240,42,85,0.494,9,29,0.31,18,27,0.667,12,30,42,22,9,5,7,21,111,7,1
837,22018,1610612745,HOU,Houston Rockets,0021800416,2018-12-13,HOU vs. LAL,W,240,42,85,0.494,15,34,0.441,27,32,0.844,15,28,43,24,8,2,14,24,126,15,1
866,22018,1610612745,HOU,Houston Rockets,0021800432,2018-12-15,HOU @ MEM,W,240,35,73,0.479,13,37,0.351,22,25,0.88,6,30,36,23,5,2,14,22,105,8,1
892,22018,1610612745,HOU,Houston Rockets,0021800445,2018-12-17,HOU vs. UTA,W,240,32,86,0.372,12,37,0.324,26,31,0.839,9,30,39,16,13,7,17,24,102,5,1
917,22018,1610612745,HOU,Houston Rockets,0021800461,2018-12-19,HOU vs. WAS,W,240,47,85,0.553,26,55,0.473,16,21,0.762,8,33,41,30,8,2,17,21,136,18,1
935,22018,1610612745,HOU,Houston Rockets,0021800467,2018-12-20,HOU @ MIA,L,240,29,82,0.354,18,54,0.333,23,30,0.767,8,33,41,20,6,3,8,23,99,-2,1
963,22018,1610612745,HOU,Houston Rockets,0021800483,2018-12-22,HOU vs. SAS,W,240,37,95,0.389,19,54,0.352,15,21,0.714,19,39,58,22,4,3,9,18,108,7,1
998,22018,1610612745,HOU,Houston Rockets,0021800498,2018-12-25,HOU vs. OKC,W,240,44,97,0.454,14,44,0.318,11,17,0.647,17,37,54,18,9,4,20,25,113,4,1
1024,22018,1610612745,HOU,Houston Rockets,0021800512,2018-12-27,HOU vs. BOS,W,240,41,86,0.477,18,45,0.4,27,35,0.771,16,39,55,17,4,4,13,22,127,14,1
1069,22018,1610612745,HOU,Houston Rockets,0021800528,2018-12-29,HOU @ NOP,W,240,35,81,0.432,16,46,0.348,22,28,0.786,8,31,39,21,9,7,12,20,108,4,1
1087,22018,1610612745,HOU,Houston Rockets,0021800544,2018-12-31,HOU vs. MEM,W,240,31,70,0.443,18,41,0.439,33,45,0.733,7,39,46,19,5,4,14,25,113,12,1
1124,22018,1610612745,HOU,Houston Rockets,0021800565,2019-01-03,HOU @ GSW,W,265,45,99,0.455,21,54,0.389,24,28,0.857,13,35,48,30,8,5,11,20,135,1,1
1158,22018,1610612745,HOU,Houston Rockets,0021800582,2019-01-05,HOU @ POR,L,240,39,84,0.464,13,38,0.342,10,12,0.833,10,30,40,13,6,5,12,22,101,-9,1
1182,22018,1610612745,HOU,Houston Rockets,0021800593,2019-01-07,HOU vs. DEN,W,240,38,76,0.5,22,47,0.468,27,34,0.794,4,30,34,28,8,3,15,23,125,12,1
1219,22018,1610612745,HOU,Houston Rockets,0021800610,2019-01-09,HOU vs. MIL,L,240,32,85,0.376,18,48,0.375,27,32,0.844,14,32,46,19,4,7,19,18,109,-7,1
1247,22018,1610612745,HOU,Houston Rockets,0021800625,2019-01-11,HOU vs. CLE,W,240,46,89,0.517,20,52,0.385,29,32,0.906,8,37,45,28,8,9,15,18,141,28,1
1278,22018,1610612745,HOU,Houston Rockets,0021800641,2019-01-13,HOU @ ORL,L,240,38,86,0.442,10,42,0.238,23,27,0.852,9,29,38,20,7,1,10,21,109,-7,1
1295,22018,1610612745,HOU,Houston Rockets,0021800646,2019-01-14,HOU vs. MEM,W,240,37,84,0.44,18,48,0.375,20,22,0.909,7,29,36,17,12,3,14,20,112,18,1
1318,22018,1610612745,HOU,Houston Rockets,0021800659,2019-01-16,HOU vs. BKN,L,265,45,105,0.429,23,70,0.329,29,34,0.853,10,37,47,18,7,8,10,24,142,-3,1
1360,22018,1610612745,HOU,Houston Rockets,0021800686,2019-01-19,HOU vs. LAL,W,265,42,100,0.42,25,68,0.368,29,36,0.806,12,27,39,23,9,4,12,27,138,4,1
