,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
10,42018,1610612745,HOU,Houston Rockets,0041800171,2019-04-14,HOU vs. UTA,W,240,48,95,0.505,15,41,0.366,11,12,0.917,8,34,42,25,6,6,12,20,122,32,1
28,42018,1610612745,HOU,Houston Rockets,0041800172,2019-04-17,HOU vs. UTA,W,240,38,80,0.475,17,42,0.405,25,30,0.833,8,38,46,17,8,9,18,18,118,20,1
50,42018,1610612745,HOU,Houston Rockets,0041800173,2019-04-20,HOU @ UTA,W,240,33,86,0.384,15,45,0.333,23,34,0.676,9,43,52,19,11,4,13,25,104,3,1
62,42018,1610612745,HOU,Houston Rockets,0041800174,2019-04-22,HOU @ UTA,L,240,28,79,0.354,17,46,0.37,18,24,0.75,9,26,35,14,9,4,16,23,91,-16,1
74,42018,1610612745,HOU,Houston Rockets,0041800175,2019-04-24,HOU vs. UTA,W,240,36,81,0.444,13,37,0.351,15,22,0.682,9,37,46,17,12,12,17,21,100,7,1
84,42018,1610612745,HOU,Houston Rockets,0041800221,2019-04-28,HOU @ GSW,L,240,31,74,0.419,14,47,0.298,24,29,0.828,3,23,26,14,14,3,16,21,100,-4,1
92,42018,1610612745,HOU,Houston Rockets,0041800222,2019-04-30,HOU @ GSW,L,240,36,77,0.468,17,40,0.425,20,25,0.8,10,31,41,17,5,2,18,21,109,-6,1
105,42018,1610612745,HOU,Houston Rockets,0041800223,2019-05-04,HOU vs. GSW,W,265,45,93,0.484,18,42,0.429,18,26,0.692,17,38,55,20,4,6,16,24,126,5,1
113,42018,1610612745,HOU,Houston Rockets,0041800224,2019-05-06,HOU vs. GSW,W,240,39,89,0.438,17,50,0.34,17,24,0.708,13,37,50,18,6,6,14,23,112,4,1
119,42018,1610612745,HOU,Houston Rockets,0041800225,2019-05-08,HOU @ GSW,L,240,33,79,0.418,12,41,0.293,21,24,0.875,8,31,39,19,10,3,17,20,99,-5,1
126,42018,1610612745,HOU,Houston Rockets,0041800226,2019-05-10,HOU vs. GSW,L,240,42,89,0.472,17,39,0.436,12,17,0.706,12,28,40,21,9,1,17,22,113,-5,1
