,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
0,201935,1,James Harden,HOU,78,2867,843,1909,0.442,378,1028,0.368,754,858,0.879,66,452,518,586,158,58,387,244,2818,2581,1.51,0.41
65,203991,66,Clint Capela,HOU,67,2249,474,732,0.648,0,0,0.0,166,261,0.636,298,550,848,96,44,102,94,168,1114,1757,1.02,0.47
68,201569,69,Eric Gordon,HOU,68,2158,384,938,0.409,216,600,0.36,119,152,0.783,17,131,148,129,41,27,90,143,1103,771,1.43,0.46
102,101108,103,Chris Paul,HOU,58,1857,302,720,0.419,127,355,0.358,175,203,0.862,36,229,265,473,114,18,152,146,906,1178,3.11,0.75
162,101123,163,Gerald Green,HOU,73,1473,231,578,0.4,156,441,0.354,57,68,0.838,30,152,182,40,33,27,55,126,675,544,0.73,0.6
175,203085,176,Austin Rivers,HOU,76,2028,232,572,0.406,104,327,0.318,50,95,0.526,25,137,162,167,47,23,68,207,618,564,2.46,0.69
180,200782,181,P.J. Tucker,HOU,82,2802,207,523,0.396,146,387,0.377,41,59,0.695,121,358,479,96,132,39,63,252,601,950,1.52,2.1
238,202697,239,Iman Shumpert,HOU,62,1481,167,446,0.374,95,273,0.348,36,45,0.8,27,156,183,112,59,24,50,127,465,505,2.24,1.18
276,202702,277,Kenneth Faried,HOU,37,728,156,265,0.589,8,25,0.32,64,99,0.646,97,153,250,20,17,23,33,82,384,517,0.61,0.52
282,1627863,283,Danuel House Jr.,HOU,39,979,118,252,0.468,74,178,0.416,56,71,0.789,25,115,140,40,21,11,35,80,366,394,1.14,0.6
377,2403,376,Nene,HOU,42,546,60,116,0.517,0,3,0.0,31,47,0.66,34,89,123,26,18,15,11,87,151,250,2.36,1.64
378,1629109,379,Gary Clark,HOU,51,641,50,151,0.331,41,138,0.297,7,7,1.0,24,92,116,18,20,26,7,47,148,220,2.57,2.86
386,2546,387,Carmelo Anthony,HOU,10,294,49,121,0.405,21,64,0.328,15,22,0.682,9,45,54,5,4,7,8,32,134,117,0.63,0.5
435,1628392,436,Isaiah Hartenstein,HOU,28,221,20,41,0.488,2,6,0.333,11,14,0.786,21,26,47,15,7,12,13,56,53,97,1.15,0.54
456,203263,456,James Nunnally,HOU,15,101,12,34,0.353,8,25,0.32,4,4,1.0,0,5,5,7,1,0,1,10,36,26,7.0,1.0
503,1629185,504,Chris Chiozza,HOU,7,33,2,8,0.25,2,5,0.4,0,0,0.0,1,3,4,4,1,1,1,2,6,9,4.0,1.0
508,1628979,508,Trevon Duval,HOU,3,6,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,2,0,0,0,0,5,7,0.0,0.0
512,1629053,511,Vincent Edwards,HOU,2,16,1,4,0.25,1,4,0.25,0,0,0.0,1,1,2,0,0,0,0,0,3,2,0.0,0.0
517,203093,514,Terrence Jones,HOU,2,5,1,4,0.25,0,2,0.0,0,1,0.0,0,4,4,0,0,0,1,1,2,1,0.0,0.0
519,1627753,514,Zhou Qi,HOU,1,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
