,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
19,22018,1610612754,IND,Indiana Pacers,0021800005,2018-10-17,IND vs. MEM,W,240,47,83,0.566,10,26,0.385,7,13,0.538,13,44,57,29,2,7,20,24,111,28,1
41,22018,1610612754,IND,Indiana Pacers,0021800023,2018-10-19,IND @ MIL,L,240,38,87,0.437,6,18,0.333,19,27,0.704,9,32,41,14,7,3,17,25,101,-17,1
65,22018,1610612754,IND,Indiana Pacers,0021800026,2018-10-20,IND vs. BKN,W,240,51,92,0.554,16,24,0.667,14,22,0.636,10,30,40,21,12,5,11,18,132,20,1
92,22018,1610612754,IND,Indiana Pacers,0021800043,2018-10-22,IND @ MIN,L,240,36,92,0.391,8,26,0.308,11,16,0.688,12,33,45,18,6,6,15,24,91,-10,1
105,22018,1610612754,IND,Indiana Pacers,0021800058,2018-10-24,IND @ SAS,W,240,46,87,0.529,17,32,0.531,7,8,0.875,5,35,40,34,9,5,10,22,116,20,1
150,22018,1610612754,IND,Indiana Pacers,0021800077,2018-10-27,IND @ CLE,W,240,48,74,0.649,5,13,0.385,18,26,0.692,4,20,24,28,13,3,15,15,119,12,1
184,22018,1610612754,IND,Indiana Pacers,0021800087,2018-10-29,IND vs. POR,L,240,37,90,0.411,6,19,0.316,13,20,0.65,7,28,35,19,8,5,9,20,93,-10,1
212,22018,1610612754,IND,Indiana Pacers,0021800105,2018-10-31,IND @ NYK,W,240,45,83,0.542,6,20,0.3,11,17,0.647,10,31,41,24,10,10,15,19,107,6,1
234,22018,1610612754,IND,Indiana Pacers,0021800120,2018-11-02,IND @ CHI,W,240,40,85,0.471,7,26,0.269,20,22,0.909,9,33,42,21,8,9,11,13,107,2,1
257,22018,1610612754,IND,Indiana Pacers,0021800127,2018-11-03,IND vs. BOS,W,240,36,86,0.419,11,32,0.344,19,25,0.76,8,37,45,23,10,2,13,16,102,1,1
291,22018,1610612754,IND,Indiana Pacers,0021800141,2018-11-05,IND vs. HOU,L,240,33,75,0.44,8,28,0.286,20,30,0.667,7,32,39,17,8,3,16,15,94,-4,1
314,22018,1610612754,IND,Indiana Pacers,0021800157,2018-11-07,IND vs. PHI,L,240,37,94,0.394,8,31,0.258,12,17,0.706,8,33,41,19,9,6,12,21,94,-6,1
337,22018,1610612754,IND,Indiana Pacers,0021800170,2018-11-09,IND @ MIA,W,240,43,79,0.544,7,20,0.35,17,29,0.586,6,33,39,20,10,5,18,26,110,8,1
371,22018,1610612754,IND,Indiana Pacers,0021800185,2018-11-11,IND @ HOU,L,240,36,78,0.462,11,29,0.379,20,26,0.769,5,30,35,24,10,6,13,22,103,-12,1
436,22018,1610612754,IND,Indiana Pacers,0021800217,2018-11-16,IND vs. MIA,W,240,36,81,0.444,14,27,0.519,13,15,0.867,4,43,47,22,10,6,19,14,99,8,1
459,22018,1610612754,IND,Indiana Pacers,0021800226,2018-11-17,IND vs. ATL,W,240,35,87,0.402,12,30,0.4,15,21,0.714,10,43,53,25,11,6,24,26,97,8,1
483,22018,1610612754,IND,Indiana Pacers,0021800241,2018-11-19,IND vs. UTA,W,240,49,93,0.527,12,25,0.48,11,17,0.647,11,33,44,35,13,3,9,17,121,27,1
527,22018,1610612754,IND,Indiana Pacers,0021800252,2018-11-21,IND @ CHA,L,240,41,84,0.488,11,33,0.333,16,17,0.941,10,27,37,26,5,7,14,19,109,-18,1
547,22018,1610612754,IND,Indiana Pacers,0021800272,2018-11-23,IND vs. SAS,L,240,46,99,0.465,3,24,0.125,5,9,0.556,11,34,45,31,9,2,12,22,100,-11,1
593,22018,1610612754,IND,Indiana Pacers,0021800299,2018-11-26,IND @ UTA,W,240,49,84,0.583,9,18,0.5,14,17,0.824,4,35,39,33,13,4,16,17,121,33,1
600,22018,1610612754,IND,Indiana Pacers,0021800305,2018-11-27,IND @ PHX,W,240,38,90,0.422,11,26,0.423,22,29,0.759,17,38,55,25,8,6,12,13,109,5,1
630,22018,1610612754,IND,Indiana Pacers,0021800317,2018-11-29,IND @ LAL,L,240,32,86,0.372,10,23,0.435,22,27,0.815,10,34,44,23,14,4,17,22,96,-8,1
666,22018,1610612754,IND,Indiana Pacers,0021800336,2018-12-01,IND @ SAC,L,240,43,82,0.524,10,24,0.417,14,18,0.778,6,36,42,32,11,5,25,26,110,-1,1
705,22018,1610612754,IND,Indiana Pacers,0021800350,2018-12-04,IND vs. CHI,W,240,35,76,0.461,6,22,0.273,20,24,0.833,6,39,45,22,10,6,18,13,96,6,1
743,22018,1610612754,IND,Indiana Pacers,0021800370,2018-12-07,IND @ ORL,W,240,44,93,0.473,9,26,0.346,15,18,0.833,11,42,53,26,8,8,10,17,112,22,1
765,22018,1610612754,IND,Indiana Pacers,0021800379,2018-12-08,IND vs. SAC,W,240,40,92,0.435,8,30,0.267,19,22,0.864,15,37,52,26,7,8,17,17,107,10,1
