,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
32,202711,33,Bojan Bogdanovic,IND,81,2573,522,1051,0.497,164,386,0.425,246,305,0.807,33,300,333,161,69,1,134,138,1454,1296,1.2,0.52
74,1627734,75,Domantas Sabonis,IND,74,1838,413,700,0.59,9,17,0.529,208,291,0.715,186,504,690,212,48,30,160,239,1043,1493,1.33,0.3
76,201152,77,Thaddeus Young,IND,81,2489,443,841,0.527,51,146,0.349,87,135,0.644,192,331,523,204,123,36,123,194,1024,1341,1.66,1.0
82,1626167,83,Myles Turner,IND,74,2119,380,780,0.487,76,196,0.388,148,201,0.736,101,430,531,115,60,199,100,195,984,1336,1.15,0.6
115,201954,116,Darren Collison,IND,76,2143,308,659,0.467,79,194,0.407,158,190,0.832,36,196,232,459,110,9,125,138,853,1155,3.67,0.88
117,202083,118,Wesley Matthews,IND,69,2091,279,698,0.4,150,403,0.372,132,163,0.81,32,138,170,160,54,17,91,160,840,700,1.76,0.59
152,201936,153,Tyreke Evans,IND,69,1402,257,660,0.389,77,216,0.356,115,160,0.719,33,168,201,166,58,18,118,117,706,583,1.41,0.49
163,203506,163,Victor Oladipo,IND,36,1147,249,588,0.423,74,216,0.343,103,141,0.73,21,181,202,186,60,11,82,72,675,675,2.27,0.73
191,203926,192,Doug McDermott,IND,77,1340,207,422,0.491,84,206,0.408,66,79,0.835,17,92,109,67,18,8,42,104,564,496,1.6,0.43
200,202709,201,Cory Joseph,IND,82,2063,226,548,0.412,55,171,0.322,30,43,0.698,39,240,279,321,94,22,80,131,537,838,4.01,1.18
301,1628988,302,Aaron Holiday,IND,50,646,105,262,0.401,43,127,0.339,41,50,0.82,5,62,67,87,21,13,40,71,294,276,2.18,0.53
336,1628388,337,T.J. Leaf,IND,58,522,99,183,0.541,8,31,0.258,19,31,0.613,43,82,125,24,9,19,12,35,225,294,2.0,0.75
373,203124,372,Kyle O'Quinn,IND,45,371,69,136,0.507,1,12,0.083,17,21,0.81,29,90,119,56,9,25,31,68,156,263,1.81,0.29
426,1628410,427,Edmond Sumner,IND,23,210,22,64,0.344,7,27,0.259,15,24,0.625,9,15,24,10,12,5,10,26,66,56,1.0,1.2
489,1628993,490,Alize Johnson,IND,14,64,4,16,0.25,1,2,0.5,4,8,0.5,4,15,19,1,1,3,0,7,13,21,0.0,0.0
490,1628432,491,Davon Reed,IND,10,47,5,12,0.417,2,4,0.5,0,0,0.0,2,4,6,3,1,0,1,3,12,14,3.0,1.0
523,1628387,521,Ike Anigbogu,IND,3,6,0,3,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,0,0,1,1.0,0.0
