,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
11,22018,1610612746,LAC,LA Clippers,0021800012,2018-10-17,LAC vs. DEN,L,240,35,88,0.398,8,28,0.286,20,24,0.833,9,38,47,21,3,9,14,32,98,-9,1
35,22018,1610612746,LAC,LA Clippers,0021800025,2018-10-19,LAC vs. OKC,W,240,35,81,0.432,11,26,0.423,27,36,0.75,10,38,48,21,3,3,15,24,108,16,1
71,22018,1610612746,LAC,LA Clippers,0021800039,2018-10-21,LAC vs. HOU,W,240,42,89,0.472,5,25,0.2,26,26,1.0,12,37,49,22,8,7,13,16,115,3,1
101,22018,1610612746,LAC,LA Clippers,0021800050,2018-10-23,LAC @ NOP,L,240,41,87,0.471,5,20,0.25,22,27,0.815,9,38,47,18,5,4,17,26,109,-7,1
135,22018,1610612746,LAC,LA Clippers,0021800070,2018-10-26,LAC @ HOU,W,240,43,79,0.544,12,23,0.522,35,38,0.921,5,39,44,17,8,4,16,21,133,20,1
166,22018,1610612746,LAC,LA Clippers,0021800086,2018-10-28,LAC vs. WAS,W,240,56,103,0.544,16,29,0.552,8,13,0.615,14,43,57,35,7,9,15,25,136,32,1
204,22018,1610612746,LAC,LA Clippers,0021800103,2018-10-30,LAC @ OKC,L,240,35,74,0.473,7,20,0.35,33,43,0.767,6,32,38,18,6,7,25,26,110,-18,1
221,22018,1610612746,LAC,LA Clippers,0021800113,2018-11-01,LAC @ PHI,L,240,38,86,0.442,9,23,0.391,28,33,0.848,8,34,42,19,6,7,18,28,113,-9,1
240,22018,1610612746,LAC,LA Clippers,0021800117,2018-11-02,LAC @ ORL,W,240,41,86,0.477,13,26,0.5,25,33,0.758,10,40,50,22,5,3,14,23,120,25,1
282,22018,1610612746,LAC,LA Clippers,0021800148,2018-11-05,LAC vs. MIN,W,240,43,88,0.489,14,31,0.452,20,22,0.909,13,30,43,30,5,4,12,27,120,11,1
328,22018,1610612746,LAC,LA Clippers,0021800165,2018-11-08,LAC @ POR,L,240,41,89,0.461,8,23,0.348,15,20,0.75,7,34,41,19,2,10,7,22,105,-11,1
352,22018,1610612746,LAC,LA Clippers,0021800175,2018-11-10,LAC vs. MIL,W,265,46,99,0.465,14,34,0.412,22,27,0.815,10,44,54,26,6,6,18,19,128,2,1
381,22018,1610612746,LAC,LA Clippers,0021800198,2018-11-12,LAC vs. GSW,W,265,43,91,0.473,5,20,0.25,30,34,0.882,6,43,49,23,11,5,17,23,121,5,1
424,22018,1610612746,LAC,LA Clippers,0021800215,2018-11-15,LAC vs. SAS,W,240,40,85,0.471,8,23,0.348,28,35,0.8,9,41,50,23,2,3,12,25,116,5,1
451,22018,1610612746,LAC,LA Clippers,0021800224,2018-11-17,LAC @ BKN,W,240,48,95,0.505,11,23,0.478,20,24,0.833,9,29,38,23,4,1,8,25,127,8,1
484,22018,1610612746,LAC,LA Clippers,0021800243,2018-11-19,LAC @ ATL,W,240,40,93,0.43,10,33,0.303,37,47,0.787,15,37,52,24,9,8,15,22,127,8,1
501,22018,1610612746,LAC,LA Clippers,0021800249,2018-11-20,LAC @ WAS,L,240,46,89,0.517,11,27,0.407,15,18,0.833,7,37,44,20,6,4,19,28,118,-7,1
541,22018,1610612746,LAC,LA Clippers,0021800266,2018-11-23,LAC vs. MEM,W,265,40,94,0.426,8,23,0.348,24,27,0.889,8,40,48,26,6,5,11,23,112,5,1
577,22018,1610612746,LAC,LA Clippers,0021800293,2018-11-25,LAC @ POR,W,240,38,90,0.422,5,25,0.2,23,34,0.676,11,37,48,15,9,5,4,13,104,4,1
615,22018,1610612746,LAC,LA Clippers,0021800315,2018-11-28,LAC vs. PHX,W,240,40,86,0.465,11,21,0.524,24,32,0.75,18,38,56,21,6,7,21,17,115,16,1
633,22018,1610612746,LAC,LA Clippers,0021800318,2018-11-29,LAC @ SAC,W,240,50,90,0.556,12,28,0.429,21,28,0.75,8,30,38,25,7,5,10,21,133,12,1
680,22018,1610612746,LAC,LA Clippers,0021800341,2018-12-02,LAC @ DAL,L,240,42,95,0.442,9,24,0.375,17,22,0.773,8,36,44,23,9,5,11,22,110,-4,1
697,22018,1610612746,LAC,LA Clippers,0021800349,2018-12-03,LAC @ NOP,W,240,49,83,0.59,8,20,0.4,23,30,0.767,7,32,39,29,4,1,12,21,129,3,1
725,22018,1610612746,LAC,LA Clippers,0021800360,2018-12-05,LAC @ MEM,L,240,25,74,0.338,8,23,0.348,28,35,0.8,11,36,47,16,9,4,19,21,86,-10,1
759,22018,1610612746,LAC,LA Clippers,0021800386,2018-12-08,LAC vs. MIA,L,240,33,89,0.371,7,29,0.241,25,31,0.806,13,36,49,16,5,8,16,26,98,-23,1
789,22018,1610612746,LAC,LA Clippers,0021800399,2018-12-10,LAC @ PHX,W,265,45,85,0.529,7,21,0.333,26,33,0.788,10,32,42,27,8,4,18,21,123,4,1
805,22018,1610612746,LAC,LA Clippers,0021800404,2018-12-11,LAC vs. TOR,L,240,38,86,0.442,7,25,0.28,16,19,0.842,12,32,44,25,2,5,16,16,99,-24,1
831,22018,1610612746,LAC,LA Clippers,0021800417,2018-12-13,LAC @ SAS,L,240,30,84,0.357,10,31,0.323,17,24,0.708,13,29,42,21,4,1,17,18,87,-38,1
869,22018,1610612746,LAC,LA Clippers,0021800434,2018-12-15,LAC @ OKC,L,240,38,75,0.507,13,25,0.52,15,22,0.682,6,38,44,18,7,4,26,22,104,-6,1
891,22018,1610612746,LAC,LA Clippers,0021800450,2018-12-17,LAC vs. POR,L,240,42,83,0.506,10,27,0.37,33,39,0.846,8,29,37,27,5,1,12,23,127,-4,1
933,22018,1610612746,LAC,LA Clippers,0021800468,2018-12-20,LAC vs. DAL,W,240,47,83,0.566,6,20,0.3,25,31,0.806,11,29,40,26,5,5,12,25,125,4,1
961,22018,1610612746,LAC,LA Clippers,0021800479,2018-12-22,LAC vs. DEN,W,240,53,92,0.576,10,20,0.5,16,17,0.941,13,43,56,28,7,5,18,23,132,21,1
970,22018,1610612746,LAC,LA Clippers,0021800494,2018-12-23,LAC @ GSW,L,240,43,80,0.538,18,23,0.783,23,29,0.793,5,37,42,23,1,1,17,25,127,-2,1
1009,22018,1610612746,LAC,LA Clippers,0021800511,2018-12-26,LAC vs. SAC,W,240,48,96,0.5,12,28,0.429,19,23,0.826,14,36,50,23,7,6,15,20,127,9,1
1032,22018,1610612746,LAC,LA Clippers,0021800526,2018-12-28,LAC @ LAL,W,240,40,91,0.44,6,19,0.316,32,34,0.941,7,46,53,21,10,4,14,29,118,11,1
1055,22018,1610612746,LAC,LA Clippers,0021800535,2018-12-29,LAC vs. SAS,L,240,36,82,0.439,9,20,0.45,30,38,0.789,7,33,40,22,9,2,18,25,111,-11,1
1096,22018,1610612746,LAC,LA Clippers,0021800553,2019-01-01,LAC vs. PHI,L,240,42,91,0.462,5,25,0.2,24,34,0.706,12,29,41,18,12,0,13,29,113,-6,1
1135,22018,1610612746,LAC,LA Clippers,0021800573,2019-01-04,LAC @ PHX,W,240,43,84,0.512,10,24,0.417,25,32,0.781,16,27,43,31,12,7,20,27,121,10,1
1171,22018,1610612746,LAC,LA Clippers,0021800586,2019-01-06,LAC vs. ORL,W,240,40,93,0.43,8,22,0.364,18,23,0.783,11,42,53,20,5,5,8,21,106,10,1
1202,22018,1610612746,LAC,LA Clippers,0021800606,2019-01-08,LAC vs. CHA,W,240,48,93,0.516,14,30,0.467,18,21,0.857,7,38,45,28,6,11,10,24,128,19,1
1239,22018,1610612746,LAC,LA Clippers,0021800618,2019-01-10,LAC @ DEN,L,240,38,87,0.437,6,24,0.25,18,26,0.692,8,30,38,21,4,6,12,16,100,-21,1
