,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
28,101150,29,Lou Williams,LAC,75,1993,484,1138,0.425,105,291,0.361,425,485,0.876,40,182,222,402,57,11,181,80,1498,1295,2.22,0.32
42,1626149,43,Montrezl Harrell,LAC,82,2158,546,888,0.615,3,17,0.176,266,414,0.643,184,351,535,162,71,110,132,255,1361,1617,1.23,0.54
44,201568,45,Danilo Gallinari,LAC,68,2059,409,884,0.463,161,372,0.433,367,406,0.904,54,363,417,178,49,23,99,129,1346,1400,1.8,0.5
105,1628983,106,Shai Gilgeous-Alexander,LAC,82,2174,341,716,0.476,51,139,0.367,156,195,0.8,57,175,232,270,96,45,141,175,889,977,1.92,0.68
144,1629013,144,Landry Shamet,LAC,79,1802,240,557,0.431,167,396,0.422,75,93,0.806,21,113,134,117,37,10,45,155,722,640,2.6,0.82
177,203210,178,JaMychal Green,LAC,65,1371,230,476,0.483,71,176,0.403,80,101,0.792,104,305,409,50,45,34,87,193,611,795,0.58,0.52
183,201976,184,Patrick Beverley,LAC,78,2137,194,477,0.407,112,282,0.397,96,123,0.78,76,312,388,300,67,43,85,265,596,999,3.53,0.79
184,202066,185,Garrett Temple,LAC,75,2041,208,493,0.422,90,264,0.341,80,107,0.748,28,188,216,106,76,30,70,204,586,632,1.51,1.09
206,1627826,207,Ivica Zubac,LAC,59,1039,212,379,0.559,0,0,0.0,101,126,0.802,115,247,362,63,14,51,70,137,525,753,0.9,0.2
217,203585,218,Rodney McGruder,LAC,66,1550,186,461,0.403,79,225,0.351,52,72,0.722,60,178,238,112,36,12,64,115,503,542,1.75,0.56
297,201163,298,Wilson Chandler,LAC,51,1176,114,273,0.418,59,158,0.373,18,25,0.72,48,167,215,82,25,21,46,123,305,436,1.78,0.54
328,101162,329,Marcin Gortat,LAC,47,750,99,186,0.532,0,0,0.0,35,48,0.729,67,194,261,65,6,24,50,92,233,439,1.3,0.12
338,1627820,339,Tyrone Wallace,LAC,62,628,92,217,0.424,4,19,0.211,30,57,0.526,20,81,101,42,21,7,36,83,218,201,1.17,0.58
401,1629010,402,Jerome Robinson,LAC,33,321,44,110,0.4,18,57,0.316,6,9,0.667,3,38,41,19,11,3,13,46,112,104,1.46,0.85
405,1628405,406,Johnathan Motley,LAC,22,156,39,73,0.534,0,3,0.0,24,40,0.6,18,33,51,11,5,3,16,27,102,106,0.69,0.31
429,1628414,430,Sindarius Thornwell,LAC,64,313,17,49,0.347,3,15,0.2,25,34,0.735,5,39,44,18,14,7,20,41,62,84,0.9,0.7
439,1628462,440,Milos Teodosic,LAC,15,150,17,40,0.425,10,27,0.37,4,7,0.571,3,13,16,32,3,1,21,27,48,53,1.52,0.14
476,201601,477,Luc Mbah a Moute,LAC,4,61,8,18,0.444,2,6,0.333,2,5,0.4,2,5,7,2,1,1,2,8,20,16,1.0,0.5
510,1629116,511,Angel Delgado,LAC,2,15,1,5,0.2,0,0,0.0,1,2,0.5,2,2,4,0,1,0,0,2,3,3,0.0,0.0
