,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
27,2544,28,LeBron James,LAL,55,1937,558,1095,0.51,111,327,0.339,278,418,0.665,57,408,465,454,72,33,197,94,1505,1655,2.31,0.37
47,1628398,48,Kyle Kuzma,LAL,70,2314,496,1087,0.456,128,422,0.303,188,250,0.752,60,322,382,178,41,26,133,170,1308,1149,1.34,0.31
89,1627742,90,Brandon Ingram,LAL,52,1761,362,729,0.497,31,94,0.33,195,289,0.675,41,226,267,154,28,31,129,149,950,840,1.19,0.22
93,203484,94,Kentavious Caldwell-Pope,LAL,82,2035,325,756,0.43,151,435,0.347,137,158,0.867,48,190,238,110,73,13,65,137,938,855,1.69,1.12
104,201580,104,JaVale McGee,LAL,75,1671,400,641,0.624,1,12,0.083,96,152,0.632,195,371,566,52,47,148,108,208,897,1305,0.48,0.44
146,203493,147,Reggie Bullock,LAL,63,1879,245,594,0.412,148,393,0.377,73,85,0.859,22,151,173,129,40,12,65,109,711,639,1.99,0.62
207,1628404,207,Josh Hart,LAL,67,1715,189,464,0.407,92,274,0.336,55,80,0.688,35,213,248,93,64,40,58,147,525,612,1.6,1.1
225,202362,226,Lance Stephenson,LAL,68,1123,184,432,0.426,73,197,0.371,50,73,0.685,32,183,215,140,41,7,86,111,491,537,1.63,0.48
239,1628366,239,Lonzo Ball,LAL,47,1423,185,456,0.406,75,228,0.329,20,48,0.417,54,197,251,255,69,19,103,114,465,657,2.48,0.67
249,203488,250,Mike Muscala,LAL,64,1306,145,361,0.402,89,256,0.348,70,85,0.824,57,187,244,76,22,38,48,130,449,550,1.58,0.46
258,200765,259,Rajon Rondo,LAL,46,1369,175,432,0.405,51,142,0.359,23,36,0.639,34,209,243,367,57,7,127,100,424,701,2.89,0.45
332,1627936,333,Alex Caruso,LAL,25,531,77,173,0.445,24,50,0.48,51,64,0.797,20,47,67,77,24,9,42,54,229,255,1.83,0.57
343,1629021,343,Moritz Wagner,LAL,43,446,71,171,0.415,22,77,0.286,43,53,0.811,17,68,85,24,11,13,39,57,207,191,0.62,0.28
360,201563,360,Michael Beasley,LAL,26,277,75,153,0.49,3,17,0.176,28,39,0.718,13,47,60,25,9,10,27,42,181,169,0.93,0.33
362,2199,363,Tyson Chandler,LAL,55,875,61,99,0.616,0,1,0.0,51,87,0.586,92,215,307,37,21,23,42,110,173,445,0.88,0.5
369,1629140,370,Johnathan Williams,LAL,24,372,65,110,0.591,0,2,0.0,27,48,0.563,48,51,99,13,8,7,16,62,157,202,0.81,0.5
466,1629203,466,Jemerrio Jones,LAL,6,143,12,33,0.364,2,10,0.2,1,2,0.5,16,33,49,13,7,5,5,10,27,74,2.6,1.4
478,1629067,478,Isaac Bonga,LAL,22,120,5,33,0.152,0,8,0.0,9,15,0.6,9,16,25,15,9,4,6,9,19,32,2.5,1.5
495,203159,494,Scott Machado,LAL,4,19,4,6,0.667,1,1,1.0,1,1,1.0,0,0,0,3,1,0,0,2,10,12,0.0,0.0
520,201281,521,Andre Ingram,LAL,4,15,0,6,0.0,0,3,0.0,0,0,0.0,1,1,2,0,1,0,1,0,0,-4,0.0,1.0
