,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
30,201144,31,Mike Conley,MEM,70,2342,490,1120,0.438,155,426,0.364,343,406,0.845,40,199,239,449,94,22,130,123,1478,1459,3.45,0.72
113,203200,114,Justin Holiday,MEM,82,2607,300,777,0.386,162,465,0.348,95,106,0.896,46,277,323,146,121,36,104,164,857,891,1.4,1.16
125,1628991,126,Jaren Jackson Jr.,MEM,58,1515,298,589,0.506,51,142,0.359,151,197,0.766,73,199,272,64,52,82,98,220,798,833,0.65,0.53
131,202685,132,Jonas Valanciunas,MEM,49,1091,301,538,0.559,14,48,0.292,147,185,0.795,106,313,419,70,19,53,90,146,763,959,0.78,0.21
167,1626153,168,Delon Wright,MEM,75,1698,242,558,0.434,50,168,0.298,119,150,0.793,68,198,266,248,88,30,77,103,653,861,3.22,1.14
173,202340,174,Avery Bradley,MEM,63,1905,248,608,0.408,86,245,0.351,43,50,0.86,43,132,175,152,41,16,89,167,625,553,1.71,0.46
285,203937,286,Kyle Anderson,MEM,43,1282,150,276,0.543,9,34,0.265,37,64,0.578,48,203,251,128,54,37,58,112,346,605,2.21,0.93
286,101139,287,CJ Miles,MEM,53,857,112,311,0.36,67,203,0.33,48,58,0.828,13,82,95,36,26,15,30,79,339,272,1.2,0.87
299,201149,300,Joakim Noah,MEM,42,693,110,213,0.516,0,1,0.0,78,109,0.716,58,180,238,89,20,31,50,96,298,492,1.78,0.4
300,1628416,301,Tyler Dorsey,MEM,48,698,107,264,0.405,44,132,0.333,38,61,0.623,27,86,113,56,14,2,27,53,296,274,2.07,0.52
307,1628397,307,Ivan Rabb,MEM,49,721,116,212,0.547,3,15,0.2,49,69,0.71,70,136,206,54,17,14,35,90,284,424,1.54,0.49
308,203998,309,Bruno Caboclo,MEM,34,800,96,225,0.427,48,130,0.369,42,50,0.84,42,116,158,50,14,33,38,81,282,362,1.32,0.37
335,201956,336,Omri Casspi,MEM,36,520,86,161,0.534,15,43,0.349,39,58,0.672,17,98,115,26,20,9,23,35,226,279,1.13,0.87
352,202705,352,MarShon Brooks,MEM,29,387,76,169,0.45,15,54,0.278,23,33,0.697,12,33,45,25,9,4,21,33,190,149,1.19,0.43
355,202718,356,Chandler Parsons,MEM,25,496,68,182,0.374,29,94,0.309,22,25,0.88,4,66,70,43,19,5,32,45,187,175,1.34,0.59
364,1628975,364,Jevon Carter,MEM,39,576,56,185,0.303,34,102,0.333,26,32,0.813,14,52,66,69,26,11,33,55,172,176,2.09,0.79
385,1628415,386,Dillon Brooks,MEM,18,330,49,122,0.402,15,40,0.375,22,30,0.733,9,22,31,16,10,4,19,50,135,96,0.84,0.53
442,203092,442,Tyler Zeller,MEM,6,93,16,30,0.533,0,1,0.0,14,18,0.778,11,13,24,4,1,3,4,20,46,56,1.0,0.25
448,1627395,447,Julian Washburn,MEM,18,254,16,48,0.333,5,24,0.208,3,4,0.75,8,33,41,14,13,2,7,16,40,70,2.0,1.86
453,1629139,451,Yuta Watanabe,MEM,15,174,15,51,0.294,2,16,0.125,7,10,0.7,4,27,31,8,4,1,6,11,39,38,1.33,0.67
500,1628605,501,Dusty Hannahs,MEM,2,26,3,12,0.25,0,5,0.0,2,2,1.0,0,1,1,5,1,0,1,1,8,5,5.0,1.0
513,203474,514,DJ Stephens,MEM,1,7,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,2,1,0.0,1.0
