,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
12,22018,1610612748,MIA,Miami Heat,0021800006,2018-10-17,MIA @ ORL,L,240,38,97,0.392,9,33,0.273,16,22,0.727,14,38,52,16,4,5,17,28,101,-3,1
30,22018,1610612748,MIA,Miami Heat,0021800015,2018-10-18,MIA @ WAS,W,240,38,97,0.392,12,35,0.343,25,34,0.735,22,33,55,25,6,5,19,26,113,1,1
58,22018,1610612748,MIA,Miami Heat,0021800030,2018-10-20,MIA vs. CHA,L,240,41,89,0.461,11,34,0.324,19,27,0.704,12,37,49,21,4,11,16,27,112,-1,1
115,22018,1610612748,MIA,Miami Heat,0021800054,2018-10-24,MIA vs. NYK,W,240,39,82,0.476,13,29,0.448,19,28,0.679,4,47,51,24,7,5,13,15,110,23,1
153,22018,1610612748,MIA,Miami Heat,0021800079,2018-10-27,MIA vs. POR,W,240,44,96,0.458,15,39,0.385,17,26,0.654,16,40,56,21,7,8,13,21,120,9,1
181,22018,1610612748,MIA,Miami Heat,0021800089,2018-10-29,MIA vs. SAC,L,240,38,92,0.413,13,39,0.333,24,34,0.706,13,39,52,20,10,9,18,21,113,-10,1
199,22018,1610612748,MIA,Miami Heat,0021800096,2018-10-30,MIA @ CHA,L,240,41,87,0.471,11,28,0.393,20,24,0.833,10,24,34,25,9,5,15,26,113,-12,1
259,22018,1610612748,MIA,Miami Heat,0021800128,2018-11-03,MIA @ ATL,L,240,41,85,0.482,16,40,0.4,20,26,0.769,13,28,41,27,6,6,18,20,118,-5,1
286,22018,1610612748,MIA,Miami Heat,0021800140,2018-11-05,MIA @ DET,W,265,44,98,0.449,12,31,0.387,20,31,0.645,9,41,50,24,10,8,17,26,120,5,1
310,22018,1610612748,MIA,Miami Heat,0021800156,2018-11-07,MIA vs. SAS,W,240,36,93,0.387,10,32,0.313,13,18,0.722,14,46,60,21,8,11,13,17,95,7,1
336,22018,1610612748,MIA,Miami Heat,0021800170,2018-11-09,MIA vs. IND,L,240,36,80,0.45,14,27,0.519,16,27,0.593,9,29,38,27,6,6,24,27,102,-8,1
354,22018,1610612748,MIA,Miami Heat,0021800177,2018-11-10,MIA vs. WAS,L,240,39,88,0.443,12,33,0.364,20,26,0.769,14,24,38,25,5,5,19,31,110,-6,1
382,22018,1610612748,MIA,Miami Heat,0021800191,2018-11-12,MIA vs. PHI,L,240,37,77,0.481,13,31,0.419,27,33,0.818,8,32,40,19,5,6,15,30,114,-10,1
406,22018,1610612748,MIA,Miami Heat,0021800205,2018-11-14,MIA @ BKN,W,240,46,85,0.541,8,29,0.276,20,28,0.714,6,41,47,23,6,6,18,27,120,13,1
437,22018,1610612748,MIA,Miami Heat,0021800217,2018-11-16,MIA @ IND,L,240,35,93,0.376,14,36,0.389,7,10,0.7,13,38,51,21,10,5,18,16,91,-8,1
471,22018,1610612748,MIA,Miami Heat,0021800235,2018-11-18,MIA vs. LAL,L,240,35,87,0.402,13,32,0.406,14,19,0.737,12,36,48,20,3,5,14,21,97,-16,1
499,22018,1610612748,MIA,Miami Heat,0021800250,2018-11-20,MIA vs. BKN,L,240,36,100,0.36,7,32,0.219,13,20,0.65,18,34,52,18,5,6,14,24,92,-12,1
535,22018,1610612748,MIA,Miami Heat,0021800273,2018-11-23,MIA @ CHI,W,240,37,87,0.425,10,34,0.294,19,31,0.613,10,38,48,20,10,11,14,21,103,7,1
583,22018,1610612748,MIA,Miami Heat,0021800290,2018-11-25,MIA @ TOR,L,240,39,95,0.411,15,36,0.417,22,32,0.688,17,29,46,21,6,5,7,22,115,-10,1
