,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
58,1626196,59,Josh Richardson,MIA,73,2539,423,1026,0.412,164,460,0.357,199,231,0.861,54,209,263,298,79,34,113,200,1209,1135,2.64,0.7
70,2548,71,Dwyane Wade,MIA,72,1885,416,960,0.433,86,261,0.33,165,233,0.708,69,216,285,301,59,38,166,118,1083,988,1.81,0.36
106,202355,107,Hassan Whiteside,MIA,72,1674,388,680,0.571,2,16,0.125,109,243,0.449,257,560,817,56,46,136,97,192,887,1419,0.58,0.47
118,1626159,119,Justise Winslow,MIA,66,1960,324,749,0.433,96,256,0.375,86,137,0.628,63,292,355,282,72,19,142,177,830,940,1.99,0.51
126,203482,127,Kelly Olynyk,MIA,79,1812,261,564,0.463,113,319,0.354,152,185,0.822,72,303,375,140,53,37,114,183,787,942,1.23,0.47
141,1628389,142,Bam Adebayo,MIA,82,1913,280,486,0.576,3,15,0.2,166,226,0.735,165,432,597,184,71,65,121,203,729,1259,1.52,0.59
204,203079,205,Dion Waiters,MIA,44,1138,198,478,0.414,109,289,0.377,22,44,0.5,7,109,116,121,29,9,64,72,527,436,1.89,0.45
223,201609,223,Goran Dragic,MIA,36,991,179,433,0.413,57,164,0.348,79,101,0.782,20,91,111,174,30,5,71,81,494,467,2.45,0.42
255,201949,255,James Johnson,MIA,55,1164,164,379,0.433,50,149,0.336,50,70,0.714,22,154,176,135,35,27,74,114,428,492,1.82,0.47
261,1627884,261,Derrick Jones Jr.,MIA,60,1154,160,324,0.494,28,91,0.308,74,122,0.607,96,144,240,37,46,42,43,123,422,532,0.86,1.07
428,201583,429,Ryan Anderson,MIA,25,321,21,69,0.304,9,40,0.225,12,16,0.75,18,36,54,19,4,1,14,25,63,75,1.36,0.29
438,1629130,439,Duncan Robinson,MIA,15,161,18,46,0.391,10,35,0.286,4,6,0.667,2,17,19,5,5,0,4,11,50,45,1.25,1.25
468,2617,469,Udonis Haslem,MIA,10,75,11,33,0.333,0,12,0.0,3,4,0.75,3,24,27,2,0,0,3,9,25,28,0.67,0.0
493,1629150,494,Emanuel Terry,MIA,3,23,4,7,0.571,0,0,0.0,2,4,0.5,3,4,7,2,3,0,2,4,10,15,1.0,1.5
518,1628999,514,Yante Maten,MIA,2,13,1,4,0.25,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,2,3,0.0,0.0
