,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
23,22018,1610612749,MIL,Milwaukee Bucks,0021800003,2018-10-17,MIL @ CHA,W,240,42,85,0.494,14,34,0.412,15,20,0.75,11,46,57,26,5,4,21,25,113,1,1
40,22018,1610612749,MIL,Milwaukee Bucks,0021800023,2018-10-19,MIL vs. IND,W,240,44,93,0.473,17,46,0.37,13,21,0.619,11,39,50,27,9,8,17,26,118,17,1
88,22018,1610612749,MIL,Milwaukee Bucks,0021800042,2018-10-22,MIL vs. NYK,W,240,45,96,0.469,17,40,0.425,17,24,0.708,19,36,55,27,5,9,15,18,124,11,1
117,22018,1610612749,MIL,Milwaukee Bucks,0021800059,2018-10-24,MIL vs. PHI,W,240,41,100,0.41,13,43,0.302,28,30,0.933,9,42,51,24,7,10,11,27,123,15,1
138,22018,1610612749,MIL,Milwaukee Bucks,0021800071,2018-10-26,MIL @ MIN,W,240,49,92,0.533,19,46,0.413,8,11,0.727,7,55,62,32,4,8,18,23,125,30,1
157,22018,1610612749,MIL,Milwaukee Bucks,0021800081,2018-10-27,MIL vs. ORL,W,240,41,82,0.5,10,30,0.333,21,23,0.913,6,51,57,24,6,7,21,19,113,22,1
183,22018,1610612749,MIL,Milwaukee Bucks,0021800092,2018-10-29,MIL vs. TOR,W,240,45,92,0.489,19,45,0.422,15,19,0.789,8,49,57,28,5,4,17,21,124,15,1
223,22018,1610612749,MIL,Milwaukee Bucks,0021800115,2018-11-01,MIL @ BOS,L,240,41,85,0.482,9,29,0.31,22,30,0.733,8,37,45,20,8,3,14,20,113,-4,1
274,22018,1610612749,MIL,Milwaukee Bucks,0021800133,2018-11-04,MIL vs. SAC,W,240,46,95,0.484,22,56,0.393,30,33,0.909,10,46,56,30,6,7,13,20,144,35,1
298,22018,1610612749,MIL,Milwaukee Bucks,0021800152,2018-11-06,MIL @ POR,L,240,40,92,0.435,16,42,0.381,7,8,0.875,12,30,42,26,2,1,12,16,103,-15,1
324,22018,1610612749,MIL,Milwaukee Bucks,0021800166,2018-11-08,MIL @ GSW,W,240,52,101,0.515,9,35,0.257,21,27,0.778,13,33,46,33,11,7,12,23,134,23,1
353,22018,1610612749,MIL,Milwaukee Bucks,0021800175,2018-11-10,MIL @ LAC,L,265,47,105,0.448,16,46,0.348,16,23,0.696,15,37,52,31,11,8,17,26,126,-2,1
377,22018,1610612749,MIL,Milwaukee Bucks,0021800187,2018-11-11,MIL @ DEN,W,240,48,84,0.571,17,34,0.5,8,13,0.615,5,36,41,27,10,7,13,17,121,7,1
413,22018,1610612749,MIL,Milwaukee Bucks,0021800207,2018-11-14,MIL vs. MEM,L,240,41,81,0.506,9,35,0.257,22,27,0.815,9,35,44,22,5,8,16,22,113,-3,1
435,22018,1610612749,MIL,Milwaukee Bucks,0021800223,2018-11-16,MIL vs. CHI,W,240,47,93,0.505,18,43,0.419,11,17,0.647,11,44,55,28,8,8,17,14,123,19,1
480,22018,1610612749,MIL,Milwaukee Bucks,0021800245,2018-11-19,MIL vs. DEN,W,240,40,88,0.455,11,36,0.306,13,22,0.591,13,38,51,21,8,3,18,16,104,6,1
518,22018,1610612749,MIL,Milwaukee Bucks,0021800259,2018-11-21,MIL vs. POR,W,240,57,108,0.528,15,45,0.333,14,17,0.824,13,46,59,34,8,2,14,23,143,43,1
545,22018,1610612749,MIL,Milwaukee Bucks,0021800275,2018-11-23,MIL vs. PHX,L,240,42,87,0.483,10,44,0.227,20,30,0.667,7,36,43,30,6,7,14,17,114,-2,1
561,22018,1610612749,MIL,Milwaukee Bucks,0021800284,2018-11-24,MIL vs. SAS,W,240,49,86,0.57,15,40,0.375,22,29,0.759,6,35,41,30,7,3,13,22,135,6,1
594,22018,1610612749,MIL,Milwaukee Bucks,0021800294,2018-11-26,MIL @ CHA,L,240,37,90,0.411,16,46,0.348,17,21,0.81,10,38,48,25,7,5,16,22,107,-3,1
621,22018,1610612749,MIL,Milwaukee Bucks,0021800310,2018-11-28,MIL vs. CHI,W,240,43,87,0.494,12,35,0.343,18,24,0.75,8,40,48,29,6,8,12,23,116,3,1
659,22018,1610612749,MIL,Milwaukee Bucks,0021800330,2018-12-01,MIL @ NYK,L,265,46,94,0.489,18,42,0.429,24,31,0.774,10,41,51,28,11,4,17,25,134,-2,1
717,22018,1610612749,MIL,Milwaukee Bucks,0021800361,2018-12-05,MIL vs. DET,W,240,38,82,0.463,14,41,0.341,25,30,0.833,4,42,46,25,13,4,16,21,115,23,1
748,22018,1610612749,MIL,Milwaukee Bucks,0021800377,2018-12-07,MIL vs. GSW,L,240,36,92,0.391,7,39,0.179,16,23,0.696,15,39,54,18,10,3,19,21,95,-10,1
779,22018,1610612749,MIL,Milwaukee Bucks,0021800388,2018-12-09,MIL @ TOR,W,240,36,87,0.414,15,39,0.385,17,20,0.85,9,36,45,22,6,7,13,13,104,5,1
793,22018,1610612749,MIL,Milwaukee Bucks,0021800395,2018-12-10,MIL vs. CLE,W,240,42,96,0.438,15,36,0.417,9,11,0.818,12,46,58,22,4,4,14,24,108,16,1
817,22018,1610612749,MIL,Milwaukee Bucks,0021800407,2018-12-12,MIL @ IND,L,240,38,91,0.418,11,43,0.256,10,15,0.667,9,34,43,22,6,6,13,18,97,-16,1
845,22018,1610612749,MIL,Milwaukee Bucks,0021800423,2018-12-14,MIL @ CLE,W,240,40,94,0.426,12,41,0.293,22,28,0.786,14,39,53,26,9,6,11,17,114,12,1
895,22018,1610612749,MIL,Milwaukee Bucks,0021800443,2018-12-17,MIL @ DET,W,240,44,88,0.5,9,25,0.36,10,15,0.667,5,32,37,33,8,10,11,19,107,3,1
923,22018,1610612749,MIL,Milwaukee Bucks,0021800462,2018-12-19,MIL vs. NOP,W,240,43,85,0.506,13,33,0.394,24,30,0.8,9,39,48,26,11,3,14,18,123,8,1
947,22018,1610612749,MIL,Milwaukee Bucks,0021800473,2018-12-21,MIL @ BOS,W,240,41,80,0.513,16,40,0.4,22,28,0.786,11,44,55,26,3,6,21,30,120,13,1
965,22018,1610612749,MIL,Milwaukee Bucks,0021800482,2018-12-22,MIL @ MIA,L,240,31,84,0.369,9,43,0.209,16,22,0.727,6,42,48,20,6,9,16,19,87,-7,1
995,22018,1610612749,MIL,Milwaukee Bucks,0021800497,2018-12-25,MIL @ NYK,W,240,40,89,0.449,6,32,0.188,23,34,0.676,6,45,51,22,9,8,8,19,109,14,1
1028,22018,1610612749,MIL,Milwaukee Bucks,0021800513,2018-12-27,MIL vs. NYK,W,240,42,93,0.452,11,32,0.344,17,21,0.81,11,46,57,20,4,11,15,14,112,16,1
