,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
15,42018,1610612749,MIL,Milwaukee Bucks,0041800101,2019-04-14,MIL vs. DET,W,240,44,90,0.489,15,43,0.349,18,26,0.692,8,46,54,31,7,8,10,16,121,35,1
30,42018,1610612749,MIL,Milwaukee Bucks,0041800102,2019-04-17,MIL vs. DET,W,240,47,90,0.522,11,26,0.423,15,21,0.714,8,46,54,32,5,11,13,21,120,21,1
49,42018,1610612749,MIL,Milwaukee Bucks,0041800103,2019-04-20,MIL @ DET,W,240,42,86,0.488,14,38,0.368,21,24,0.875,13,38,51,24,5,6,16,22,119,16,1
60,42018,1610612749,MIL,Milwaukee Bucks,0041800104,2019-04-22,MIL @ DET,W,240,43,79,0.544,10,28,0.357,31,41,0.756,10,44,54,27,6,10,19,21,127,23,1
86,42018,1610612749,MIL,Milwaukee Bucks,0041800201,2019-04-28,MIL vs. BOS,L,240,31,89,0.348,13,39,0.333,15,24,0.625,7,37,44,19,6,2,11,11,90,-22,1
95,42018,1610612749,MIL,Milwaukee Bucks,0041800202,2019-04-30,MIL vs. BOS,W,240,39,88,0.443,20,47,0.426,25,31,0.806,10,43,53,22,6,4,12,24,123,21,1
100,42018,1610612749,MIL,Milwaukee Bucks,0041800203,2019-05-03,MIL @ BOS,W,240,42,83,0.506,15,37,0.405,24,36,0.667,7,37,44,23,8,7,15,26,123,7,1
110,42018,1610612749,MIL,Milwaukee Bucks,0041800204,2019-05-06,MIL @ BOS,W,240,44,100,0.44,8,37,0.216,17,25,0.68,11,45,56,25,4,5,7,25,113,12,1
120,42018,1610612749,MIL,Milwaukee Bucks,0041800205,2019-05-08,MIL vs. BOS,W,240,42,94,0.447,15,47,0.319,17,22,0.773,12,46,58,27,8,7,17,23,116,25,2
134,42018,1610612749,MIL,Milwaukee Bucks,0041800301,2019-05-15,MIL vs. TOR,W,240,37,93,0.398,11,44,0.25,23,27,0.852,15,45,60,21,8,11,13,16,108,8,1
138,42018,1610612749,MIL,Milwaukee Bucks,0041800302,2019-05-17,MIL vs. TOR,W,240,43,92,0.467,13,41,0.317,26,35,0.743,11,42,53,27,6,4,7,26,125,22,1
143,42018,1610612749,MIL,Milwaukee Bucks,0041800303,2019-05-19,MIL @ TOR,L,290,38,102,0.373,14,44,0.318,22,33,0.667,13,50,63,22,14,5,20,30,112,-6,1
147,42018,1610612749,MIL,Milwaukee Bucks,0041800304,2019-05-21,MIL @ TOR,L,240,37,80,0.463,11,35,0.314,17,26,0.654,7,33,40,30,8,7,13,22,102,-18,1
148,42018,1610612749,MIL,Milwaukee Bucks,0041800305,2019-05-23,MIL vs. TOR,L,240,38,84,0.452,10,31,0.323,13,18,0.722,8,45,53,26,2,2,11,22,99,-6,1
151,42018,1610612749,MIL,Milwaukee Bucks,0041800306,2019-05-25,MIL @ TOR,L,240,30,75,0.4,12,34,0.353,22,31,0.71,12,30,42,19,7,7,11,22,94,-6,1
