,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
6,203507,7,Giannis Antetokounmpo,MIL,72,2358,721,1247,0.578,52,203,0.256,500,686,0.729,159,739,898,424,92,110,268,232,1994,2538,1.58,0.34
35,203114,36,Khris Middleton,MIL,77,2393,506,1148,0.441,179,474,0.378,216,258,0.837,50,411,461,331,80,7,174,172,1407,1428,1.9,0.46
53,202339,54,Eric Bledsoe,MIL,78,2272,470,971,0.484,124,377,0.329,177,236,0.75,82,280,362,430,116,29,165,156,1241,1453,2.61,0.7
77,201572,78,Brook Lopez,MIL,81,2322,355,786,0.452,187,512,0.365,112,133,0.842,33,363,396,98,51,179,82,189,1009,1199,1.2,0.62
78,1627763,79,Malcolm Brogdon,MIL,64,1832,378,748,0.505,104,244,0.426,141,152,0.928,65,223,288,205,46,13,91,102,1001,1081,2.25,0.51
156,202703,157,Nikola Mirotic,MIL,46,1245,238,542,0.439,116,318,0.365,105,124,0.847,60,279,339,55,31,34,48,107,697,785,1.15,0.65
245,201588,246,George Hill,MIL,60,1302,170,376,0.452,48,153,0.314,70,85,0.824,39,109,148,135,52,8,51,102,458,529,2.65,1.02
248,101141,249,Ersan Ilyasova,MIL,67,1231,167,381,0.438,58,160,0.363,61,74,0.824,94,208,302,52,32,20,48,172,453,584,1.08,0.67
251,203503,252,Tony Snell,MIL,74,1304,163,361,0.452,81,204,0.397,37,42,0.881,29,128,157,68,26,18,23,90,444,487,2.96,1.13
262,1626192,263,Pat Connaughton,MIL,61,1261,163,350,0.466,66,200,0.33,29,40,0.725,61,197,258,122,33,25,33,81,421,628,3.7,1.0
281,1628425,282,Sterling Brown,MIL,58,1034,145,312,0.465,53,147,0.361,29,42,0.69,29,155,184,84,25,8,46,88,372,447,1.83,0.54
296,204025,297,Tim Frazier,MIL,59,1120,116,261,0.444,37,101,0.366,41,54,0.759,41,127,168,248,30,5,76,112,310,527,3.26,0.4
310,1628391,311,D.J. Wilson,MIL,48,882,104,251,0.414,46,127,0.362,26,47,0.553,45,177,222,52,18,20,32,85,280,392,1.63,0.56
359,203477,360,Isaiah Canaan,MIL,30,628,64,164,0.39,34,96,0.354,19,24,0.792,6,52,58,84,14,2,35,52,181,199,2.4,0.4
389,1628978,390,Donte DiVincenzo,MIL,27,411,50,124,0.403,22,83,0.265,9,12,0.75,16,49,65,31,13,6,19,38,131,150,1.63,0.68
395,2200,396,Pau Gasol,MIL,30,361,42,94,0.447,6,13,0.462,28,40,0.7,22,115,137,52,5,15,16,29,118,247,3.25,0.31
451,1629045,451,Bonzie Colson,MIL,8,98,13,39,0.333,5,21,0.238,8,9,0.889,8,22,30,3,5,1,3,3,39,48,1.0,1.67
494,1628537,494,Jaylen Morris,MIL,4,29,4,10,0.4,1,3,0.333,1,2,0.5,0,5,5,4,2,0,1,1,10,13,4.0,2.0
