,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
5,22018,1610612750,MIN,Minnesota Timberwolves,0021800010,2018-10-17,MIN @ SAS,L,240,39,91,0.429,6,19,0.316,24,27,0.889,14,32,46,20,9,2,11,27,108,-4,1
42,22018,1610612750,MIN,Minnesota Timberwolves,0021800021,2018-10-19,MIN vs. CLE,W,240,44,87,0.506,10,25,0.4,33,35,0.943,9,31,40,28,9,7,14,21,131,8,1
63,22018,1610612750,MIN,Minnesota Timberwolves,0021800032,2018-10-20,MIN @ DAL,L,240,44,84,0.524,14,27,0.519,34,40,0.85,6,27,33,23,10,3,17,30,136,-4,1
93,22018,1610612750,MIN,Minnesota Timberwolves,0021800043,2018-10-22,MIN vs. IND,W,240,36,85,0.424,7,33,0.212,22,24,0.917,8,39,47,24,9,12,15,17,101,10,1
122,22018,1610612750,MIN,Minnesota Timberwolves,0021800055,2018-10-24,MIN @ TOR,L,240,40,96,0.417,15,30,0.5,10,16,0.625,16,28,44,25,10,5,16,17,105,-7,1
139,22018,1610612750,MIN,Minnesota Timberwolves,0021800071,2018-10-26,MIN vs. MIL,L,240,36,112,0.321,10,43,0.233,13,18,0.722,17,32,49,19,10,6,8,15,95,-30,1
189,22018,1610612750,MIN,Minnesota Timberwolves,0021800093,2018-10-29,MIN vs. LAL,W,240,42,98,0.429,14,29,0.483,26,30,0.867,20,31,51,26,11,12,15,14,124,4,1
219,22018,1610612750,MIN,Minnesota Timberwolves,0021800107,2018-10-31,MIN vs. UTA,W,240,50,86,0.581,12,25,0.48,16,24,0.667,7,34,41,19,10,8,16,28,128,3,1
232,22018,1610612750,MIN,Minnesota Timberwolves,0021800124,2018-11-02,MIN @ GSW,L,240,38,101,0.376,13,45,0.289,10,14,0.714,8,31,39,25,8,4,5,16,99,-17,1
273,22018,1610612750,MIN,Minnesota Timberwolves,0021800138,2018-11-04,MIN @ POR,L,240,29,93,0.312,7,30,0.233,16,21,0.762,13,25,38,18,9,4,11,21,81,-30,1
283,22018,1610612750,MIN,Minnesota Timberwolves,0021800148,2018-11-05,MIN @ LAC,L,240,40,85,0.471,5,21,0.238,24,30,0.8,8,30,38,20,9,8,11,23,109,-11,1
305,22018,1610612750,MIN,Minnesota Timberwolves,0021800162,2018-11-07,MIN @ LAL,L,240,41,91,0.451,20,40,0.5,8,9,0.889,11,29,40,22,10,5,16,17,110,-4,1
343,22018,1610612750,MIN,Minnesota Timberwolves,0021800173,2018-11-09,MIN @ SAC,L,240,39,94,0.415,7,25,0.28,25,31,0.806,15,37,52,20,6,1,17,23,110,-11,1
386,22018,1610612750,MIN,Minnesota Timberwolves,0021800195,2018-11-12,MIN vs. BKN,W,240,42,80,0.525,10,23,0.435,26,31,0.839,9,43,52,26,8,6,23,17,120,7,1
416,22018,1610612750,MIN,Minnesota Timberwolves,0021800208,2018-11-14,MIN vs. NOP,W,240,37,90,0.411,14,32,0.438,19,24,0.792,11,36,47,29,14,6,16,22,107,7,1
438,22018,1610612750,MIN,Minnesota Timberwolves,0021800221,2018-11-16,MIN vs. POR,W,240,46,92,0.5,12,28,0.429,8,11,0.727,9,34,43,28,11,4,12,16,112,16,1
473,22018,1610612750,MIN,Minnesota Timberwolves,0021800234,2018-11-18,MIN vs. MEM,L,240,31,80,0.388,12,29,0.414,13,16,0.813,10,39,49,20,8,3,20,20,87,-13,1
525,22018,1610612750,MIN,Minnesota Timberwolves,0021800260,2018-11-21,MIN vs. DEN,L,240,35,79,0.443,9,32,0.281,22,26,0.846,8,32,40,24,8,3,18,15,101,-2,1
538,22018,1610612750,MIN,Minnesota Timberwolves,0021800265,2018-11-23,MIN @ BKN,W,240,44,92,0.478,9,25,0.36,15,17,0.882,9,29,38,25,15,4,7,20,112,10,1
565,22018,1610612750,MIN,Minnesota Timberwolves,0021800281,2018-11-24,MIN vs. CHI,W,240,42,103,0.408,7,34,0.206,20,23,0.87,21,38,59,22,7,5,14,23,111,15,1
591,22018,1610612750,MIN,Minnesota Timberwolves,0021800295,2018-11-26,MIN @ CLE,W,240,40,86,0.465,8,26,0.308,14,19,0.737,8,31,39,18,8,8,9,18,102,7,1
624,22018,1610612750,MIN,Minnesota Timberwolves,0021800311,2018-11-28,MIN vs. SAS,W,240,50,99,0.505,18,41,0.439,10,15,0.667,13,35,48,33,12,6,9,18,128,39,1
668,22018,1610612750,MIN,Minnesota Timberwolves,0021800335,2018-12-01,MIN vs. BOS,L,240,37,82,0.451,9,28,0.321,26,32,0.813,9,30,39,19,6,2,16,18,109,-9,1
692,22018,1610612750,MIN,Minnesota Timberwolves,0021800348,2018-12-03,MIN vs. HOU,W,240,36,82,0.439,11,22,0.5,20,28,0.714,13,29,42,22,11,7,14,16,103,12,1
720,22018,1610612750,MIN,Minnesota Timberwolves,0021800362,2018-12-05,MIN vs. CHA,W,240,48,89,0.539,12,24,0.5,13,20,0.65,10,40,50,34,6,11,15,15,121,17,1
