,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
8,1626157,9,Karl-Anthony Towns,MIN,77,2545,681,1314,0.518,142,355,0.4,376,450,0.836,263,691,954,259,67,125,240,292,1880,2338,1.08,0.28
46,203952,47,Andrew Wiggins,MIN,73,2543,498,1209,0.412,118,348,0.339,207,296,0.699,83,269,352,184,70,48,138,153,1321,1037,1.33,0.51
98,201565,99,Derrick Rose,MIN,51,1392,363,753,0.482,54,146,0.37,137,160,0.856,33,107,140,220,31,12,82,57,917,825,2.68,0.38
112,203967,113,Dario Saric,MIN,81,2022,304,696,0.437,118,323,0.365,132,150,0.88,126,331,457,127,45,9,97,182,858,989,1.31,0.46
136,201959,137,Taj Gibson,MIN,70,1686,304,537,0.566,11,34,0.324,134,177,0.757,172,286,458,84,53,39,73,186,753,1038,1.15,0.73
189,1629006,190,Josh Okogie,MIN,74,1757,196,508,0.386,60,215,0.279,118,162,0.728,41,177,218,91,88,33,63,166,570,581,1.44,1.4
214,201952,215,Jeff Teague,MIN,42,1264,176,416,0.423,35,105,0.333,123,153,0.804,16,90,106,343,43,18,97,90,510,653,3.54,0.44
228,203476,229,Gorgui Dieng,MIN,76,1031,189,377,0.501,19,56,0.339,88,106,0.83,81,230,311,72,48,41,57,134,485,694,1.26,0.84
237,1626145,238,Tyus Jones,MIN,68,1560,185,446,0.415,40,126,0.317,58,69,0.841,23,111,134,327,81,5,47,78,468,696,6.96,1.72
240,203496,239,Robert Covington,MIN,35,1203,156,362,0.431,85,225,0.378,68,89,0.764,28,165,193,46,74,47,47,126,465,551,0.98,1.57
290,201229,291,Anthony Tolliver,MIN,65,1079,99,259,0.382,81,215,0.377,47,60,0.783,15,162,177,46,17,21,36,91,326,378,1.28,0.47
341,201573,342,Jerryd Bayless,MIN,34,657,82,230,0.357,29,98,0.296,16,28,0.571,11,51,62,119,18,2,32,56,209,218,3.72,0.56
370,2736,370,Luol Deng,MIN,22,392,59,118,0.5,14,44,0.318,25,35,0.714,20,53,73,18,15,8,14,24,157,188,1.29,1.07
376,1628966,376,Keita Bates-Diop,MIN,30,503,60,142,0.423,13,52,0.25,18,28,0.643,16,67,83,17,18,14,14,29,151,177,1.21,1.29
408,1629244,409,Cameron Reynolds,MIN,19,259,33,78,0.423,21,51,0.412,8,9,0.889,4,27,31,13,6,2,5,26,95,96,2.6,1.2
452,203710,451,C.J. Williams,MIN,15,128,17,35,0.486,5,16,0.313,0,1,0.0,1,7,8,12,6,0,5,16,39,41,2.4,1.2
460,1629123,461,Jared Terrell,MIN,14,111,12,39,0.308,4,17,0.235,3,6,0.5,1,5,6,12,3,2,10,16,31,14,1.2,0.3
475,1628249,476,Mitchell Creek,MIN,5,47,8,16,0.5,0,2,0.0,5,7,0.714,6,6,12,6,2,0,1,3,21,30,6.0,2.0
