,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
24,203944,25,Julius Randle,NOP,73,2232,571,1089,0.524,67,195,0.344,356,487,0.731,162,472,634,229,52,45,208,246,1565,1668,1.1,0.25
33,203076,34,Anthony Davis,NOP,56,1850,530,1026,0.517,48,145,0.331,344,433,0.794,174,498,672,218,88,135,112,132,1452,1868,1.95,0.79
34,201950,35,Jrue Holiday,NOP,67,2402,547,1159,0.472,118,363,0.325,208,271,0.768,75,259,334,518,109,54,210,148,1420,1550,2.47,0.52
170,202734,171,E'Twaun Moore,NOP,53,1463,256,532,0.481,76,176,0.432,45,59,0.763,35,92,127,102,40,8,59,112,633,561,1.73,0.68
190,203121,191,Darius Miller,NOP,69,1757,189,484,0.39,133,364,0.365,56,71,0.789,14,114,128,146,40,23,59,165,567,535,2.48,0.68
221,1628402,222,Frank Jackson,NOP,61,1169,194,447,0.434,53,169,0.314,54,73,0.74,25,109,134,69,25,2,48,92,495,405,1.44,0.52
231,1626143,232,Jahlil Okafor,NOP,59,935,212,362,0.586,1,5,0.2,59,89,0.663,82,196,278,40,15,40,52,96,484,625,0.77,0.29
247,1626169,248,Stanley Johnson,NOP,66,1207,171,440,0.389,62,215,0.288,50,64,0.781,34,183,217,88,60,14,81,114,454,469,1.09,0.74
250,203901,251,Elfrid Payton,NOP,42,1250,179,412,0.434,33,105,0.314,55,74,0.743,49,171,220,320,44,17,112,81,446,683,2.86,0.39
271,203546,272,Ian Clark,NOP,60,973,151,383,0.394,66,202,0.327,33,37,0.892,13,76,89,94,22,8,58,95,401,320,1.62,0.38
275,1627767,276,Cheick Diallo,NOP,64,896,168,271,0.62,1,4,0.25,50,67,0.746,75,257,332,33,29,33,49,113,387,645,0.67,0.59
312,1629026,312,Kenrich Williams,NOP,46,1079,107,279,0.384,52,156,0.333,13,19,0.684,55,164,219,83,45,19,36,95,279,431,2.31,1.25
350,203524,351,Solomon Hill,NOP,44,879,68,178,0.382,32,101,0.317,23,32,0.719,34,99,133,55,23,10,31,80,191,262,1.77,0.74
363,1626174,364,Christian Wood,NOP,21,250,61,117,0.521,9,26,0.346,41,56,0.732,17,66,83,8,7,10,17,17,172,192,0.47,0.41
427,201160,428,Jason Smith,NOP,20,191,21,59,0.356,9,26,0.346,14,16,0.875,16,36,52,14,3,7,13,30,65,88,1.08,0.23
433,1626150,434,Andrew Harrison,NOP,17,186,16,53,0.302,5,25,0.2,17,18,0.944,6,14,20,24,4,2,12,34,54,54,2.0,0.33
458,1629541,459,Dairis Bertans,NOP,12,167,12,47,0.255,10,34,0.294,0,0,0.0,2,7,9,10,1,0,2,7,34,17,5.0,0.5
