,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
6,22018,1610612752,NYK,New York Knicks,0021800007,2018-10-17,NYK vs. ATL,W,240,45,99,0.455,12,33,0.364,24,31,0.774,10,36,46,21,12,6,16,23,126,19,1
33,22018,1610612752,NYK,New York Knicks,0021800018,2018-10-19,NYK @ BKN,L,240,39,97,0.402,9,28,0.321,18,20,0.9,12,24,36,14,10,1,3,19,105,-2,1
56,22018,1610612752,NYK,New York Knicks,0021800028,2018-10-20,NYK vs. BOS,L,240,36,87,0.414,12,35,0.343,17,27,0.63,11,35,46,23,8,1,16,25,101,-2,1
89,22018,1610612752,NYK,New York Knicks,0021800042,2018-10-22,NYK @ MIL,L,240,45,99,0.455,10,29,0.345,13,15,0.867,11,32,43,22,6,2,12,21,113,-11,1
114,22018,1610612752,NYK,New York Knicks,0021800054,2018-10-24,NYK @ MIA,L,240,33,91,0.363,12,33,0.364,9,14,0.643,10,35,45,20,5,3,12,23,87,-23,1
132,22018,1610612752,NYK,New York Knicks,0021800068,2018-10-26,NYK vs. GSW,L,240,39,90,0.433,13,39,0.333,9,12,0.75,11,29,40,17,6,1,20,18,100,-28,1
179,22018,1610612752,NYK,New York Knicks,0021800090,2018-10-29,NYK vs. BKN,W,240,45,92,0.489,9,24,0.375,16,18,0.889,16,37,53,21,5,3,16,21,115,19,1
213,22018,1610612752,NYK,New York Knicks,0021800105,2018-10-31,NYK vs. IND,L,240,34,79,0.43,12,25,0.48,21,24,0.875,9,26,35,18,6,6,17,19,101,-6,1
245,22018,1610612752,NYK,New York Knicks,0021800121,2018-11-02,NYK @ DAL,W,240,46,84,0.548,7,29,0.241,19,26,0.731,10,30,40,26,13,4,12,24,118,12,1
277,22018,1610612752,NYK,New York Knicks,0021800135,2018-11-04,NYK @ WAS,L,240,39,93,0.419,5,27,0.185,12,16,0.75,15,36,51,19,5,5,20,28,95,-13,1
280,22018,1610612752,NYK,New York Knicks,0021800143,2018-11-05,NYK vs. CHI,L,290,41,106,0.387,7,26,0.269,26,29,0.897,21,41,62,20,7,6,18,27,115,-1,1
317,22018,1610612752,NYK,New York Knicks,0021800155,2018-11-07,NYK @ ATL,W,240,34,77,0.442,11,30,0.367,33,47,0.702,11,37,48,15,8,7,18,30,112,5,1
360,22018,1610612752,NYK,New York Knicks,0021800174,2018-11-10,NYK @ TOR,L,240,44,96,0.458,6,22,0.273,18,22,0.818,16,31,47,18,12,6,14,26,112,-16,1
369,22018,1610612752,NYK,New York Knicks,0021800186,2018-11-11,NYK vs. ORL,L,240,31,88,0.352,5,28,0.179,22,30,0.733,13,41,54,13,4,15,19,21,89,-26,1
422,22018,1610612752,NYK,New York Knicks,0021800209,2018-11-14,NYK @ OKC,L,240,39,88,0.443,7,26,0.269,18,23,0.783,9,27,36,18,8,8,18,17,103,-25,1
444,22018,1610612752,NYK,New York Knicks,0021800222,2018-11-16,NYK @ NOP,L,240,48,98,0.49,11,34,0.324,17,24,0.708,12,32,44,15,10,6,13,31,124,-5,1
468,22018,1610612752,NYK,New York Knicks,0021800236,2018-11-18,NYK @ ORL,L,240,40,87,0.46,8,24,0.333,29,35,0.829,17,25,42,12,7,2,14,26,117,-14,1
495,22018,1610612752,NYK,New York Knicks,0021800251,2018-11-20,NYK vs. POR,L,240,42,83,0.506,13,29,0.448,17,22,0.773,10,32,42,22,8,5,15,15,114,-4,1
510,22018,1610612752,NYK,New York Knicks,0021800255,2018-11-21,NYK @ BOS,W,240,44,89,0.494,15,30,0.5,14,17,0.824,9,40,49,25,3,11,17,24,117,8,1
537,22018,1610612752,NYK,New York Knicks,0021800269,2018-11-23,NYK vs. NOP,W,240,41,91,0.451,12,33,0.364,20,27,0.741,12,34,46,22,9,10,9,26,114,5,1
584,22018,1610612752,NYK,New York Knicks,0021800291,2018-11-25,NYK @ MEM,W,240,34,91,0.374,8,22,0.364,27,32,0.844,14,42,56,17,4,5,10,21,103,5,1
604,22018,1610612752,NYK,New York Knicks,0021800301,2018-11-27,NYK @ DET,L,240,36,91,0.396,9,27,0.333,27,32,0.844,13,37,50,16,5,5,13,31,108,-7,1
611,22018,1610612752,NYK,New York Knicks,0021800307,2018-11-28,NYK @ PHI,L,240,32,92,0.348,6,29,0.207,21,22,0.955,11,30,41,14,11,5,15,21,91,-26,1
658,22018,1610612752,NYK,New York Knicks,0021800330,2018-12-01,NYK vs. MIL,W,265,51,96,0.531,20,34,0.588,14,21,0.667,6,35,41,30,5,2,17,23,136,2,1
685,22018,1610612752,NYK,New York Knicks,0021800346,2018-12-03,NYK vs. WAS,L,240,37,90,0.411,12,34,0.353,21,28,0.75,19,36,55,20,4,5,16,14,107,-3,1
728,22018,1610612752,NYK,New York Knicks,0021800365,2018-12-06,NYK @ BOS,L,240,36,91,0.396,12,35,0.343,16,20,0.8,14,33,47,21,4,5,17,23,100,-28,1
757,22018,1610612752,NYK,New York Knicks,0021800382,2018-12-08,NYK vs. BKN,L,240,39,83,0.47,8,26,0.308,18,30,0.6,9,31,40,22,8,2,13,18,104,-8,1
