,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
87,1628995,88,Kevin Knox II,NYK,75,2158,338,914,0.37,125,364,0.343,162,226,0.717,61,274,335,82,43,24,114,175,963,693,0.72,0.38
108,1626144,109,Emmanuel Mudiay,NYK,59,1607,330,740,0.446,69,210,0.329,144,186,0.774,33,163,196,228,43,19,140,103,873,767,1.63,0.31
128,1628422,129,Damyean Dotson,NYK,73,2004,290,698,0.415,126,342,0.368,73,98,0.745,34,228,262,135,58,10,71,135,779,740,1.9,0.82
133,201599,134,DeAndre Jordan,NYK,69,2047,286,446,0.641,0,0,0.0,186,264,0.705,225,677,902,156,42,73,153,167,758,1540,1.02,0.28
143,1628372,144,Dennis Smith Jr.,NYK,53,1508,278,650,0.428,67,208,0.322,99,156,0.635,32,123,155,252,67,20,154,129,722,633,1.64,0.44
157,1629019,158,Allonzo Trier,NYK,64,1459,232,518,0.448,52,132,0.394,179,223,0.803,31,166,197,119,28,14,116,117,695,607,1.03,0.24
188,203943,189,Noah Vonleh,NYK,68,1722,207,440,0.47,46,137,0.336,111,156,0.712,113,415,528,129,46,51,88,174,571,959,1.47,0.52
213,1626209,214,Mario Hezonja,NYK,58,1206,191,464,0.412,42,152,0.276,87,114,0.763,28,211,239,88,57,8,88,110,511,515,1.0,0.65
230,1629011,229,Mitchell Robinson,NYK,66,1360,202,291,0.694,0,0,0.0,81,135,0.6,177,246,423,37,52,161,35,217,485,980,1.06,1.49
292,1628436,293,Luke Kornet,NYK,46,784,107,283,0.378,70,193,0.363,38,46,0.826,28,107,135,54,27,42,25,41,322,371,2.16,1.08
322,1628373,323,Frank Ntilikina,NYK,43,904,95,282,0.337,33,115,0.287,23,30,0.767,12,75,87,121,30,14,56,104,246,248,2.16,0.54
344,202498,345,Lance Thomas,NYK,46,783,78,197,0.396,22,79,0.278,27,36,0.75,21,96,117,27,17,7,24,83,205,221,1.13,0.71
354,1628443,355,Kadeem Allen,NYK,19,416,65,141,0.461,17,36,0.472,42,54,0.778,8,43,51,76,16,4,26,46,189,222,2.92,0.62
393,203098,394,John Jenkins,NYK,26,333,42,105,0.4,22,58,0.379,15,18,0.833,6,31,37,22,0,2,9,10,121,107,2.44,0.0
398,1627740,399,Henry Ellenson,NYK,19,259,39,95,0.411,17,38,0.447,19,25,0.76,5,61,66,16,7,2,9,27,114,134,1.78,0.78
467,1628656,468,Billy Garrett,NYK,4,63,11,27,0.407,0,8,0.0,4,4,1.0,0,3,3,7,1,1,2,3,26,20,3.5,0.5
491,1628439,491,Isaiah Hicks,NYK,3,32,4,8,0.5,0,0,0.0,4,5,0.8,2,5,7,2,1,3,1,5,12,19,2.0,1.0
