,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
1,22018,1610612760,OKC,Oklahoma City Thunder,0021800002,2018-10-16,OKC @ GSW,L,240,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,15,21,100,-8,1
34,22018,1610612760,OKC,Oklahoma City Thunder,0021800025,2018-10-19,OKC @ LAC,L,240,34,95,0.358,7,33,0.212,17,23,0.739,15,37,52,18,5,4,13,29,92,-16,1
77,22018,1610612760,OKC,Oklahoma City Thunder,0021800037,2018-10-21,OKC vs. SAC,L,240,46,104,0.442,9,39,0.231,19,30,0.633,18,33,51,23,11,9,18,29,120,-11,1
130,22018,1610612760,OKC,Oklahoma City Thunder,0021800065,2018-10-25,OKC vs. BOS,L,240,37,94,0.394,7,28,0.25,14,25,0.56,16,41,57,19,5,6,16,27,95,-6,1
170,22018,1610612760,OKC,Oklahoma City Thunder,0021800085,2018-10-28,OKC vs. PHX,W,240,43,85,0.506,7,24,0.292,24,35,0.686,9,34,43,22,16,3,15,24,117,7,1
205,22018,1610612760,OKC,Oklahoma City Thunder,0021800103,2018-10-30,OKC vs. LAC,W,240,48,94,0.511,9,17,0.529,23,32,0.719,9,32,41,19,16,6,17,35,128,18,1
230,22018,1610612760,OKC,Oklahoma City Thunder,0021800111,2018-11-01,OKC @ CHA,W,240,41,96,0.427,8,37,0.216,21,29,0.724,14,35,49,20,12,9,10,21,111,4,1
246,22018,1610612760,OKC,Oklahoma City Thunder,0021800119,2018-11-02,OKC @ WAS,W,240,49,86,0.57,15,32,0.469,21,26,0.808,7,31,38,34,13,5,13,20,134,23,1
294,22018,1610612760,OKC,Oklahoma City Thunder,0021800144,2018-11-05,OKC vs. NOP,W,240,45,93,0.484,10,27,0.37,22,31,0.71,9,32,41,26,15,3,12,23,122,6,1
309,22018,1610612760,OKC,Oklahoma City Thunder,0021800153,2018-11-07,OKC @ CLE,W,240,35,84,0.417,7,27,0.259,18,26,0.692,7,37,44,10,13,9,12,23,95,9,1
330,22018,1610612760,OKC,Oklahoma City Thunder,0021800163,2018-11-08,OKC vs. HOU,W,240,36,81,0.444,9,37,0.243,17,24,0.708,13,39,52,18,10,4,15,16,98,18,1
356,22018,1610612760,OKC,Oklahoma City Thunder,0021800181,2018-11-10,OKC @ DAL,L,240,38,97,0.392,9,34,0.265,11,18,0.611,26,27,53,17,9,2,16,19,96,-15,1
394,22018,1610612760,OKC,Oklahoma City Thunder,0021800196,2018-11-12,OKC vs. PHX,W,240,43,92,0.467,13,27,0.481,19,20,0.95,12,30,42,23,12,6,14,15,118,17,1
423,22018,1610612760,OKC,Oklahoma City Thunder,0021800209,2018-11-14,OKC vs. NYK,W,240,51,95,0.537,16,33,0.485,10,12,0.833,13,34,47,32,11,7,16,21,128,25,1
448,22018,1610612760,OKC,Oklahoma City Thunder,0021800233,2018-11-17,OKC @ PHX,W,240,38,85,0.447,7,24,0.292,27,32,0.844,14,38,52,17,9,7,18,20,110,10,1
486,22018,1610612760,OKC,Oklahoma City Thunder,0021800247,2018-11-19,OKC @ SAC,L,240,45,108,0.417,12,41,0.293,11,16,0.688,13,40,53,22,8,3,13,22,113,-4,1
504,22018,1610612760,OKC,Oklahoma City Thunder,0021800264,2018-11-21,OKC @ GSW,W,240,51,106,0.481,13,35,0.371,8,15,0.533,18,43,61,29,10,5,10,23,123,28,1
555,22018,1610612760,OKC,Oklahoma City Thunder,0021800274,2018-11-23,OKC vs. CHA,W,240,41,93,0.441,11,33,0.333,16,24,0.667,11,35,46,24,6,2,14,18,109,5,1
568,22018,1610612760,OKC,Oklahoma City Thunder,0021800282,2018-11-24,OKC vs. DEN,L,240,37,103,0.359,9,39,0.231,15,23,0.652,19,35,54,22,9,5,10,24,98,-7,1
626,22018,1610612760,OKC,Oklahoma City Thunder,0021800313,2018-11-28,OKC vs. CLE,W,240,41,86,0.477,6,27,0.222,12,15,0.8,8,42,50,25,5,11,13,18,100,17,1
656,22018,1610612760,OKC,Oklahoma City Thunder,0021800325,2018-11-30,OKC vs. ATL,W,240,46,88,0.523,18,41,0.439,14,15,0.933,7,39,46,30,12,7,22,24,124,15,1
689,22018,1610612760,OKC,Oklahoma City Thunder,0021800343,2018-12-03,OKC @ DET,W,240,43,85,0.506,7,25,0.28,17,20,0.85,6,46,52,23,10,8,17,24,110,27,1
711,22018,1610612760,OKC,Oklahoma City Thunder,0021800358,2018-12-05,OKC @ BKN,W,240,43,99,0.434,13,38,0.342,15,26,0.577,17,43,60,28,8,6,13,23,114,2,1
737,22018,1610612760,OKC,Oklahoma City Thunder,0021800373,2018-12-07,OKC @ CHI,L,240,43,94,0.457,10,28,0.357,16,24,0.667,14,37,51,25,12,6,22,22,112,-2,1
