,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1,202331,2,Paul George,OKC,77,2841,707,1614,0.438,292,757,0.386,453,540,0.839,105,523,628,318,170,34,205,214,2159,2110,1.55,0.83
17,201566,18,Russell Westbrook,OKC,73,2629,630,1473,0.428,119,411,0.29,296,451,0.656,109,698,807,784,142,33,325,245,1675,2118,2.41,0.44
55,203471,56,Dennis Schroder,OKC,79,2314,457,1104,0.414,124,364,0.341,186,227,0.819,38,246,284,323,65,12,172,189,1224,1048,1.88,0.38
67,203500,68,Steven Adams,OKC,80,2669,481,809,0.595,0,2,0.0,146,292,0.5,391,369,760,124,117,76,135,204,1108,1576,0.92,0.87
69,203924,70,Jerami Grant,OKC,80,2612,409,823,0.497,115,293,0.392,157,221,0.71,96,321,417,79,61,100,67,214,1090,1202,1.18,0.91
195,202693,195,Markieff Morris,OKC,58,1271,204,484,0.421,68,203,0.335,71,92,0.772,61,204,265,79,36,22,54,175,547,594,1.46,0.67
211,1628390,212,Terrance Ferguson,OKC,74,1931,185,431,0.429,106,290,0.366,37,51,0.725,33,108,141,72,40,16,47,231,513,475,1.53,0.85
277,203457,278,Nerlens Noel,OKC,77,1056,162,276,0.587,0,0,0.0,54,79,0.684,127,198,325,45,66,96,48,166,378,723,0.94,1.38
323,1627846,324,Abdel Nader,OKC,61,694,91,215,0.423,32,100,0.32,27,36,0.75,14,102,116,20,20,12,26,68,241,250,0.77,0.77
334,202335,333,Patrick Patterson,OKC,63,861,82,219,0.374,46,137,0.336,19,30,0.633,42,105,147,31,16,13,22,46,229,266,1.41,0.73
351,1628977,352,Hamidou Diallo,OKC,51,526,75,165,0.455,4,24,0.167,36,59,0.61,38,59,97,17,21,10,23,77,190,199,0.74,0.91
366,203518,367,Alex Abrines,OKC,31,588,56,157,0.357,41,127,0.323,12,13,0.923,5,43,48,20,17,6,14,53,165,140,1.43,1.21
379,101109,380,Raymond Felton,OKC,33,379,55,135,0.407,20,61,0.328,12,13,0.923,4,30,34,52,10,6,14,29,142,149,3.71,0.71
413,1629126,414,Deonte Burton,OKC,32,240,33,82,0.402,8,27,0.296,8,12,0.667,4,24,28,9,6,8,9,31,82,71,1.0,0.67
506,1628393,504,Jawun Evans,OKC,8,64,3,14,0.214,0,3,0.0,0,0,0.0,1,11,12,10,3,0,6,8,6,14,1.67,0.5
521,1629055,521,Donte Grantham,OKC,3,2,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,0.0,0.0
527,1629093,521,Tyler Davis,OKC,1,1,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0.0
