,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
13,22018,1610612753,ORL,Orlando Magic,0021800006,2018-10-17,ORL vs. MIA,W,240,39,94,0.415,7,25,0.28,19,31,0.613,14,37,51,20,7,7,12,25,104,3,1
36,22018,1610612753,ORL,Orlando Magic,0021800017,2018-10-19,ORL vs. CHA,L,240,36,94,0.383,6,31,0.194,10,14,0.714,12,32,44,18,8,7,18,16,88,-32,1
51,22018,1610612753,ORL,Orlando Magic,0021800029,2018-10-20,ORL @ PHI,L,240,41,90,0.456,16,29,0.552,17,22,0.773,14,35,49,31,7,7,16,15,115,-1,1
82,22018,1610612753,ORL,Orlando Magic,0021800040,2018-10-22,ORL @ BOS,W,240,38,93,0.409,10,35,0.286,7,10,0.7,8,41,49,28,6,2,9,15,93,3,1
126,22018,1610612753,ORL,Orlando Magic,0021800064,2018-10-25,ORL vs. POR,L,240,43,86,0.5,12,30,0.4,16,20,0.8,11,29,40,29,5,7,14,21,114,-14,1
156,22018,1610612753,ORL,Orlando Magic,0021800081,2018-10-27,ORL @ MIL,L,240,33,101,0.327,10,43,0.233,15,17,0.882,11,30,41,21,9,6,11,22,91,-22,1
195,22018,1610612753,ORL,Orlando Magic,0021800098,2018-10-30,ORL vs. SAC,L,240,36,91,0.396,11,43,0.256,16,22,0.727,11,37,48,28,10,8,17,22,99,-8,1
241,22018,1610612753,ORL,Orlando Magic,0021800117,2018-11-02,ORL vs. LAC,L,240,40,90,0.444,4,17,0.235,11,19,0.579,8,32,40,20,7,4,10,24,95,-25,1
264,22018,1610612753,ORL,Orlando Magic,0021800137,2018-11-04,ORL @ SAS,W,240,46,91,0.505,12,32,0.375,13,18,0.722,11,32,43,29,7,4,9,22,117,7,1
284,22018,1610612753,ORL,Orlando Magic,0021800142,2018-11-05,ORL vs. CLE,W,240,39,87,0.448,11,34,0.324,13,15,0.867,10,30,40,22,11,5,15,16,102,2,1
306,22018,1610612753,ORL,Orlando Magic,0021800154,2018-11-07,ORL vs. DET,L,240,40,87,0.46,9,27,0.333,7,9,0.778,6,34,40,28,10,8,21,19,96,-7,1
335,22018,1610612753,ORL,Orlando Magic,0021800167,2018-11-09,ORL vs. WAS,W,240,44,86,0.512,13,31,0.419,16,19,0.842,10,31,41,26,8,6,16,18,117,9,1
