,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
18,202696,19,Nikola Vucevic,ORL,80,2510,701,1354,0.518,84,231,0.364,179,227,0.789,224,736,960,307,81,89,159,157,1665,2242,1.93,0.51
51,203932,52,Aaron Gordon,ORL,78,2633,470,1046,0.449,121,347,0.349,185,253,0.731,129,445,574,289,57,56,162,172,1246,1416,1.78,0.35
54,203095,55,Evan Fournier,ORL,81,2553,468,1069,0.438,153,450,0.34,137,170,0.806,38,220,258,295,71,12,154,225,1226,1074,1.92,0.46
56,203082,57,Terrence Ross,ORL,81,2150,440,1027,0.428,217,566,0.383,126,144,0.875,27,253,280,135,72,29,90,119,1223,1044,1.5,0.8
90,201571,91,D.J. Augustin,ORL,81,2269,318,677,0.47,131,311,0.421,181,209,0.866,41,162,203,426,52,4,128,115,948,1118,3.33,0.41
145,1628371,146,Jonathan Isaac,ORL,75,1996,262,611,0.429,86,266,0.323,110,135,0.815,99,312,411,80,59,98,75,143,720,919,1.07,0.79
287,1628411,287,Wes Iwundu,ORL,68,1233,113,274,0.412,29,79,0.367,84,103,0.816,37,147,184,73,28,22,44,123,339,422,1.66,0.64
302,1628964,303,Mo Bamba,ORL,47,766,117,243,0.481,21,70,0.3,37,63,0.587,64,169,233,39,13,64,43,102,292,446,0.91,0.3
320,1626170,319,Jerian Grant,ORL,60,939,92,220,0.418,40,110,0.364,26,40,0.65,19,79,98,156,44,6,51,78,250,361,3.06,0.86
325,203920,325,Khem Birch,ORL,50,643,91,151,0.603,0,1,0.0,58,83,0.699,79,111,190,38,18,29,20,72,240,410,1.9,0.9
374,1628365,375,Markelle Fultz,ORL,19,427,65,155,0.419,4,14,0.286,21,37,0.568,26,44,70,59,17,5,25,52,155,175,2.36,0.68
384,1628515,384,Isaiah Briscoe,ORL,39,559,55,138,0.399,11,34,0.324,15,26,0.577,5,69,74,87,11,2,31,66,136,185,2.81,0.36
387,203487,387,Michael Carter-Williams,ORL,28,372,46,123,0.374,10,38,0.263,32,53,0.604,19,51,70,70,20,15,20,48,134,191,3.5,1.0
397,1626185,397,Jarell Martin,ORL,42,328,43,104,0.413,20,57,0.351,9,11,0.818,11,62,73,18,3,8,11,51,115,143,1.64,0.27
465,1628518,466,Amile Jefferson,ORL,12,68,10,16,0.625,0,0,0.0,7,8,0.875,6,15,21,3,3,3,1,8,27,49,3.0,3.0
487,1628982,487,Melvin Frazier Jr.,ORL,10,44,7,21,0.333,0,6,0.0,1,4,0.25,3,2,5,1,1,0,1,6,15,4,1.0,1.0
496,1628505,494,Troy Caupain,ORL,4,16,4,8,0.5,2,3,0.667,0,0,0.0,1,2,3,4,1,0,0,0,10,14,0.0,0.0
