,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
2,22018,1610612755,PHI,Philadelphia 76ers,0021800001,2018-10-16,PHI @ BOS,L,240,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20,87,-18,1
26,22018,1610612755,PHI,Philadelphia 76ers,0021800014,2018-10-18,PHI vs. CHI,W,240,44,93,0.473,12,36,0.333,27,30,0.9,11,44,55,30,10,8,13,17,127,19,1
50,22018,1610612755,PHI,Philadelphia 76ers,0021800029,2018-10-20,PHI vs. ORL,W,240,45,94,0.479,17,33,0.515,9,10,0.9,13,33,46,33,8,3,10,21,116,1,1
96,22018,1610612755,PHI,Philadelphia 76ers,0021800049,2018-10-23,PHI @ DET,L,265,49,98,0.5,14,43,0.326,20,28,0.714,8,40,48,32,3,8,11,24,132,-1,1
116,22018,1610612755,PHI,Philadelphia 76ers,0021800059,2018-10-24,PHI @ MIL,L,240,38,92,0.413,11,34,0.324,21,30,0.7,8,42,50,29,4,5,16,27,108,-15,1
147,22018,1610612755,PHI,Philadelphia 76ers,0021800078,2018-10-27,PHI vs. CHA,W,240,35,91,0.385,10,28,0.357,25,30,0.833,14,42,56,18,4,8,11,23,105,2,1
172,22018,1610612755,PHI,Philadelphia 76ers,0021800088,2018-10-29,PHI vs. ATL,W,240,41,99,0.414,14,47,0.298,17,18,0.944,16,48,64,33,7,9,19,22,113,21,1
201,22018,1610612755,PHI,Philadelphia 76ers,0021800100,2018-10-30,PHI @ TOR,L,240,38,91,0.418,14,40,0.35,22,30,0.733,17,30,47,25,7,5,23,24,112,-17,1
220,22018,1610612755,PHI,Philadelphia 76ers,0021800113,2018-11-01,PHI vs. LAC,W,240,44,93,0.473,13,27,0.481,21,28,0.75,10,33,43,29,7,7,16,30,122,9,1
248,22018,1610612755,PHI,Philadelphia 76ers,0021800125,2018-11-03,PHI vs. DET,W,240,28,69,0.406,9,29,0.31,44,51,0.863,3,42,45,21,11,3,18,31,109,10,1
270,22018,1610612755,PHI,Philadelphia 76ers,0021800134,2018-11-04,PHI @ BKN,L,240,31,65,0.477,4,20,0.2,31,41,0.756,9,37,46,16,6,1,28,21,97,-25,1
315,22018,1610612755,PHI,Philadelphia 76ers,0021800157,2018-11-07,PHI @ IND,W,240,36,79,0.456,10,32,0.313,18,22,0.818,5,38,43,24,7,8,17,18,100,6,1
333,22018,1610612755,PHI,Philadelphia 76ers,0021800168,2018-11-09,PHI vs. CHA,W,265,45,94,0.479,12,37,0.324,31,41,0.756,13,46,59,33,3,15,17,33,133,1,1
363,22018,1610612755,PHI,Philadelphia 76ers,0021800179,2018-11-10,PHI @ MEM,L,265,44,85,0.518,8,31,0.258,10,16,0.625,8,40,48,27,10,6,23,20,106,-6,1
383,22018,1610612755,PHI,Philadelphia 76ers,0021800191,2018-11-12,PHI @ MIA,W,240,39,83,0.47,15,36,0.417,31,39,0.795,10,32,42,24,5,0,10,24,124,10,1
411,22018,1610612755,PHI,Philadelphia 76ers,0021800202,2018-11-14,PHI @ ORL,L,240,41,86,0.477,14,29,0.483,10,15,0.667,10,31,41,32,2,3,15,21,106,-5,1
430,22018,1610612755,PHI,Philadelphia 76ers,0021800218,2018-11-16,PHI vs. UTA,W,240,41,81,0.506,11,23,0.478,20,32,0.625,10,31,41,25,7,5,18,27,113,6,1
463,22018,1610612755,PHI,Philadelphia 76ers,0021800225,2018-11-17,PHI @ CHA,W,265,39,93,0.419,11,35,0.314,33,38,0.868,9,44,53,23,9,6,19,24,122,3,1
476,22018,1610612755,PHI,Philadelphia 76ers,0021800242,2018-11-19,PHI vs. PHX,W,240,41,84,0.488,6,22,0.273,31,42,0.738,13,40,53,24,8,1,19,27,119,5,1
503,22018,1610612755,PHI,Philadelphia 76ers,0021800253,2018-11-21,PHI vs. NOP,W,240,44,98,0.449,10,29,0.345,23,26,0.885,11,36,47,27,7,7,16,26,121,1,1
528,22018,1610612755,PHI,Philadelphia 76ers,0021800270,2018-11-23,PHI vs. CLE,L,240,40,75,0.533,12,33,0.364,20,26,0.769,4,27,31,27,5,2,10,20,112,-9,1
572,22018,1610612755,PHI,Philadelphia 76ers,0021800289,2018-11-25,PHI @ BKN,W,240,44,91,0.484,12,29,0.414,27,33,0.818,13,29,42,28,9,6,9,22,127,2,1
610,22018,1610612755,PHI,Philadelphia 76ers,0021800307,2018-11-28,PHI vs. NYK,W,240,47,87,0.54,12,25,0.48,11,16,0.688,8,42,50,34,7,5,16,19,117,26,1
636,22018,1610612755,PHI,Philadelphia 76ers,0021800322,2018-11-30,PHI vs. WAS,W,240,43,98,0.439,12,38,0.316,25,33,0.758,17,41,58,28,11,7,12,17,123,25,1
673,22018,1610612755,PHI,Philadelphia 76ers,0021800340,2018-12-02,PHI vs. MEM,W,240,36,74,0.486,8,22,0.364,23,30,0.767,3,41,44,22,5,2,16,20,103,8,1
722,22018,1610612755,PHI,Philadelphia 76ers,0021800359,2018-12-05,PHI @ TOR,L,240,40,88,0.455,11,35,0.314,11,14,0.786,11,38,49,26,7,5,21,23,102,-11,1
747,22018,1610612755,PHI,Philadelphia 76ers,0021800369,2018-12-07,PHI @ DET,W,240,44,90,0.489,9,32,0.281,20,21,0.952,12,28,40,26,11,12,16,28,117,6,1
781,22018,1610612755,PHI,Philadelphia 76ers,0021800392,2018-12-10,PHI vs. DET,W,240,39,88,0.443,15,37,0.405,23,35,0.657,16,32,48,27,9,5,14,19,116,14,1
809,22018,1610612755,PHI,Philadelphia 76ers,0021800408,2018-12-12,PHI vs. BKN,L,240,50,91,0.549,12,28,0.429,12,16,0.75,10,27,37,31,11,3,17,30,124,-3,1
839,22018,1610612755,PHI,Philadelphia 76ers,0021800424,2018-12-14,PHI vs. IND,L,240,36,88,0.409,9,36,0.25,20,27,0.741,17,32,49,17,5,5,16,21,101,-12,1
873,22018,1610612755,PHI,Philadelphia 76ers,0021800437,2018-12-16,PHI @ CLE,W,240,51,91,0.56,11,27,0.407,15,20,0.75,12,36,48,32,5,9,11,18,128,23,1
886,22018,1610612755,PHI,Philadelphia 76ers,0021800448,2018-12-17,PHI @ SAS,L,240,40,98,0.408,11,37,0.297,5,7,0.714,12,29,41,29,3,5,11,15,96,-27,1
908,22018,1610612755,PHI,Philadelphia 76ers,0021800457,2018-12-19,PHI vs. NYK,W,240,47,88,0.534,15,30,0.5,22,25,0.88,9,42,51,31,6,4,10,22,131,22,1
956,22018,1610612755,PHI,Philadelphia 76ers,0021800481,2018-12-22,PHI vs. TOR,W,240,46,85,0.541,8,24,0.333,26,35,0.743,4,49,53,33,10,7,13,21,126,25,1
