,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
1,42018,1610612755,PHI,Philadelphia 76ers,0041800121,2019-04-13,PHI vs. BKN,L,240,35,86,0.407,3,25,0.12,29,42,0.69,16,34,50,20,6,11,13,24,102,-9,1
16,42018,1610612755,PHI,Philadelphia 76ers,0041800122,2019-04-15,PHI vs. BKN,W,240,55,98,0.561,9,23,0.391,26,32,0.813,15,34,49,29,8,3,12,23,145,22,1
35,42018,1610612755,PHI,Philadelphia 76ers,0041800123,2019-04-18,PHI @ BKN,W,240,45,94,0.479,11,27,0.407,30,35,0.857,15,39,54,26,9,5,16,29,131,16,1
47,42018,1610612755,PHI,Philadelphia 76ers,0041800124,2019-04-20,PHI @ BKN,W,240,44,88,0.5,8,26,0.308,16,21,0.762,12,44,56,25,6,8,21,24,112,4,1
64,42018,1610612755,PHI,Philadelphia 76ers,0041800125,2019-04-23,PHI vs. BKN,W,240,51,100,0.51,14,33,0.424,6,9,0.667,11,45,56,35,10,3,20,21,122,22,1
83,42018,1610612755,PHI,Philadelphia 76ers,0041800211,2019-04-27,PHI @ TOR,L,240,35,89,0.393,11,32,0.344,14,21,0.667,13,34,47,23,5,2,16,21,95,-13,1
90,42018,1610612755,PHI,Philadelphia 76ers,0041800212,2019-04-29,PHI @ TOR,W,240,30,76,0.395,10,35,0.286,24,26,0.923,9,43,52,22,5,4,20,18,94,5,1
99,42018,1610612755,PHI,Philadelphia 76ers,0041800213,2019-05-02,PHI vs. TOR,W,240,43,84,0.512,10,23,0.435,20,23,0.87,9,36,45,29,4,8,13,17,116,21,1
107,42018,1610612755,PHI,Philadelphia 76ers,0041800214,2019-05-05,PHI vs. TOR,L,240,33,82,0.402,12,38,0.316,18,25,0.72,11,32,43,22,8,6,13,23,96,-5,1
117,42018,1610612755,PHI,Philadelphia 76ers,0041800215,2019-05-07,PHI @ TOR,L,240,33,79,0.418,6,24,0.25,17,20,0.85,5,32,37,19,6,5,19,26,89,-36,1
122,42018,1610612755,PHI,Philadelphia 76ers,0041800216,2019-05-09,PHI vs. TOR,W,240,41,89,0.461,10,28,0.357,20,26,0.769,16,36,52,27,5,3,18,22,112,11,1
131,42018,1610612755,PHI,Philadelphia 76ers,0041800217,2019-05-12,PHI @ TOR,L,240,28,65,0.431,9,27,0.333,25,30,0.833,5,36,41,16,4,7,17,21,90,-2,1
