,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
11,203954,12,Joel Embiid,PHI,64,2154,580,1199,0.484,79,263,0.3,522,649,0.804,160,711,871,234,46,122,226,211,1761,2062,1.04,0.2
19,202699,20,Tobias Harris,PHI,82,2848,611,1254,0.487,156,393,0.397,266,307,0.866,69,576,645,229,51,37,151,184,1644,1771,1.52,0.34
37,200755,38,JJ Redick,PHI,76,2379,452,1027,0.44,240,605,0.397,228,255,0.894,20,166,186,206,32,17,101,129,1372,1110,2.04,0.32
45,1627732,46,Ben Simmons,PHI,79,2700,540,960,0.563,0,6,0.0,257,428,0.6,172,525,697,610,112,61,274,209,1337,1952,2.23,0.41
57,202710,58,Jimmy Butler,PHI,65,2185,418,904,0.462,67,193,0.347,312,365,0.855,121,221,342,263,123,39,95,111,1215,1348,2.77,1.3
232,204456,233,T.J. McConnell,PHI,76,1470,220,419,0.525,14,42,0.333,29,37,0.784,28,146,174,258,79,17,91,105,483,713,2.84,0.87
244,203118,243,Mike Scott,PHI,79,1396,168,420,0.4,101,252,0.401,22,33,0.667,43,233,276,66,26,13,44,156,459,533,1.5,0.59
260,1626246,261,Boban Marjanovic,PHI,58,681,160,260,0.615,4,10,0.4,98,131,0.748,87,178,265,54,16,27,59,90,422,592,0.92,0.27
274,203516,274,James Ennis III,PHI,58,1230,138,294,0.469,55,156,0.353,58,81,0.716,60,122,182,41,41,23,34,150,389,463,1.21,1.21
283,203613,283,Jonathon Simmons,PHI,56,1064,133,350,0.38,28,104,0.269,72,97,0.742,27,99,126,128,29,15,68,89,366,354,1.88,0.43
311,1627788,312,Furkan Korkmaz,PHI,48,679,98,245,0.4,47,144,0.326,36,44,0.818,16,91,107,52,29,2,25,62,279,289,2.08,1.16
331,202328,331,Greg Monroe,PHI,43,480,92,189,0.487,1,5,0.2,45,72,0.625,67,105,172,24,14,8,32,66,230,292,0.75,0.44
342,1628413,343,Jonah Bolden,PHI,44,639,80,162,0.494,34,96,0.354,13,27,0.481,47,118,165,40,17,39,36,99,207,336,1.11,0.47
345,101161,346,Amir Johnson,PHI,51,529,79,157,0.503,12,40,0.3,31,41,0.756,47,100,147,60,16,13,45,99,201,304,1.33,0.36
411,1629003,412,Shake Milton,PHI,20,268,34,87,0.391,14,44,0.318,5,7,0.714,9,26,35,18,8,8,6,29,87,95,3.0,1.33
449,1629015,447,Zhaire Smith,PHI,6,111,14,34,0.412,6,16,0.375,6,8,0.75,3,10,13,10,2,2,6,8,40,39,1.67,0.33
473,1627743,474,Demetrius Jackson,PHI,6,39,8,15,0.533,2,6,0.333,4,4,1.0,2,1,3,5,2,0,1,4,22,24,5.0,2.0
497,1629312,498,Haywood Highsmith,PHI,5,40,4,10,0.4,1,5,0.2,0,2,0.0,0,5,5,2,1,0,1,1,9,8,2.0,1.0
507,1628383,508,Justin Patton,PHI,3,21,2,7,0.286,0,2,0.0,1,2,0.5,2,4,6,3,2,0,0,5,5,10,0.0,0.0
