,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
9,22018,1610612756,PHX,Phoenix Suns,0021800013,2018-10-17,PHX vs. DAL,W,240,44,81,0.543,19,34,0.559,14,16,0.875,6,38,44,35,5,2,12,22,121,21,1
67,22018,1610612756,PHX,Phoenix Suns,0021800033,2018-10-20,PHX @ DEN,L,240,29,77,0.377,11,39,0.282,22,35,0.629,10,30,40,20,6,4,19,26,91,-28,1
78,22018,1610612756,PHX,Phoenix Suns,0021800047,2018-10-22,PHX @ GSW,L,240,39,86,0.453,9,34,0.265,16,18,0.889,12,33,45,24,8,1,21,21,103,-20,1
108,22018,1610612756,PHX,Phoenix Suns,0021800060,2018-10-24,PHX vs. LAL,L,240,44,84,0.524,10,31,0.323,15,21,0.714,9,35,44,27,4,4,20,23,113,-18,1
161,22018,1610612756,PHX,Phoenix Suns,0021800080,2018-10-27,PHX @ MEM,L,240,36,78,0.462,9,33,0.273,15,19,0.789,5,30,35,28,5,1,19,25,96,-21,1
171,22018,1610612756,PHX,Phoenix Suns,0021800085,2018-10-28,PHX @ OKC,L,240,38,86,0.442,8,27,0.296,26,27,0.963,10,34,44,21,10,3,22,32,110,-7,1
214,22018,1610612756,PHX,Phoenix Suns,0021800110,2018-10-31,PHX vs. SAS,L,240,35,90,0.389,6,24,0.25,14,18,0.778,7,28,35,21,10,3,15,26,90,-30,1
236,22018,1610612756,PHX,Phoenix Suns,0021800123,2018-11-02,PHX vs. TOR,L,240,40,91,0.44,8,26,0.308,10,18,0.556,12,37,49,20,3,4,16,18,98,-9,1
269,22018,1610612756,PHX,Phoenix Suns,0021800136,2018-11-04,PHX vs. MEM,W,240,33,64,0.516,14,32,0.438,22,26,0.846,5,32,37,25,7,3,25,27,102,2,1
297,22018,1610612756,PHX,Phoenix Suns,0021800151,2018-11-06,PHX vs. BKN,L,240,28,81,0.346,9,25,0.36,17,20,0.85,9,40,49,16,4,3,20,20,82,-22,1
327,22018,1610612756,PHX,Phoenix Suns,0021800164,2018-11-08,PHX vs. BOS,L,265,41,93,0.441,11,35,0.314,16,19,0.842,4,38,42,25,10,6,15,23,109,-7,1
365,22018,1610612756,PHX,Phoenix Suns,0021800176,2018-11-10,PHX @ NOP,L,240,35,86,0.407,10,36,0.278,19,20,0.95,10,27,37,16,10,7,17,27,99,-20,1
395,22018,1610612756,PHX,Phoenix Suns,0021800196,2018-11-12,PHX @ OKC,L,240,39,81,0.481,7,26,0.269,16,19,0.842,10,27,37,25,5,5,18,21,101,-17,1
405,22018,1610612756,PHX,Phoenix Suns,0021800211,2018-11-14,PHX vs. SAS,W,240,47,84,0.56,15,31,0.484,7,8,0.875,5,33,38,27,9,4,16,23,116,20,1
449,22018,1610612756,PHX,Phoenix Suns,0021800233,2018-11-17,PHX vs. OKC,L,240,37,82,0.451,12,29,0.414,14,21,0.667,4,27,31,25,14,6,15,28,100,-10,1
477,22018,1610612756,PHX,Phoenix Suns,0021800242,2018-11-19,PHX @ PHI,L,240,44,87,0.506,13,33,0.394,13,24,0.542,5,26,31,25,9,4,13,34,114,-5,1
508,22018,1610612756,PHX,Phoenix Suns,0021800257,2018-11-21,PHX @ CHI,L,240,48,98,0.49,10,34,0.294,10,10,1.0,6,30,36,28,9,5,13,20,116,-8,1
544,22018,1610612756,PHX,Phoenix Suns,0021800275,2018-11-23,PHX @ MIL,W,240,45,90,0.5,9,26,0.346,17,22,0.773,6,34,40,21,8,4,11,25,116,2,1
575,22018,1610612756,PHX,Phoenix Suns,0021800287,2018-11-25,PHX @ DET,L,240,42,82,0.512,8,25,0.32,15,21,0.714,10,32,42,22,6,6,17,22,107,-11,1
601,22018,1610612756,PHX,Phoenix Suns,0021800305,2018-11-27,PHX vs. IND,L,240,41,92,0.446,10,30,0.333,12,18,0.667,12,33,45,20,8,6,9,17,104,-5,1
614,22018,1610612756,PHX,Phoenix Suns,0021800315,2018-11-28,PHX @ LAC,L,240,39,89,0.438,8,26,0.308,13,18,0.722,7,27,34,20,17,6,17,24,99,-16,1
642,22018,1610612756,PHX,Phoenix Suns,0021800327,2018-11-30,PHX vs. ORL,L,240,34,84,0.405,7,28,0.25,10,14,0.714,9,31,40,22,5,0,13,15,85,-14,1
676,22018,1610612756,PHX,Phoenix Suns,0021800337,2018-12-02,PHX @ LAL,L,240,37,93,0.398,13,33,0.394,9,11,0.818,7,33,40,24,12,8,16,22,96,-24,1
699,22018,1610612756,PHX,Phoenix Suns,0021800353,2018-12-04,PHX vs. SAC,L,240,38,87,0.437,12,43,0.279,17,21,0.81,13,30,43,27,9,4,21,27,105,-17,1
731,22018,1610612756,PHX,Phoenix Suns,0021800366,2018-12-06,PHX @ POR,L,240,35,91,0.385,5,27,0.185,11,14,0.786,11,30,41,20,11,2,17,21,86,-22,1
738,22018,1610612756,PHX,Phoenix Suns,0021800376,2018-12-07,PHX vs. MIA,L,240,36,79,0.456,14,34,0.412,12,16,0.75,4,38,42,27,7,4,21,21,98,-17,1
788,22018,1610612756,PHX,Phoenix Suns,0021800399,2018-12-10,PHX vs. LAC,L,265,47,94,0.5,9,25,0.36,16,20,0.8,10,30,40,31,14,8,15,29,119,-4,1
803,22018,1610612756,PHX,Phoenix Suns,0021800403,2018-12-11,PHX @ SAS,L,240,33,82,0.402,8,28,0.286,12,14,0.857,8,32,40,19,7,5,17,22,86,-25,1
832,22018,1610612756,PHX,Phoenix Suns,0021800419,2018-12-13,PHX vs. DAL,W,240,37,92,0.402,10,27,0.37,15,18,0.833,12,28,40,20,15,5,13,27,99,10,1
859,22018,1610612756,PHX,Phoenix Suns,0021800435,2018-12-15,PHX vs. MIN,W,240,41,90,0.456,9,28,0.321,16,20,0.8,11,40,51,30,6,7,16,22,107,8,1
889,22018,1610612756,PHX,Phoenix Suns,0021800444,2018-12-17,PHX @ NYK,W,240,48,92,0.522,9,27,0.333,23,27,0.852,4,40,44,27,8,5,7,20,128,18,1
912,22018,1610612756,PHX,Phoenix Suns,0021800458,2018-12-19,PHX @ BOS,W,240,41,96,0.427,11,27,0.407,18,22,0.818,21,35,56,23,8,6,17,19,111,8,1
969,22018,1610612756,PHX,Phoenix Suns,0021800480,2018-12-22,PHX @ WAS,L,315,55,115,0.478,11,35,0.314,25,33,0.758,19,31,50,30,14,7,15,28,146,-3,1
974,22018,1610612756,PHX,Phoenix Suns,0021800489,2018-12-23,PHX @ BKN,L,240,43,89,0.483,3,17,0.176,14,16,0.875,10,31,41,24,10,5,13,27,103,-8,1
1010,22018,1610612756,PHX,Phoenix Suns,0021800503,2018-12-26,PHX @ ORL,W,265,48,95,0.505,13,24,0.542,13,17,0.765,11,34,45,22,9,9,18,19,122,2,1
1035,22018,1610612756,PHX,Phoenix Suns,0021800525,2018-12-28,PHX vs. OKC,L,240,39,90,0.433,9,29,0.31,15,16,0.938,7,27,34,22,12,7,17,18,102,-16,1
1052,22018,1610612756,PHX,Phoenix Suns,0021800533,2018-12-29,PHX vs. DEN,L,240,49,91,0.538,11,29,0.379,9,14,0.643,12,25,37,29,15,5,13,21,118,-4,1
1084,22018,1610612756,PHX,Phoenix Suns,0021800548,2018-12-31,PHX vs. GSW,L,240,37,85,0.435,9,26,0.346,26,30,0.867,7,31,38,20,7,3,14,29,109,-23,1
1111,22018,1610612756,PHX,Phoenix Suns,0021800561,2019-01-02,PHX vs. PHI,L,240,43,95,0.453,11,34,0.324,30,36,0.833,13,24,37,22,10,3,15,34,127,-5,1
1134,22018,1610612756,PHX,Phoenix Suns,0021800573,2019-01-04,PHX vs. LAC,L,240,41,77,0.532,9,19,0.474,20,27,0.741,7,18,25,24,13,9,17,26,111,-10,1
1168,22018,1610612756,PHX,Phoenix Suns,0021800590,2019-01-06,PHX vs. CHA,L,240,43,83,0.518,10,25,0.4,17,19,0.895,3,33,36,23,8,4,15,25,113,-6,1
1200,22018,1610612756,PHX,Phoenix Suns,0021800604,2019-01-08,PHX vs. SAC,W,240,45,88,0.511,10,25,0.4,15,19,0.789,9,28,37,31,18,7,19,25,115,4,1
1224,22018,1610612756,PHX,Phoenix Suns,0021800613,2019-01-09,PHX @ DAL,L,240,36,84,0.429,7,25,0.28,15,21,0.714,7,30,37,22,10,8,15,34,94,-10,1
1259,22018,1610612756,PHX,Phoenix Suns,0021800635,2019-01-12,PHX vs. DEN,W,240,38,92,0.413,8,26,0.308,18,25,0.72,14,35,49,29,11,9,9,19,102,9,1
1306,22018,1610612756,PHX,Phoenix Suns,0021800651,2019-01-15,PHX @ IND,L,240,40,95,0.421,8,27,0.296,9,18,0.5,10,33,43,26,8,6,19,30,97,-34,1
