,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
14,1626164,15,Devin Booker,PHX,64,2242,586,1255,0.467,135,414,0.326,393,454,0.866,39,226,265,433,56,13,264,200,1700,1473,1.64,0.21
62,1629028,63,Deandre Ayton,PHX,71,2183,509,870,0.585,0,4,0.0,141,189,0.746,223,506,729,125,61,67,126,209,1159,1606,0.99,0.48
72,1626162,73,Kelly Oubre Jr.,PHX,69,1935,375,842,0.445,108,338,0.32,189,244,0.775,71,254,325,84,84,59,103,181,1047,974,0.82,0.82
101,1628367,102,Josh Jackson,PHX,79,1988,347,841,0.413,73,225,0.324,143,213,0.671,66,281,347,183,74,56,173,209,910,833,1.06,0.43
130,203933,131,T.J. Warren,PHX,43,1360,297,611,0.486,77,180,0.428,101,124,0.815,31,143,174,64,51,29,52,119,772,701,1.23,0.98
160,1628969,161,Mikal Bridges,PHX,82,2417,242,563,0.43,105,313,0.335,95,118,0.805,56,208,264,173,129,38,70,201,684,874,2.47,1.84
174,204020,175,Tyler Johnson,PHX,57,1529,217,526,0.413,90,260,0.346,95,127,0.748,34,139,173,166,54,27,77,97,619,621,2.16,0.7
187,1626158,188,Richaun Holmes,PHX,70,1184,222,365,0.608,0,0,0.0,128,175,0.731,115,216,331,60,42,79,52,194,572,842,1.15,0.81
216,2037,217,Jamal Crawford,PHX,64,1211,174,438,0.397,67,202,0.332,93,110,0.845,8,77,85,229,33,12,99,75,508,487,2.31,0.33
294,203584,295,Troy Daniels,PHX,51,760,113,275,0.411,74,194,0.381,18,23,0.783,13,60,73,26,26,5,27,79,318,254,0.96,0.96
298,1629059,299,Elie Okobo,PHX,53,958,114,290,0.393,39,132,0.295,37,47,0.787,12,86,98,127,32,7,69,109,304,313,1.84,0.46
319,1629001,319,De'Anthony Melton,PHX,50,984,100,256,0.391,29,95,0.305,21,28,0.75,25,109,134,159,68,23,75,113,250,396,2.12,0.91
330,1627733,331,Dragan Bender,PHX,46,826,88,197,0.447,22,101,0.218,32,54,0.593,34,149,183,56,18,22,37,90,230,341,1.51,0.49
434,1629034,434,Ray Spalding,PHX,14,148,25,47,0.532,0,3,0.0,4,12,0.333,15,33,48,5,9,8,9,23,54,85,0.56,1.0
474,202690,474,Jimmer Fredette,PHX,6,65,8,29,0.276,0,13,0.0,6,6,1.0,1,6,7,8,3,0,5,5,22,14,1.6,0.6
482,203112,483,Quincy Acy,PHX,10,123,4,18,0.222,2,15,0.133,7,10,0.7,3,22,25,8,1,4,4,24,17,34,2.0,0.25
522,1628994,521,George King,PHX,1,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,0.0,0.0
