,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
29,22018,1610612757,POR,Portland Trail Blazers,0021800016,2018-10-18,POR vs. LAL,W,240,44,100,0.44,13,37,0.351,27,29,0.931,14,40,54,21,9,10,17,26,128,9,1
60,22018,1610612757,POR,Portland Trail Blazers,0021800034,2018-10-20,POR vs. SAS,W,240,45,84,0.536,15,32,0.469,16,19,0.842,8,38,46,24,5,3,12,14,121,13,1
84,22018,1610612757,POR,Portland Trail Blazers,0021800046,2018-10-22,POR vs. WAS,L,265,43,108,0.398,11,39,0.282,27,31,0.871,17,53,70,22,6,4,20,22,124,-1,1
127,22018,1610612757,POR,Portland Trail Blazers,0021800064,2018-10-25,POR @ ORL,W,240,48,87,0.552,11,27,0.407,21,26,0.808,12,32,44,24,6,6,11,22,128,14,1
152,22018,1610612757,POR,Portland Trail Blazers,0021800079,2018-10-27,POR @ MIA,L,240,37,88,0.42,12,33,0.364,25,28,0.893,8,34,42,14,7,8,9,25,111,-9,1
185,22018,1610612757,POR,Portland Trail Blazers,0021800087,2018-10-29,POR @ IND,W,240,38,78,0.487,10,26,0.385,17,18,0.944,9,41,50,19,3,3,18,23,103,10,1
197,22018,1610612757,POR,Portland Trail Blazers,0021800101,2018-10-30,POR @ HOU,W,240,38,80,0.475,8,20,0.4,20,23,0.87,7,44,51,17,4,4,20,19,104,19,1
227,22018,1610612757,POR,Portland Trail Blazers,0021800116,2018-11-01,POR vs. NOP,W,240,44,87,0.506,18,35,0.514,26,31,0.839,8,38,46,26,4,4,14,30,132,13,1
254,22018,1610612757,POR,Portland Trail Blazers,0021800132,2018-11-03,POR vs. LAL,L,240,44,104,0.423,6,35,0.171,16,22,0.727,16,34,50,20,10,5,14,21,110,-4,1
272,22018,1610612757,POR,Portland Trail Blazers,0021800138,2018-11-04,POR vs. MIN,W,240,38,86,0.442,7,28,0.25,28,32,0.875,17,49,66,15,7,1,17,20,111,30,1
299,22018,1610612757,POR,Portland Trail Blazers,0021800152,2018-11-06,POR vs. MIL,W,240,48,91,0.527,17,43,0.395,5,8,0.625,11,40,51,23,7,3,12,17,118,15,1
329,22018,1610612757,POR,Portland Trail Blazers,0021800165,2018-11-08,POR vs. LAC,W,240,40,97,0.412,10,26,0.385,26,28,0.929,14,39,53,18,4,8,7,20,116,11,1
374,22018,1610612757,POR,Portland Trail Blazers,0021800188,2018-11-11,POR vs. BOS,W,240,39,86,0.453,14,36,0.389,8,10,0.8,15,40,55,22,4,2,21,14,100,6,1
402,22018,1610612757,POR,Portland Trail Blazers,0021800212,2018-11-14,POR @ LAL,L,240,41,93,0.441,14,33,0.424,21,23,0.913,11,36,47,24,8,10,15,21,117,-9,1
439,22018,1610612757,POR,Portland Trail Blazers,0021800221,2018-11-16,POR @ MIN,L,240,37,88,0.42,8,29,0.276,14,20,0.7,11,37,48,16,6,1,18,14,96,-16,1
475,22018,1610612757,POR,Portland Trail Blazers,0021800237,2018-11-18,POR @ WAS,W,240,39,86,0.453,11,30,0.367,30,35,0.857,9,43,52,26,4,3,15,25,119,10,1
494,22018,1610612757,POR,Portland Trail Blazers,0021800251,2018-11-20,POR @ NYK,W,240,45,95,0.474,16,35,0.457,12,17,0.706,14,29,43,25,8,4,12,19,118,4,1
519,22018,1610612757,POR,Portland Trail Blazers,0021800259,2018-11-21,POR @ MIL,L,240,34,93,0.366,9,41,0.22,23,28,0.821,10,30,40,13,8,6,17,20,100,-43,1
530,22018,1610612757,POR,Portland Trail Blazers,0021800277,2018-11-23,POR @ GSW,L,240,38,93,0.409,9,24,0.375,12,22,0.545,12,27,39,22,9,2,13,16,97,-28,1
576,22018,1610612757,POR,Portland Trail Blazers,0021800293,2018-11-25,POR vs. LAC,L,240,42,97,0.433,8,38,0.211,8,10,0.8,16,42,58,18,2,5,12,24,100,-4,1
618,22018,1610612757,POR,Portland Trail Blazers,0021800314,2018-11-28,POR vs. ORL,W,240,37,85,0.435,19,39,0.487,22,32,0.688,13,34,47,24,8,1,12,17,115,3,1
652,22018,1610612757,POR,Portland Trail Blazers,0021800329,2018-11-30,POR vs. DEN,L,240,45,85,0.529,6,22,0.273,16,21,0.762,12,32,44,19,7,6,14,23,112,-1,1
674,22018,1610612757,POR,Portland Trail Blazers,0021800342,2018-12-02,POR @ SAS,L,240,45,86,0.523,12,29,0.414,16,16,1.0,9,26,35,25,6,5,17,21,118,-13,1
706,22018,1610612757,POR,Portland Trail Blazers,0021800352,2018-12-04,POR @ DAL,L,240,38,84,0.452,7,24,0.292,19,23,0.826,11,37,48,20,7,6,19,29,102,-9,1
730,22018,1610612757,POR,Portland Trail Blazers,0021800366,2018-12-06,POR vs. PHX,W,240,41,85,0.482,9,27,0.333,17,27,0.63,13,43,56,24,10,6,17,19,108,22,1
763,22018,1610612757,POR,Portland Trail Blazers,0021800385,2018-12-08,POR vs. MIN,W,240,39,83,0.47,10,33,0.303,25,30,0.833,14,39,53,23,10,9,20,20,113,8,1
806,22018,1610612757,POR,Portland Trail Blazers,0021800402,2018-12-11,POR @ HOU,L,240,38,87,0.437,10,25,0.4,18,21,0.857,13,31,44,20,1,4,14,17,104,-7,1
827,22018,1610612757,POR,Portland Trail Blazers,0021800410,2018-12-12,POR @ MEM,L,240,32,87,0.368,6,22,0.273,13,16,0.813,4,40,44,15,11,9,14,19,83,-9,1
847,22018,1610612757,POR,Portland Trail Blazers,0021800427,2018-12-14,POR vs. TOR,W,240,48,94,0.511,13,27,0.481,19,21,0.905,12,26,38,29,10,4,8,15,128,6,1
890,22018,1610612757,POR,Portland Trail Blazers,0021800450,2018-12-17,POR @ LAC,W,240,47,86,0.547,10,20,0.5,27,31,0.871,6,27,33,26,5,4,11,32,131,4,1
918,22018,1610612757,POR,Portland Trail Blazers,0021800465,2018-12-19,POR vs. MEM,W,240,35,75,0.467,11,26,0.423,18,20,0.9,12,31,43,16,9,4,21,23,99,7,1
949,22018,1610612757,POR,Portland Trail Blazers,0021800476,2018-12-21,POR vs. UTA,L,240,35,87,0.402,10,32,0.313,10,18,0.556,13,29,42,17,8,6,14,16,90,-30,1
985,22018,1610612757,POR,Portland Trail Blazers,0021800495,2018-12-23,POR vs. DAL,W,265,49,104,0.471,11,38,0.289,12,17,0.706,7,46,53,29,5,6,10,26,121,3,1
1000,22018,1610612757,POR,Portland Trail Blazers,0021800501,2018-12-25,POR @ UTA,L,240,35,89,0.393,9,23,0.391,17,26,0.654,11,31,42,20,7,3,12,20,96,-21,1
1023,22018,1610612757,POR,Portland Trail Blazers,0021800516,2018-12-27,POR @ GSW,W,265,38,105,0.362,13,40,0.325,21,23,0.913,11,43,54,20,7,4,15,18,110,1,1
1058,22018,1610612757,POR,Portland Trail Blazers,0021800534,2018-12-29,POR vs. GSW,L,240,39,91,0.429,9,31,0.29,18,22,0.818,11,35,46,18,6,4,13,17,105,-10,1
1077,22018,1610612757,POR,Portland Trail Blazers,0021800540,2018-12-30,POR vs. PHI,W,240,49,83,0.59,12,22,0.545,19,25,0.76,7,52,59,28,2,2,21,22,129,34,1
1100,22018,1610612757,POR,Portland Trail Blazers,0021800552,2019-01-01,POR @ SAC,W,265,39,90,0.433,9,32,0.281,26,30,0.867,10,46,56,22,11,10,19,19,113,5,1
1143,22018,1610612757,POR,Portland Trail Blazers,0021800575,2019-01-04,POR vs. OKC,L,240,41,95,0.432,9,31,0.29,18,21,0.857,11,39,50,30,6,5,12,17,109,-2,1
1159,22018,1610612757,POR,Portland Trail Blazers,0021800582,2019-01-05,POR vs. HOU,W,240,43,94,0.457,9,28,0.321,15,20,0.75,17,30,47,27,7,2,9,11,110,9,1
1187,22018,1610612757,POR,Portland Trail Blazers,0021800597,2019-01-07,POR vs. NYK,W,240,40,85,0.471,11,31,0.355,20,29,0.69,12,39,51,25,7,5,15,21,111,10,1
1221,22018,1610612757,POR,Portland Trail Blazers,0021800615,2019-01-09,POR vs. CHI,W,240,47,83,0.566,11,26,0.423,19,21,0.905,6,37,43,28,6,7,16,21,124,12,1
1248,22018,1610612757,POR,Portland Trail Blazers,0021800628,2019-01-11,POR vs. CHA,W,240,52,93,0.559,15,40,0.375,8,9,0.889,7,40,47,31,10,16,9,20,127,31,1
1284,22018,1610612757,POR,Portland Trail Blazers,0021800643,2019-01-13,POR @ DEN,L,240,40,88,0.455,12,34,0.353,21,22,0.955,8,31,39,25,5,1,9,22,113,-3,1
1298,22018,1610612757,POR,Portland Trail Blazers,0021800649,2019-01-14,POR @ SAC,L,240,37,92,0.402,10,31,0.323,23,29,0.793,17,32,49,22,6,3,14,23,107,-8,2
1323,22018,1610612757,POR,Portland Trail Blazers,0021800662,2019-01-16,POR vs. CLE,W,240,47,89,0.528,16,29,0.552,19,23,0.826,7,34,41,28,1,6,4,17,129,17,1
1349,22018,1610612757,POR,Portland Trail Blazers,0021800677,2019-01-18,POR vs. NOP,W,240,48,103,0.466,11,34,0.324,21,26,0.808,18,35,53,30,8,3,7,22,128,16,1
1394,22018,1610612757,POR,Portland Trail Blazers,0021800700,2019-01-21,POR @ UTA,W,240,45,90,0.5,8,18,0.444,11,15,0.733,7,37,44,30,6,9,11,22,109,5,1
1409,22018,1610612757,POR,Portland Trail Blazers,0021800703,2019-01-22,POR @ OKC,L,240,43,95,0.453,10,36,0.278,18,22,0.818,20,32,52,21,7,3,20,20,114,-9,1
1433,22018,1610612757,POR,Portland Trail Blazers,0021800718,2019-01-24,POR @ PHX,W,240,44,94,0.468,12,26,0.462,20,20,1.0,14,39,53,25,8,8,17,24,120,14,1
1461,22018,1610612757,POR,Portland Trail Blazers,0021800734,2019-01-26,POR vs. ATL,W,240,41,82,0.5,11,30,0.367,27,30,0.9,11,36,47,26,8,7,19,23,120,9,1
1517,22018,1610612757,POR,Portland Trail Blazers,0021800763,2019-01-30,POR vs. UTA,W,240,48,90,0.533,16,32,0.5,20,23,0.87,11,35,46,28,7,5,15,17,132,27,1
1597,22018,1610612757,POR,Portland Trail Blazers,0021800803,2019-02-05,POR vs. MIA,L,240,42,93,0.452,15,39,0.385,9,12,0.75,7,26,33,30,6,2,13,21,108,-10,1
