,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
13,42018,1610612757,POR,Portland Trail Blazers,0041800161,2019-04-14,POR vs. OKC,W,240,36,86,0.419,11,25,0.44,21,27,0.778,13,35,48,14,8,9,19,17,104,5,1
20,42018,1610612757,POR,Portland Trail Blazers,0041800162,2019-04-16,POR vs. OKC,W,240,42,90,0.467,13,32,0.406,17,21,0.81,7,37,44,17,9,6,12,27,114,20,1
42,42018,1610612757,POR,Portland Trail Blazers,0041800163,2019-04-19,POR @ OKC,L,240,39,83,0.47,12,31,0.387,18,24,0.75,12,29,41,18,5,1,18,33,108,-12,1
58,42018,1610612757,POR,Portland Trail Blazers,0041800164,2019-04-21,POR @ OKC,W,240,37,90,0.411,15,35,0.429,22,23,0.957,8,41,49,16,10,8,13,22,111,13,1
66,42018,1610612757,POR,Portland Trail Blazers,0041800165,2019-04-23,POR vs. OKC,W,240,45,96,0.469,13,35,0.371,15,23,0.652,13,32,45,22,8,5,10,18,118,3,1
89,42018,1610612757,POR,Portland Trail Blazers,0041800231,2019-04-29,POR @ DEN,L,240,41,79,0.519,11,29,0.379,20,27,0.741,9,31,40,20,6,5,18,24,113,-8,1
96,42018,1610612757,POR,Portland Trail Blazers,0041800232,2019-05-01,POR @ DEN,W,240,36,85,0.424,9,29,0.31,16,20,0.8,7,40,47,18,5,6,11,22,97,7,1
103,42018,1610612757,POR,Portland Trail Blazers,0041800233,2019-05-03,POR vs. DEN,W,340,52,124,0.419,12,42,0.286,24,28,0.857,24,38,62,23,13,5,14,24,140,3,1
108,42018,1610612757,POR,Portland Trail Blazers,0041800234,2019-05-05,POR vs. DEN,L,240,39,82,0.476,12,28,0.429,22,28,0.786,12,31,43,18,4,5,14,27,112,-4,1
115,42018,1610612757,POR,Portland Trail Blazers,0041800235,2019-05-07,POR @ DEN,L,240,36,98,0.367,10,37,0.27,16,30,0.533,13,30,43,19,6,5,6,23,98,-26,1
124,42018,1610612757,POR,Portland Trail Blazers,0041800236,2019-05-09,POR vs. DEN,W,240,41,89,0.461,15,33,0.455,22,30,0.733,11,32,43,18,4,5,9,20,119,11,1
128,42018,1610612757,POR,Portland Trail Blazers,0041800237,2019-05-12,POR @ DEN,W,240,38,93,0.409,4,26,0.154,20,24,0.833,12,43,55,16,5,7,4,31,100,4,1
132,42018,1610612757,POR,Portland Trail Blazers,0041800311,2019-05-14,POR @ GSW,L,240,30,83,0.361,7,28,0.25,27,31,0.871,16,31,47,21,5,5,21,16,94,-22,1
137,42018,1610612757,POR,Portland Trail Blazers,0041800312,2019-05-16,POR @ GSW,L,240,38,86,0.442,18,39,0.462,17,18,0.944,10,27,37,23,8,1,13,22,111,-3,1
140,42018,1610612757,POR,Portland Trail Blazers,0041800313,2019-05-18,POR vs. GSW,L,240,34,85,0.4,11,35,0.314,20,33,0.606,10,31,41,22,9,3,11,23,99,-11,1
144,42018,1610612757,POR,Portland Trail Blazers,0041800314,2019-05-20,POR vs. GSW,L,265,47,98,0.48,16,41,0.39,7,10,0.7,6,32,38,31,5,6,13,15,117,-2,1
