,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
4,203081,5,Damian Lillard,POR,80,2838,681,1533,0.444,237,643,0.369,468,513,0.912,68,303,371,551,88,34,212,148,2067,2002,2.6,0.42
31,203468,32,CJ McCollum,POR,70,2375,571,1243,0.459,167,445,0.375,159,192,0.828,62,220,282,207,55,28,106,172,1468,1229,1.95,0.52
64,203994,65,Jusuf Nurkic,POR,72,1974,420,826,0.508,3,29,0.103,282,365,0.773,243,505,748,233,71,103,168,250,1125,1623,1.39,0.42
100,202683,101,Enes Kanter,POR,67,1639,375,683,0.549,10,34,0.294,155,197,0.787,257,402,659,116,32,26,118,167,915,1280,0.98,0.27
124,203918,125,Rodney Hood,POR,72,1893,292,671,0.435,84,236,0.356,137,155,0.884,25,132,157,126,59,12,55,146,805,707,2.29,1.07
132,202329,133,Al-Farouq Aminu,POR,81,2292,257,593,0.433,96,280,0.343,150,173,0.867,112,498,610,104,68,33,72,143,760,1144,1.44,0.94
186,203552,187,Seth Curry,POR,74,1399,212,465,0.456,113,251,0.45,44,52,0.846,27,93,120,66,36,12,61,97,581,493,1.08,0.59
199,1627774,200,Jake Layman,POR,71,1327,216,424,0.509,59,181,0.326,50,71,0.704,56,161,217,53,31,30,46,116,541,597,1.15,0.67
212,1628380,213,Zach Collins,POR,77,1356,189,400,0.473,40,121,0.331,94,126,0.746,109,215,324,71,25,66,77,174,512,678,0.92,0.33
222,202323,223,Evan Turner,POR,73,1606,204,443,0.46,11,52,0.212,75,106,0.708,37,291,328,283,33,18,114,110,494,772,2.48,0.29
241,203090,242,Maurice Harkless,POR,60,1415,189,388,0.487,33,120,0.275,49,73,0.671,77,192,269,74,67,53,45,163,460,655,1.64,1.49
284,203086,285,Meyers Leonard,POR,61,878,132,242,0.545,50,111,0.45,43,51,0.843,49,184,233,75,13,9,43,105,357,526,1.74,0.3
420,1629014,421,Anfernee Simons,POR,20,141,28,63,0.444,10,29,0.345,9,16,0.563,3,10,13,13,1,0,11,9,75,49,1.18,0.09
425,1627746,426,Skal Labissiere,POR,22,176,26,49,0.531,6,13,0.462,9,17,0.529,9,34,43,11,5,6,11,29,67,90,1.0,0.46
446,1629018,447,Gary Trent Jr.,POR,15,111,16,50,0.32,5,21,0.238,3,7,0.429,1,10,11,5,1,2,4,4,40,17,1.25,0.25
462,1627735,462,Wade Baldwin IV,POR,16,94,10,33,0.303,2,9,0.222,8,11,0.727,2,13,15,12,1,2,14,11,30,20,0.86,0.07
