,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
20,22018,1610612758,SAC,Sacramento Kings,0021800011,2018-10-17,SAC vs. UTA,L,240,49,95,0.516,7,19,0.368,12,18,0.667,5,32,37,17,8,3,9,27,117,-6,1
48,22018,1610612758,SAC,Sacramento Kings,0021800022,2018-10-19,SAC @ NOP,L,240,50,96,0.521,10,25,0.4,19,26,0.731,9,30,39,24,6,2,13,26,129,-20,1
76,22018,1610612758,SAC,Sacramento Kings,0021800037,2018-10-21,SAC @ OKC,W,240,50,91,0.549,10,22,0.455,21,28,0.75,12,34,46,28,11,7,20,26,131,11,1
98,22018,1610612758,SAC,Sacramento Kings,0021800051,2018-10-23,SAC @ DEN,L,240,45,86,0.523,13,31,0.419,9,20,0.45,9,30,39,29,7,6,16,17,112,-14,1
121,22018,1610612758,SAC,Sacramento Kings,0021800061,2018-10-24,SAC vs. MEM,W,240,35,83,0.422,6,18,0.333,21,33,0.636,15,42,57,19,7,5,17,15,97,5,1
136,22018,1610612758,SAC,Sacramento Kings,0021800073,2018-10-26,SAC vs. WAS,W,240,44,95,0.463,14,37,0.378,14,23,0.609,14,39,53,25,8,4,19,18,116,4,1
180,22018,1610612758,SAC,Sacramento Kings,0021800089,2018-10-29,SAC @ MIA,W,240,48,97,0.495,12,26,0.462,15,25,0.6,9,37,46,28,8,8,14,23,123,10,1
194,22018,1610612758,SAC,Sacramento Kings,0021800098,2018-10-30,SAC @ ORL,W,240,41,84,0.488,8,22,0.364,17,26,0.654,8,43,51,22,8,6,15,20,107,8,1
228,22018,1610612758,SAC,Sacramento Kings,0021800114,2018-11-01,SAC @ ATL,W,240,53,98,0.541,14,35,0.4,26,32,0.813,10,36,46,38,14,3,14,29,146,31,1
275,22018,1610612758,SAC,Sacramento Kings,0021800133,2018-11-04,SAC @ MIL,L,240,42,95,0.442,14,36,0.389,11,22,0.5,8,36,44,24,6,4,15,26,109,-35,1
318,22018,1610612758,SAC,Sacramento Kings,0021800161,2018-11-07,SAC vs. TOR,L,240,42,88,0.477,8,23,0.348,13,18,0.722,6,25,31,27,10,5,15,26,105,-9,1
342,22018,1610612758,SAC,Sacramento Kings,0021800173,2018-11-09,SAC vs. MIN,W,240,43,95,0.453,12,32,0.375,23,29,0.793,12,37,49,25,7,6,13,29,121,11,1
358,22018,1610612758,SAC,Sacramento Kings,0021800183,2018-11-10,SAC vs. LAL,L,240,32,92,0.348,6,25,0.24,16,20,0.8,13,37,50,11,7,5,19,20,86,-15,1
384,22018,1610612758,SAC,Sacramento Kings,0021800197,2018-11-12,SAC vs. SAS,W,240,43,86,0.5,11,24,0.458,7,12,0.583,7,38,45,27,12,3,13,20,104,5,1
442,22018,1610612758,SAC,Sacramento Kings,0021800220,2018-11-16,SAC @ MEM,L,240,37,80,0.463,12,33,0.364,18,24,0.75,9,33,42,23,9,2,21,24,104,-8,1
457,22018,1610612758,SAC,Sacramento Kings,0021800231,2018-11-17,SAC @ HOU,L,240,46,102,0.451,11,35,0.314,9,12,0.75,13,26,39,23,10,3,14,21,112,-20,1
487,22018,1610612758,SAC,Sacramento Kings,0021800247,2018-11-19,SAC vs. OKC,W,240,45,102,0.441,16,38,0.421,11,17,0.647,14,45,59,29,7,4,15,18,117,4,1
517,22018,1610612758,SAC,Sacramento Kings,0021800263,2018-11-21,SAC @ UTA,W,240,47,89,0.528,11,25,0.44,14,19,0.737,8,40,48,27,5,4,11,30,119,9,1
557,22018,1610612758,SAC,Sacramento Kings,0021800285,2018-11-24,SAC @ GSW,L,240,42,97,0.433,11,28,0.393,21,29,0.724,13,34,47,28,6,4,8,22,116,-1,1
581,22018,1610612758,SAC,Sacramento Kings,0021800292,2018-11-25,SAC vs. UTA,L,240,40,85,0.471,9,23,0.391,23,31,0.742,7,29,36,20,10,7,17,25,112,-21,1
632,22018,1610612758,SAC,Sacramento Kings,0021800318,2018-11-29,SAC vs. LAC,L,240,46,96,0.479,7,24,0.292,22,26,0.846,16,32,48,26,4,2,11,25,121,-12,1
667,22018,1610612758,SAC,Sacramento Kings,0021800336,2018-12-01,SAC vs. IND,W,240,41,91,0.451,13,29,0.448,16,24,0.667,14,32,46,25,10,3,20,16,111,1,1
698,22018,1610612758,SAC,Sacramento Kings,0021800353,2018-12-04,SAC @ PHX,W,240,45,84,0.536,11,24,0.458,21,32,0.656,9,33,42,27,13,3,13,22,122,17,1
745,22018,1610612758,SAC,Sacramento Kings,0021800372,2018-12-07,SAC @ CLE,W,240,56,98,0.571,13,29,0.448,4,7,0.571,10,25,35,31,6,5,9,18,129,19,1
764,22018,1610612758,SAC,Sacramento Kings,0021800379,2018-12-08,SAC @ IND,L,240,38,90,0.422,9,32,0.281,12,15,0.8,12,31,43,24,9,8,14,21,97,-10,1
786,22018,1610612758,SAC,Sacramento Kings,0021800394,2018-12-10,SAC @ CHI,W,240,40,88,0.455,16,37,0.432,12,15,0.8,10,32,42,28,16,4,18,15,108,19,1
821,22018,1610612758,SAC,Sacramento Kings,0021800414,2018-12-12,SAC vs. MIN,W,240,50,86,0.581,19,38,0.5,22,32,0.688,9,29,38,34,3,6,11,21,141,11,1
848,22018,1610612758,SAC,Sacramento Kings,0021800428,2018-12-14,SAC vs. GSW,L,240,45,96,0.469,15,44,0.341,20,25,0.8,7,35,42,33,6,3,13,28,125,-5,1
876,22018,1610612758,SAC,Sacramento Kings,0021800440,2018-12-16,SAC @ DAL,W,240,46,98,0.469,9,31,0.29,19,21,0.905,11,36,47,20,6,7,9,26,120,7,1
897,22018,1610612758,SAC,Sacramento Kings,0021800446,2018-12-17,SAC @ MIN,L,240,38,90,0.422,14,38,0.368,15,23,0.652,6,32,38,20,5,4,15,27,105,-27,1
925,22018,1610612758,SAC,Sacramento Kings,0021800466,2018-12-19,SAC vs. OKC,L,240,39,93,0.419,13,34,0.382,22,33,0.667,10,33,43,28,7,5,13,18,113,-19,1
951,22018,1610612758,SAC,Sacramento Kings,0021800477,2018-12-21,SAC vs. MEM,W,240,33,88,0.375,15,41,0.366,21,29,0.724,12,30,42,25,10,5,10,15,102,3,1
988,22018,1610612758,SAC,Sacramento Kings,0021800492,2018-12-23,SAC vs. NOP,W,240,42,100,0.42,14,31,0.452,24,33,0.727,12,38,50,26,9,4,9,21,122,5,1
1008,22018,1610612758,SAC,Sacramento Kings,0021800511,2018-12-26,SAC @ LAC,L,240,49,104,0.471,10,30,0.333,10,15,0.667,12,31,43,26,8,10,13,21,118,-9,1
1031,22018,1610612758,SAC,Sacramento Kings,0021800514,2018-12-27,SAC vs. LAL,W,240,45,101,0.446,10,29,0.345,17,21,0.81,16,32,48,25,10,5,15,20,117,1,1
1070,22018,1610612758,SAC,Sacramento Kings,0021800541,2018-12-30,SAC @ LAL,L,240,46,95,0.484,13,34,0.382,9,12,0.75,9,36,45,24,8,5,14,23,114,-7,1
1101,22018,1610612758,SAC,Sacramento Kings,0021800552,2019-01-01,SAC vs. POR,L,265,44,115,0.383,11,33,0.333,9,12,0.75,14,39,53,24,13,4,13,23,108,-5,1
1128,22018,1610612758,SAC,Sacramento Kings,0021800564,2019-01-03,SAC vs. DEN,L,240,45,90,0.5,13,31,0.419,10,15,0.667,7,26,33,25,5,3,8,23,113,-4,1
1163,22018,1610612758,SAC,Sacramento Kings,0021800583,2019-01-05,SAC vs. GSW,L,240,46,97,0.474,20,36,0.556,11,14,0.786,14,29,43,34,12,0,8,18,123,-4,1
1193,22018,1610612758,SAC,Sacramento Kings,0021800598,2019-01-07,SAC vs. ORL,W,240,45,98,0.459,10,34,0.294,11,20,0.55,9,48,57,24,11,4,9,18,111,16,1
1201,22018,1610612758,SAC,Sacramento Kings,0021800604,2019-01-08,SAC @ PHX,L,240,38,80,0.475,15,29,0.517,20,29,0.69,12,31,43,26,11,5,26,19,111,-4,1
