,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
15,1627741,16,Buddy Hield,SAC,82,2615,623,1360,0.458,278,651,0.427,171,193,0.886,106,306,412,205,58,33,146,202,1695,1498,1.4,0.4
36,1628368,37,De'Aaron Fox,SAC,81,2546,505,1102,0.458,86,232,0.371,303,417,0.727,43,261,304,590,133,45,227,204,1399,1533,2.6,0.59
49,203084,50,Harrison Barnes,SAC,77,2533,431,1027,0.42,174,441,0.395,229,278,0.824,57,304,361,115,50,13,98,122,1265,1061,1.17,0.51
81,203992,82,Bogdan Bogdanovic,SAC,70,1947,361,863,0.418,134,372,0.36,134,162,0.827,40,203,243,267,72,15,117,142,990,940,2.28,0.62
85,1626161,86,Willie Cauley-Stein,SAC,81,2213,412,741,0.556,1,2,0.5,140,254,0.551,181,497,678,194,96,51,84,227,965,1457,2.31,1.14
97,1628963,98,Marvin Bagley III,SAC,62,1568,356,706,0.504,30,96,0.313,181,262,0.691,162,309,471,62,33,59,98,120,923,1019,0.63,0.34
139,202357,140,Nemanja Bjelica,SAC,77,1788,284,593,0.479,103,257,0.401,70,92,0.761,125,319,444,147,54,56,82,197,741,1029,1.79,0.66
193,202692,194,Alec Burks,SAC,64,1375,192,474,0.405,61,168,0.363,116,141,0.823,30,205,235,128,39,21,65,91,561,612,1.97,0.6
264,1627812,265,Yogi Ferrell,SAC,71,1067,153,352,0.435,54,149,0.362,60,67,0.896,13,96,109,137,36,4,40,64,420,460,3.43,0.9
268,1628385,269,Harry Giles III,SAC,58,820,175,348,0.503,0,6,0.0,58,91,0.637,66,156,222,85,31,22,73,150,408,489,1.16,0.43
348,1628412,349,Frank Mason,SAC,38,435,71,169,0.42,14,64,0.219,39,57,0.684,6,37,43,84,16,4,36,34,195,190,2.33,0.44
372,201585,372,Kosta Koufos,SAC,42,502,73,153,0.477,0,0,0.0,10,24,0.417,52,125,177,36,15,18,27,68,156,281,1.33,0.56
375,201147,376,Corey Brewer,SAC,31,492,53,123,0.431,14,44,0.318,31,43,0.721,26,50,76,39,32,7,19,63,151,204,2.05,1.68
402,1627786,403,Troy Williams,SAC,21,312,44,98,0.449,14,44,0.318,9,15,0.6,12,47,59,11,10,8,9,37,111,130,1.22,1.11
421,203463,421,Ben McLemore,SAC,19,158,25,64,0.391,17,41,0.415,8,12,0.667,3,14,17,4,6,3,5,22,75,57,0.8,1.2
444,1628403,445,Caleb Swanigan,SAC,21,178,18,53,0.34,1,7,0.143,6,9,0.667,17,47,64,11,6,1,18,28,43,69,0.61,0.33
470,1629168,471,BJ Johnson,SAC,7,49,9,18,0.5,3,7,0.429,2,2,1.0,2,6,8,0,2,0,2,4,23,22,0.0,1.0
