,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
12,200746,13,LaMarcus Aldridge,SAS,81,2687,684,1319,0.519,10,42,0.238,349,412,0.847,251,493,744,194,43,107,144,179,1727,1973,1.35,0.3
20,201942,21,DeMar DeRozan,SAS,77,2688,631,1313,0.481,7,45,0.156,366,441,0.83,54,408,462,475,86,36,199,177,1635,1738,2.39,0.43
84,1627854,85,Bryn Forbes,SAS,82,2293,361,791,0.456,176,413,0.426,69,78,0.885,18,221,239,175,45,4,80,159,967,911,2.19,0.56
92,200752,92,Rudy Gay,SAS,69,1842,376,746,0.504,74,184,0.402,120,147,0.816,63,407,470,182,54,34,114,159,946,1175,1.6,0.47
119,201158,120,Marco Belinelli,SAS,79,1815,285,690,0.413,147,395,0.372,112,124,0.903,16,182,198,132,35,8,72,121,829,713,1.83,0.49
123,201988,124,Patty Mills,SAS,82,1908,282,663,0.425,159,404,0.394,88,103,0.854,24,158,182,245,49,10,93,129,811,808,2.63,0.53
165,1628401,166,Derrick White,SAS,67,1728,260,543,0.479,48,142,0.338,95,123,0.772,35,212,247,263,67,47,97,145,663,879,2.71,0.69
179,202722,180,Davis Bertans,SAS,76,1632,204,453,0.45,145,338,0.429,53,60,0.883,23,241,264,100,35,33,43,133,606,739,2.33,0.81
259,1627751,260,Jakob Poeltl,SAS,77,1273,187,290,0.645,0,0,0.0,49,92,0.533,178,232,410,93,29,68,48,124,423,829,1.94,0.6
349,201967,350,Dante Cunningham,SAS,64,928,75,158,0.475,30,65,0.462,14,18,0.778,48,140,188,50,27,13,22,71,194,363,2.27,1.23
406,202347,407,Quincy Pondexter,SAS,53,292,29,58,0.5,6,18,0.333,34,42,0.81,8,38,46,24,11,1,13,24,98,130,1.85,0.85
436,1629002,437,Chimezie Metu,SAS,29,145,19,58,0.328,0,2,0.0,13,17,0.765,9,27,36,13,6,2,15,14,51,50,0.87,0.4
443,1629022,444,Lonnie Walker IV,SAS,17,118,16,46,0.348,5,13,0.385,8,10,0.8,0,17,17,9,7,3,4,7,45,45,2.25,1.75
445,1629234,446,Drew Eubanks,SAS,23,113,15,26,0.577,0,0,0.0,11,13,0.846,6,28,34,7,2,5,8,11,41,68,0.88,0.25
504,202700,504,Donatas Motiejunas,SAS,3,13,3,6,0.5,0,0,0.0,0,2,0.0,2,1,3,1,0,1,3,6,6,3,0.33,0.0
