,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
6,42018,1610612761,TOR,Toronto Raptors,0041800111,2019-04-13,TOR vs. ORL,L,240,40,88,0.455,12,36,0.333,9,14,0.643,6,39,45,23,4,4,13,19,101,-3,1
25,42018,1610612761,TOR,Toronto Raptors,0041800112,2019-04-16,TOR vs. ORL,W,240,42,87,0.483,11,35,0.314,16,17,0.941,6,36,42,25,10,5,7,23,111,29,1
39,42018,1610612761,TOR,Toronto Raptors,0041800113,2019-04-19,TOR @ ORL,W,240,39,87,0.448,11,28,0.393,9,10,0.9,8,35,43,26,9,3,13,23,98,5,1
54,42018,1610612761,TOR,Toronto Raptors,0041800114,2019-04-21,TOR @ ORL,W,240,40,75,0.533,11,28,0.393,16,18,0.889,7,38,45,23,11,6,14,20,107,22,1
71,42018,1610612761,TOR,Toronto Raptors,0041800115,2019-04-23,TOR vs. ORL,W,240,41,85,0.482,15,36,0.417,18,21,0.857,8,40,48,34,8,3,14,30,115,19,1
82,42018,1610612761,TOR,Toronto Raptors,0041800211,2019-04-27,TOR vs. PHI,W,240,41,79,0.519,9,27,0.333,17,24,0.708,2,38,40,21,3,6,10,24,108,13,1
91,42018,1610612761,TOR,Toronto Raptors,0041800212,2019-04-29,TOR vs. PHI,L,240,33,90,0.367,10,37,0.27,13,15,0.867,9,27,36,20,10,4,13,22,89,-5,1
98,42018,1610612761,TOR,Toronto Raptors,0041800213,2019-05-02,TOR @ PHI,L,240,35,83,0.422,7,27,0.259,18,23,0.783,8,27,35,15,7,4,9,17,95,-21,1
106,42018,1610612761,TOR,Toronto Raptors,0041800214,2019-05-05,TOR @ PHI,W,240,35,76,0.461,10,31,0.323,21,26,0.808,8,35,43,19,6,3,14,24,101,5,1
116,42018,1610612761,TOR,Toronto Raptors,0041800215,2019-05-07,TOR vs. PHI,W,240,40,82,0.488,16,40,0.4,29,33,0.879,6,36,42,22,12,2,13,18,125,36,1
123,42018,1610612761,TOR,Toronto Raptors,0041800216,2019-05-09,TOR @ PHI,L,240,35,81,0.432,9,36,0.25,22,29,0.759,9,25,34,25,9,4,12,24,101,-11,1
130,42018,1610612761,TOR,Toronto Raptors,0041800217,2019-05-12,TOR vs. PHI,W,240,34,89,0.382,7,30,0.233,17,19,0.895,16,33,49,15,10,4,10,22,92,2,1
135,42018,1610612761,TOR,Toronto Raptors,0041800301,2019-05-15,TOR @ MIL,L,240,34,92,0.37,15,42,0.357,17,20,0.85,8,38,46,17,9,4,12,21,100,-8,1
139,42018,1610612761,TOR,Toronto Raptors,0041800302,2019-05-17,TOR @ MIL,L,240,37,87,0.425,10,32,0.313,19,25,0.76,6,34,40,19,3,6,14,30,103,-22,1
142,42018,1610612761,TOR,Toronto Raptors,0041800303,2019-05-19,TOR vs. MIL,W,290,40,102,0.392,17,45,0.378,21,26,0.808,8,47,55,28,11,10,17,30,118,6,1
146,42018,1610612761,TOR,Toronto Raptors,0041800304,2019-05-21,TOR vs. MIL,W,240,41,87,0.471,14,41,0.341,24,27,0.889,10,34,44,32,9,5,11,23,120,18,1
149,42018,1610612761,TOR,Toronto Raptors,0041800305,2019-05-23,TOR @ MIL,W,240,31,84,0.369,18,43,0.419,25,31,0.806,10,35,45,19,6,4,6,16,105,6,1
150,42018,1610612761,TOR,Toronto Raptors,0041800306,2019-05-25,TOR vs. MIL,W,240,36,74,0.486,12,27,0.444,16,22,0.727,6,32,38,20,7,4,11,24,100,6,1
152,42018,1610612761,TOR,Toronto Raptors,0041800401,2019-05-30,TOR vs. GSW,W,240,39,77,0.506,13,33,0.394,27,32,0.844,7,29,36,25,6,6,10,26,118,9,1
155,42018,1610612761,TOR,Toronto Raptors,0041800402,2019-06-02,TOR vs. GSW,L,240,35,94,0.372,11,38,0.289,23,26,0.885,15,34,49,17,8,2,15,22,104,-5,1
156,42018,1610612761,TOR,Toronto Raptors,0041800403,2019-06-05,TOR @ GSW,W,240,43,82,0.524,17,38,0.447,20,21,0.952,5,35,40,30,9,10,16,22,123,14,1
159,42018,1610612761,TOR,Toronto Raptors,0041800404,2019-06-07,TOR @ GSW,W,240,36,86,0.419,10,32,0.313,23,24,0.958,7,32,39,22,12,4,11,21,105,13,1
161,42018,1610612761,TOR,Toronto Raptors,0041800405,2019-06-10,TOR vs. GSW,L,240,38,85,0.447,8,32,0.25,21,27,0.778,13,30,43,19,6,5,13,19,105,-1,1
163,42018,1610612761,TOR,Toronto Raptors,0041800406,2019-06-13,TOR @ GSW,W,240,39,82,0.476,13,33,0.394,23,29,0.793,11,28,39,25,8,2,12,23,114,4,1
