,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21,22018,1610612762,UTA,Utah Jazz,0021800011,2018-10-17,UTA @ SAC,W,240,41,79,0.519,13,27,0.481,28,38,0.737,5,39,44,21,8,4,17,19,123,6,1
38,22018,1610612762,UTA,Utah Jazz,0021800024,2018-10-19,UTA vs. GSW,L,240,40,89,0.449,19,46,0.413,24,29,0.828,10,28,38,24,11,4,17,19,123,-1,1
87,22018,1610612762,UTA,Utah Jazz,0021800045,2018-10-22,UTA vs. MEM,L,240,29,82,0.354,8,32,0.25,18,23,0.783,10,40,50,18,6,6,15,22,84,-8,1
112,22018,1610612762,UTA,Utah Jazz,0021800057,2018-10-24,UTA @ HOU,W,240,34,78,0.436,10,29,0.345,22,28,0.786,9,38,47,21,7,5,19,21,100,11,1
163,22018,1610612762,UTA,Utah Jazz,0021800075,2018-10-27,UTA @ NOP,W,240,46,88,0.523,10,32,0.313,30,37,0.811,6,37,43,32,7,7,13,26,132,21,1
169,22018,1610612762,UTA,Utah Jazz,0021800084,2018-10-28,UTA @ DAL,W,240,42,80,0.525,10,25,0.4,19,22,0.864,8,35,43,25,8,6,18,27,113,9,1
218,22018,1610612762,UTA,Utah Jazz,0021800107,2018-10-31,UTA @ MIN,L,240,47,97,0.485,13,30,0.433,18,30,0.6,20,28,48,25,9,5,14,22,125,-3,1
242,22018,1610612762,UTA,Utah Jazz,0021800122,2018-11-02,UTA vs. MEM,L,240,36,77,0.468,14,36,0.389,14,25,0.56,10,29,39,21,3,5,14,25,100,-10,1
260,22018,1610612762,UTA,Utah Jazz,0021800131,2018-11-03,UTA @ DEN,L,240,33,81,0.407,6,31,0.194,16,24,0.667,10,30,40,22,12,7,13,21,88,-15,1
289,22018,1610612762,UTA,Utah Jazz,0021800146,2018-11-05,UTA vs. TOR,L,240,38,86,0.442,8,31,0.258,27,41,0.659,12,28,40,29,10,4,12,19,111,-13,1
312,22018,1610612762,UTA,Utah Jazz,0021800160,2018-11-07,UTA vs. DAL,W,240,43,89,0.483,13,37,0.351,18,26,0.692,8,27,35,31,12,10,12,32,117,15,1
338,22018,1610612762,UTA,Utah Jazz,0021800172,2018-11-09,UTA vs. BOS,W,240,43,77,0.558,13,34,0.382,24,30,0.8,8,37,45,29,4,4,17,21,123,8,1
392,22018,1610612762,UTA,Utah Jazz,0021800194,2018-11-12,UTA @ MEM,W,240,32,82,0.39,9,32,0.281,23,30,0.767,13,36,49,19,7,6,15,25,96,8,1
415,22018,1610612762,UTA,Utah Jazz,0021800210,2018-11-14,UTA @ DAL,L,240,25,81,0.309,6,35,0.171,12,19,0.632,8,25,33,16,11,3,22,21,68,-50,1
431,22018,1610612762,UTA,Utah Jazz,0021800218,2018-11-16,UTA @ PHI,L,240,41,88,0.466,4,22,0.182,21,37,0.568,10,29,39,15,10,4,13,25,107,-6,1
453,22018,1610612762,UTA,Utah Jazz,0021800229,2018-11-17,UTA @ BOS,W,240,35,78,0.449,11,38,0.289,17,27,0.63,7,39,46,23,11,4,15,23,98,12,1
482,22018,1610612762,UTA,Utah Jazz,0021800241,2018-11-19,UTA @ IND,L,240,36,74,0.486,11,25,0.44,11,16,0.688,3,33,36,26,6,10,19,18,94,-27,1
516,22018,1610612762,UTA,Utah Jazz,0021800263,2018-11-21,UTA vs. SAC,L,240,38,88,0.432,12,39,0.308,22,31,0.71,12,34,46,21,7,7,10,21,110,-9,1
532,22018,1610612762,UTA,Utah Jazz,0021800278,2018-11-23,UTA @ LAL,L,240,33,85,0.388,4,23,0.174,13,17,0.765,7,34,41,22,12,3,19,21,83,-7,1
580,22018,1610612762,UTA,Utah Jazz,0021800292,2018-11-25,UTA @ SAC,W,240,49,92,0.533,10,30,0.333,25,33,0.758,13,36,49,30,11,5,19,26,133,21,1
592,22018,1610612762,UTA,Utah Jazz,0021800299,2018-11-26,UTA vs. IND,L,240,34,81,0.42,8,31,0.258,12,17,0.706,10,28,38,25,10,4,19,17,88,-33,1
612,22018,1610612762,UTA,Utah Jazz,0021800308,2018-11-28,UTA @ BKN,W,240,39,82,0.476,9,28,0.321,14,21,0.667,8,40,48,17,10,6,19,25,101,10,1
655,22018,1610612762,UTA,Utah Jazz,0021800320,2018-11-30,UTA @ CHA,W,240,44,81,0.543,18,40,0.45,13,18,0.722,6,35,41,32,5,5,14,13,119,8,1
678,22018,1610612762,UTA,Utah Jazz,0021800339,2018-12-02,UTA @ MIA,L,240,39,89,0.438,11,33,0.333,11,15,0.733,10,40,50,21,8,6,14,18,100,-2,1
702,22018,1610612762,UTA,Utah Jazz,0021800354,2018-12-04,UTA vs. SAS,W,240,51,84,0.607,20,33,0.606,17,20,0.85,5,37,42,38,12,5,18,20,139,34,1
733,22018,1610612762,UTA,Utah Jazz,0021800367,2018-12-06,UTA vs. HOU,W,240,45,89,0.506,8,32,0.25,20,27,0.741,12,35,47,26,16,4,12,24,118,27,1
773,22018,1610612762,UTA,Utah Jazz,0021800390,2018-12-09,UTA @ SAS,L,240,37,85,0.435,9,29,0.31,14,19,0.737,9,29,38,23,8,4,16,15,97,-13,1
801,22018,1610612762,UTA,Utah Jazz,0021800396,2018-12-10,UTA @ OKC,L,240,43,84,0.512,8,29,0.276,19,30,0.633,11,34,45,30,11,4,20,28,113,-9,1
815,22018,1610612762,UTA,Utah Jazz,0021800413,2018-12-12,UTA vs. MIA,W,240,40,76,0.526,16,32,0.5,15,21,0.714,7,45,52,29,6,4,17,19,111,27,1
861,22018,1610612762,UTA,Utah Jazz,0021800429,2018-12-15,UTA @ ORL,L,240,28,89,0.315,7,29,0.241,26,28,0.929,11,31,42,17,13,4,10,19,89,-7,1
893,22018,1610612762,UTA,Utah Jazz,0021800445,2018-12-17,UTA @ HOU,L,240,32,82,0.39,10,35,0.286,23,31,0.742,11,41,52,23,9,4,24,25,97,-5,1
920,22018,1610612762,UTA,Utah Jazz,0021800464,2018-12-19,UTA vs. GSW,W,240,37,93,0.398,16,42,0.381,18,22,0.818,10,42,52,30,7,6,16,16,108,5,1
948,22018,1610612762,UTA,Utah Jazz,0021800476,2018-12-21,UTA @ POR,W,240,47,85,0.553,16,31,0.516,10,17,0.588,6,36,42,35,7,6,15,21,120,30,1
966,22018,1610612762,UTA,Utah Jazz,0021800485,2018-12-22,UTA vs. OKC,L,240,42,93,0.452,11,34,0.324,11,18,0.611,10,34,44,35,12,4,13,19,106,-1,1
1001,22018,1610612762,UTA,Utah Jazz,0021800501,2018-12-25,UTA vs. POR,W,240,46,83,0.554,13,29,0.448,12,23,0.522,9,40,49,20,7,10,17,19,117,21,1
1026,22018,1610612762,UTA,Utah Jazz,0021800515,2018-12-27,UTA vs. PHI,L,240,33,86,0.384,11,35,0.314,20,27,0.741,12,32,44,19,11,1,16,19,97,-17,1
1056,22018,1610612762,UTA,Utah Jazz,0021800532,2018-12-29,UTA vs. NYK,W,240,51,93,0.548,16,36,0.444,11,14,0.786,15,45,60,30,8,6,17,27,129,32,1
1105,22018,1610612762,UTA,Utah Jazz,0021800549,2019-01-01,UTA @ TOR,L,240,42,97,0.433,9,32,0.281,23,29,0.793,12,31,43,23,6,4,4,27,116,-6,1
1139,22018,1610612762,UTA,Utah Jazz,0021800567,2019-01-04,UTA @ CLE,W,240,42,82,0.512,14,35,0.4,19,22,0.864,8,39,47,28,6,9,11,19,117,26,1
1157,22018,1610612762,UTA,Utah Jazz,0021800577,2019-01-05,UTA @ DET,W,240,39,82,0.476,7,21,0.333,25,32,0.781,7,35,42,24,12,6,12,23,110,5,1
1188,22018,1610612762,UTA,Utah Jazz,0021800594,2019-01-07,UTA @ MIL,L,240,36,86,0.419,14,37,0.378,16,23,0.696,11,35,46,20,6,6,15,21,102,-12,1
1223,22018,1610612762,UTA,Utah Jazz,0021800614,2019-01-09,UTA vs. ORL,W,240,41,84,0.488,12,33,0.364,12,14,0.857,4,40,44,24,5,3,13,20,106,13,1
1250,22018,1610612762,UTA,Utah Jazz,0021800627,2019-01-11,UTA vs. LAL,W,240,38,96,0.396,15,42,0.357,22,32,0.688,15,50,65,24,9,9,16,20,113,18,1
1266,22018,1610612762,UTA,Utah Jazz,0021800637,2019-01-12,UTA vs. CHI,W,240,38,88,0.432,16,45,0.356,18,25,0.72,10,42,52,23,6,11,13,18,110,8,1
1296,22018,1610612762,UTA,Utah Jazz,0021800648,2019-01-14,UTA vs. DET,W,240,31,80,0.388,12,37,0.324,26,36,0.722,11,44,55,20,5,3,18,18,100,6,1
1316,22018,1610612762,UTA,Utah Jazz,0021800664,2019-01-16,UTA @ LAC,W,240,44,86,0.512,11,33,0.333,30,37,0.811,8,40,48,27,9,7,13,15,129,20,1
1351,22018,1610612762,UTA,Utah Jazz,0021800675,2019-01-18,UTA vs. CLE,W,240,44,85,0.518,13,37,0.351,14,15,0.933,8,40,48,33,6,5,19,22,115,16,1
1395,22018,1610612762,UTA,Utah Jazz,0021800700,2019-01-21,UTA vs. POR,L,240,36,91,0.396,7,33,0.212,25,31,0.806,13,35,48,21,5,8,15,19,104,-5,1
1423,22018,1610612762,UTA,Utah Jazz,0021800715,2019-01-23,UTA vs. DEN,W,240,38,88,0.432,19,46,0.413,19,27,0.704,12,28,40,28,7,7,13,20,114,6,1
1449,22018,1610612762,UTA,Utah Jazz,0021800729,2019-01-25,UTA vs. MIN,W,240,37,94,0.394,13,40,0.325,19,25,0.76,16,31,47,25,9,8,11,19,106,4,1
1483,22018,1610612762,UTA,Utah Jazz,0021800740,2019-01-27,UTA @ MIN,W,240,46,86,0.535,15,39,0.385,18,25,0.72,6,30,36,30,8,5,9,17,125,14,1
1516,22018,1610612762,UTA,Utah Jazz,0021800763,2019-01-30,UTA @ POR,L,240,38,85,0.447,11,34,0.324,18,21,0.857,8,28,36,24,9,4,17,22,105,-27,1
1543,22018,1610612762,UTA,Utah Jazz,0021800773,2019-02-01,UTA vs. ATL,W,240,46,87,0.529,12,35,0.343,24,30,0.8,11,40,51,31,4,6,15,22,128,16,1
1563,22018,1610612762,UTA,Utah Jazz,0021800786,2019-02-02,UTA vs. HOU,L,240,31,86,0.36,11,41,0.268,25,36,0.694,14,37,51,19,8,9,23,21,98,-27,1
1612,22018,1610612762,UTA,Utah Jazz,0021800808,2019-02-06,UTA vs. PHX,W,240,42,84,0.5,11,28,0.393,21,32,0.656,12,31,43,29,13,5,16,18,116,28,1
1656,22018,1610612762,UTA,Utah Jazz,0021800825,2019-02-09,UTA vs. SAS,W,240,47,90,0.522,16,41,0.39,15,20,0.75,9,43,52,29,7,3,11,17,125,20,1
1696,22018,1610612762,UTA,Utah Jazz,0021800852,2019-02-12,UTA @ GSW,L,240,41,87,0.471,10,26,0.385,16,21,0.762,7,42,49,23,3,4,16,21,108,-7,1
1760,22018,1610612762,UTA,Utah Jazz,0021800881,2019-02-22,UTA @ OKC,L,290,52,105,0.495,18,40,0.45,25,31,0.806,15,46,61,33,8,10,25,25,147,-1,1
1773,22018,1610612762,UTA,Utah Jazz,0021800893,2019-02-23,UTA vs. DAL,W,240,41,85,0.482,14,38,0.368,29,33,0.879,8,45,53,28,2,9,7,21,125,16,1
1831,22018,1610612762,UTA,Utah Jazz,0021800919,2019-02-27,UTA vs. LAC,W,240,38,92,0.413,11,34,0.324,24,32,0.75,14,42,56,22,9,12,16,23,111,6,1
1851,22018,1610612762,UTA,Utah Jazz,0021800926,2019-02-28,UTA @ DEN,W,240,37,84,0.44,16,43,0.372,21,33,0.636,10,34,44,25,6,6,11,22,111,7,1
1879,22018,1610612762,UTA,Utah Jazz,0021800943,2019-03-02,UTA vs. MIL,W,240,44,96,0.458,12,29,0.414,15,26,0.577,16,37,53,22,13,7,13,23,115,4,1
1913,22018,1610612762,UTA,Utah Jazz,0021800956,2019-03-04,UTA vs. NOP,L,240,43,92,0.467,14,38,0.368,12,14,0.857,13,34,47,35,3,6,18,17,112,-3,1
1946,22018,1610612762,UTA,Utah Jazz,0021800971,2019-03-06,UTA @ NOP,W,240,46,88,0.523,8,30,0.267,14,22,0.636,9,36,45,31,9,8,20,20,114,10,1
1967,22018,1610612762,UTA,Utah Jazz,0021800982,2019-03-08,UTA @ MEM,L,240,35,82,0.427,18,48,0.375,16,24,0.667,10,31,41,21,8,10,13,20,104,-10,1
2009,22018,1610612762,UTA,Utah Jazz,0021801005,2019-03-11,UTA vs. OKC,L,240,32,88,0.364,13,43,0.302,12,17,0.706,11,37,48,22,12,6,14,25,89,-9,1
2027,22018,1610612762,UTA,Utah Jazz,0021801019,2019-03-13,UTA @ PHX,W,240,42,90,0.467,12,33,0.364,18,25,0.72,12,40,52,30,8,4,12,22,114,17,1
2043,22018,1610612762,UTA,Utah Jazz,0021801024,2019-03-14,UTA vs. MIN,W,240,44,89,0.494,13,38,0.342,19,27,0.704,13,36,49,30,7,8,12,20,120,20,1
2071,22018,1610612762,UTA,Utah Jazz,0021801041,2019-03-16,UTA vs. BKN,W,240,39,91,0.429,13,36,0.361,23,31,0.742,15,50,65,24,3,7,15,21,114,16,1
2110,22018,1610612762,UTA,Utah Jazz,0021801051,2019-03-18,UTA @ WAS,W,240,49,91,0.538,14,37,0.378,4,6,0.667,7,34,41,35,10,8,17,21,116,21,1
2134,22018,1610612762,UTA,Utah Jazz,0021801068,2019-03-20,UTA @ NYK,W,240,48,85,0.565,20,42,0.476,21,25,0.84,7,33,40,38,7,3,10,18,137,21,1
2150,22018,1610612762,UTA,Utah Jazz,0021801076,2019-03-21,UTA @ ATL,L,240,43,94,0.457,10,32,0.313,18,26,0.692,14,35,49,25,12,3,15,24,114,-3,1
2174,22018,1610612762,UTA,Utah Jazz,0021801090,2019-03-23,UTA @ CHI,W,240,46,95,0.484,11,32,0.344,11,15,0.733,12,46,58,27,7,8,12,17,114,31,1
2209,22018,1610612762,UTA,Utah Jazz,0021801105,2019-03-25,UTA vs. PHX,W,240,48,86,0.558,10,21,0.476,19,23,0.826,10,33,43,31,11,4,14,23,125,33,1
2237,22018,1610612762,UTA,Utah Jazz,0021801121,2019-03-27,UTA vs. LAL,W,240,41,83,0.494,10,32,0.313,23,36,0.639,8,46,54,33,4,5,11,18,115,15,1
2262,22018,1610612762,UTA,Utah Jazz,0021801134,2019-03-29,UTA vs. WAS,W,240,48,87,0.552,14,32,0.438,18,18,1.0,8,36,44,26,7,7,18,22,128,4,1
2310,22018,1610612762,UTA,Utah Jazz,0021801159,2019-04-01,UTA vs. CHA,W,240,38,79,0.481,15,35,0.429,20,26,0.769,5,42,47,30,7,3,18,25,111,9,1
2329,22018,1610612762,UTA,Utah Jazz,0021801174,2019-04-03,UTA @ PHX,W,240,44,77,0.571,16,32,0.5,14,18,0.778,7,38,45,30,2,9,20,16,118,21,1
2369,22018,1610612762,UTA,Utah Jazz,0021801188,2019-04-05,UTA vs. SAC,W,240,44,85,0.518,15,33,0.455,16,25,0.64,7,39,46,30,9,6,16,26,119,21,1
2391,22018,1610612762,UTA,Utah Jazz,0021801208,2019-04-07,UTA @ LAL,L,240,38,84,0.452,13,42,0.31,20,28,0.714,10,25,35,25,11,4,11,17,109,-4,1
2427,22018,1610612762,UTA,Utah Jazz,0021801217,2019-04-09,UTA vs. DEN,W,240,41,78,0.526,10,27,0.37,26,34,0.765,9,39,48,24,5,5,15,21,118,10,1
2447,22018,1610612762,UTA,Utah Jazz,0021801229,2019-04-10,UTA @ LAC,L,265,47,106,0.443,14,35,0.4,29,33,0.879,17,40,57,31,8,11,17,24,137,-6,1
