,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
10,1628378,11,Donovan Mitchell,UTA,77,2598,661,1530,0.432,188,519,0.362,319,396,0.806,59,257,316,322,106,31,218,208,1829,1440,1.48,0.49
48,203497,49,Rudy Gobert,UTA,81,2577,476,712,0.669,0,0,0.0,332,522,0.636,309,732,1041,161,66,187,130,231,1284,2183,1.24,0.51
79,204060,80,Joe Ingles,UTA,82,2568,359,802,0.448,189,483,0.391,87,123,0.707,35,295,330,469,98,20,193,180,994,1239,2.43,0.51
88,203109,89,Jae Crowder,UTA,80,2166,318,797,0.399,173,522,0.331,142,197,0.721,60,324,384,133,64,31,85,170,951,944,1.57,0.75
103,202324,104,Derrick Favors,UTA,76,1766,363,619,0.586,17,78,0.218,154,228,0.675,207,353,560,89,56,106,84,163,897,1294,1.06,0.67
110,201937,111,Ricky Rubio,UTA,68,1899,295,730,0.404,79,254,0.311,195,228,0.855,33,210,243,416,91,10,180,180,864,976,2.31,0.51
181,2594,182,Kyle Korver,UTA,70,1334,201,483,0.416,138,348,0.397,60,73,0.822,9,153,162,81,25,12,59,106,600,526,1.37,0.42
257,1626220,258,Royce O'Neale,UTA,82,1671,163,343,0.475,68,176,0.386,32,42,0.762,22,263,285,124,54,24,70,172,426,653,1.77,0.77
303,203957,304,Dante Exum,UTA,42,664,101,241,0.419,18,62,0.29,68,86,0.791,16,52,68,110,14,5,52,69,288,275,2.12,0.27
327,1627777,328,Georges Niang,UTA,59,516,86,181,0.475,43,105,0.41,20,24,0.833,11,76,87,35,10,6,23,57,235,251,1.52,0.44
340,1628960,341,Grayson Allen,UTA,38,416,67,178,0.376,32,99,0.323,45,60,0.75,3,20,23,25,6,6,33,47,211,112,0.76,0.18
347,203526,348,Raul Neto,UTA,37,474,74,161,0.46,20,60,0.333,28,33,0.848,6,56,62,93,14,4,35,49,196,242,2.66,0.4
353,200757,352,Thabo Sefolosha,UTA,50,609,71,149,0.477,34,78,0.436,14,22,0.636,8,115,123,27,43,5,25,41,190,277,1.08,1.72
394,202327,395,Ekpe Udoh,UTA,51,320,50,72,0.694,0,0,0.0,19,30,0.633,27,63,90,28,10,31,13,36,119,232,2.15,0.77
484,1628396,483,Tony Bradley,UTA,3,36,8,16,0.5,0,0,0.0,1,2,0.5,9,6,15,1,2,2,3,6,17,25,0.33,0.67
485,1628513,486,Naz Mitrou-Long,UTA,14,84,6,20,0.3,2,11,0.182,2,2,1.0,1,5,6,15,1,1,8,10,16,17,1.88,0.13
499,1628463,498,Tyler Cavanaugh,UTA,11,40,3,10,0.3,1,5,0.2,2,2,1.0,3,5,8,1,0,0,1,3,9,10,1.0,0.0
