,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
31,22018,1610612764,WAS,Washington Wizards,0021800015,2018-10-18,WAS vs. MIA,L,240,38,81,0.469,7,26,0.269,29,39,0.744,7,33,40,19,7,15,14,31,112,-1,1
69,22018,1610612764,WAS,Washington Wizards,0021800027,2018-10-20,WAS vs. TOR,L,240,37,89,0.416,13,39,0.333,26,32,0.813,9,28,37,20,11,9,11,27,113,-4,1
85,22018,1610612764,WAS,Washington Wizards,0021800046,2018-10-22,WAS @ POR,W,265,46,110,0.418,15,37,0.405,18,26,0.692,12,42,54,23,6,7,10,27,125,1,1
103,22018,1610612764,WAS,Washington Wizards,0021800062,2018-10-24,WAS @ GSW,L,240,42,93,0.452,12,42,0.286,26,28,0.929,7,27,34,22,7,1,12,24,122,-22,1
137,22018,1610612764,WAS,Washington Wizards,0021800073,2018-10-26,WAS @ SAC,L,240,40,86,0.465,14,42,0.333,18,23,0.783,5,37,42,22,8,7,21,27,112,-4,1
167,22018,1610612764,WAS,Washington Wizards,0021800086,2018-10-28,WAS @ LAC,L,240,38,97,0.392,5,27,0.185,23,28,0.821,14,31,45,18,7,3,14,16,104,-32,1
203,22018,1610612764,WAS,Washington Wizards,0021800102,2018-10-30,WAS @ MEM,L,240,32,74,0.432,14,35,0.4,17,20,0.85,5,32,37,24,9,7,20,22,95,-12,1
247,22018,1610612764,WAS,Washington Wizards,0021800119,2018-11-02,WAS vs. OKC,L,240,44,86,0.512,9,30,0.3,14,18,0.778,6,24,30,27,6,4,19,21,111,-23,1
276,22018,1610612764,WAS,Washington Wizards,0021800135,2018-11-04,WAS vs. NYK,W,240,36,83,0.434,6,26,0.231,30,39,0.769,15,32,47,21,12,11,13,18,108,13,1
300,22018,1610612764,WAS,Washington Wizards,0021800150,2018-11-06,WAS @ DAL,L,240,37,87,0.425,11,35,0.314,15,20,0.75,5,27,32,27,8,6,10,24,100,-19,1
334,22018,1610612764,WAS,Washington Wizards,0021800167,2018-11-09,WAS @ ORL,L,240,42,82,0.512,11,27,0.407,13,19,0.684,6,29,35,24,8,3,19,18,108,-9,1
355,22018,1610612764,WAS,Washington Wizards,0021800177,2018-11-10,WAS @ MIA,W,240,40,83,0.482,8,22,0.364,28,38,0.737,16,32,48,14,8,5,16,25,116,6,1
388,22018,1610612764,WAS,Washington Wizards,0021800190,2018-11-12,WAS vs. ORL,W,240,40,79,0.506,13,33,0.394,24,33,0.727,7,34,41,24,8,7,12,17,117,8,1
418,22018,1610612764,WAS,Washington Wizards,0021800203,2018-11-14,WAS vs. CLE,W,240,44,92,0.478,13,40,0.325,18,26,0.692,12,32,44,30,17,3,18,25,119,24,1
441,22018,1610612764,WAS,Washington Wizards,0021800219,2018-11-16,WAS vs. BKN,L,240,37,87,0.425,3,18,0.167,27,34,0.794,12,35,47,18,5,4,13,23,104,-11,1
474,22018,1610612764,WAS,Washington Wizards,0021800237,2018-11-18,WAS vs. POR,L,240,43,96,0.448,13,32,0.406,10,21,0.476,9,34,43,28,4,9,12,30,109,-10,1
500,22018,1610612764,WAS,Washington Wizards,0021800249,2018-11-20,WAS vs. LAC,W,240,40,93,0.43,13,39,0.333,32,39,0.821,11,33,44,27,11,8,7,20,125,7,1
553,22018,1610612764,WAS,Washington Wizards,0021800271,2018-11-23,WAS @ TOR,L,240,40,100,0.4,9,46,0.196,18,19,0.947,14,30,44,28,8,7,13,16,107,-18,1
566,22018,1610612764,WAS,Washington Wizards,0021800280,2018-11-24,WAS vs. NOP,W,240,51,90,0.567,10,29,0.345,12,23,0.522,5,40,45,30,12,9,15,16,124,10,1
596,22018,1610612764,WAS,Washington Wizards,0021800296,2018-11-26,WAS vs. HOU,W,265,50,89,0.562,11,29,0.379,24,32,0.75,9,29,38,29,7,7,13,29,135,4,1
