,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
3,203078,4,Bradley Beal,WAS,82,3028,764,1609,0.475,209,596,0.351,362,448,0.808,89,322,411,448,121,58,224,226,2099,1982,2.0,0.54
91,201145,92,Jeff Green,WAS,77,2097,326,687,0.475,111,320,0.347,183,206,0.888,57,252,309,137,43,39,101,160,946,989,1.36,0.43
94,203953,95,Jabari Parker,WAS,64,1724,369,749,0.493,61,195,0.313,131,184,0.712,79,342,421,152,46,30,151,145,930,995,1.01,0.31
111,2772,112,Trevor Ariza,WAS,69,2349,294,736,0.399,145,434,0.334,130,164,0.793,50,321,371,252,91,21,106,130,863,1016,2.38,0.86
134,1628418,134,Thomas Bryant,WAS,72,1496,309,502,0.616,33,99,0.333,107,137,0.781,113,341,454,92,25,67,60,126,758,1113,1.53,0.42
147,1626171,148,Bobby Portis,WAS,50,1298,279,628,0.444,75,191,0.393,77,97,0.794,109,294,403,72,35,20,74,145,710,797,0.97,0.47
148,203107,149,Tomas Satoransky,WAS,80,2164,257,530,0.485,64,162,0.395,131,160,0.819,82,197,279,399,82,13,120,172,709,1060,3.33,0.68
166,202322,166,John Wall,WAS,32,1104,245,552,0.444,51,169,0.302,122,175,0.697,15,101,116,279,49,29,121,71,663,655,2.31,0.41
305,1626155,305,Sam Dekker,WAS,47,789,120,256,0.469,19,62,0.306,28,46,0.609,53,95,148,46,38,7,24,47,287,348,1.92,1.58
314,1626184,315,Chasson Randle,WAS,49,743,91,217,0.419,46,115,0.4,43,62,0.694,10,46,56,97,25,3,43,91,271,264,2.26,0.58
321,1628972,322,Troy Brown Jr.,WAS,52,730,97,234,0.415,22,69,0.319,32,47,0.681,35,110,145,80,21,5,30,56,248,317,2.67,0.7
367,203895,368,Jordan McRae,WAS,27,333,61,130,0.469,10,35,0.286,28,35,0.8,6,34,40,30,13,7,15,26,160,159,2.0,0.87
382,101133,383,Ian Mahinmi,WAS,34,498,47,104,0.452,3,16,0.188,42,61,0.689,48,80,128,25,25,16,21,84,139,236,1.19,1.19
392,202325,393,Wesley Johnson,WAS,38,534,45,128,0.352,25,76,0.329,13,19,0.684,12,60,72,23,14,12,18,63,128,142,1.28,0.78
396,2730,397,Dwight Howard,WAS,9,230,43,69,0.623,0,0,0.0,29,48,0.604,24,59,83,4,7,4,16,34,115,152,0.25,0.44
440,1628421,441,Devin Robinson,WAS,7,95,19,32,0.594,0,2,0.0,9,14,0.643,6,14,20,6,4,6,2,11,47,63,3.0,2.0
488,1627758,489,Ron Baker,WAS,15,152,4,20,0.2,1,13,0.077,5,6,0.833,1,10,11,15,6,1,5,18,14,25,3.0,1.2
492,1627780,493,Gary Payton II,WAS,3,16,5,8,0.625,1,2,0.5,0,0,0.0,1,1,2,4,3,1,1,2,11,17,4.0,3.0
526,1627855,521,Okaro White,WAS,3,6,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0.0,0.0
