,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,ODDS_A,ODDS_OPP,WINNER
0,IND,1610612754,2021-01-02,102,106,0.405,0.38,0.833,32,9,4,0.8,0.75,1538.6416229048498,1486.5252711521157,1,22.41630158526783,1.22,4.52,0
1,NYK,1610612752,2021-01-02,106,102,0.506,0.444,0.769,51,16,3,0.4,0.3333333333333333,1486.5252711521157,1538.6416229048498,-1,14.018909611633962,4.52,1.22,1
2,BOS,1610612738,2021-01-03,122,120,0.563,0.455,0.692,41,18,5,0.5,0.3333333333333333,1498.5569654354806,1468.5303197576766,-1,20.168088085370943,1.28,3.83,1
3,DET,1610612765,2021-01-03,120,122,0.477,0.444,0.88,33,10,7,0.2,0.3333333333333333,1468.5303197576766,1498.5569654354806,1,14.723063611409993,3.83,1.28,0
4,CHA,1610612766,2021-01-04,101,118,0.419,0.333,0.727,47,17,4,0.3333333333333333,0.3333333333333333,1482.6740734251346,1543.5224346007662,-2,18.05679465032101,3.86,1.28,0
5,PHI,1610612755,2021-01-04,118,101,0.484,0.344,0.652,55,10,5,0.8333333333333334,1.0,1543.5224346007662,1482.6740734251346,3,23.436101212695856,1.28,3.86,1
6,DEN,1610612743,2021-01-05,123,116,0.519,0.32,0.733,42,16,2,0.3333333333333333,0.25,1493.6275542027506,1443.18362878997,1,16.32882000064789,1.16,5.67,1
7,MIN,1610612750,2021-01-05,116,123,0.462,0.324,0.778,42,14,4,0.3333333333333333,0.3333333333333333,1443.18362878997,1493.6275542027506,-4,15.270463021906629,5.67,1.16,0
8,MEM,1610612763,2021-01-05,92,94,0.414,0.385,0.769,38,13,4,0.3333333333333333,0.0,1476.905311008871,1554.102760150039,-1,15.251975535557827,4.53,1.22,0
9,LAL,1610612747,2021-01-05,94,92,0.437,0.29,0.818,52,17,8,0.7142857142857143,1.0,1554.102760150039,1476.905311008871,3,19.24176540722226,1.22,4.53,1
10,WAS,1610612764,2021-01-06,136,141,0.5,0.432,0.743,35,13,2,0.2857142857142857,0.6666666666666666,1482.6709430341048,1555.0684774079548,2,22.205768117921423,3.18,1.38,0
11,PHI,1610612755,2021-01-06,141,136,0.617,0.621,0.697,35,18,6,0.8571428571428571,1.0,1555.0684774079548,1482.6709430341048,4,22.390864242955494,1.38,3.18,1
12,CLE,1610612739,2021-01-06,94,105,0.424,0.154,0.692,45,10,4,0.5714285714285714,0.5,1499.263683821675,1520.3748641846573,-1,16.62549213144014,2.74,1.48,0
13,ORL,1610612753,2021-01-06,105,94,0.494,0.414,0.722,43,16,4,0.7142857142857143,0.5,1520.3748641846573,1499.263683821675,1,16.530401044302618,1.48,2.74,1
14,DET,1610612765,2021-01-06,115,130,0.392,0.317,0.867,47,9,3,0.14285714285714285,0.0,1456.464460980192,1545.5953767091787,-2,16.428694040817934,6.52,1.13,0
15,MIL,1610612749,2021-01-06,130,115,0.544,0.442,0.619,47,14,4,0.5714285714285714,1.0,1545.5953767091787,1456.464460980192,2,24.79986358927091,1.13,6.52,1
16,NOP,1610612740,2021-01-06,110,111,0.494,0.182,0.783,52,15,0,0.5714285714285714,0.6666666666666666,1512.13835179602,1457.5793528267052,-1,18.682820014819992,1.29,3.79,0
17,OKC,1610612760,2021-01-06,111,110,0.46,0.413,0.75,38,14,5,0.3333333333333333,0.6666666666666666,1457.5793528267052,1512.13835179602,-1,17.65694327474872,3.79,1.29,1
18,SAS,1610612759,2021-01-07,118,109,0.467,0.457,0.941,40,8,3,0.42857142857142855,0.6666666666666666,1483.7359056804228,1557.6587380533863,1,17.47498914550989,4.23,1.25,1
19,LAL,1610612747,2021-01-07,109,118,0.5,0.333,0.619,48,13,4,0.75,0.5,1557.6587380533863,1483.7359056804228,4,18.79503630553747,1.25,4.23,0
20,GSW,1610612744,2021-01-08,115,105,0.488,0.488,0.833,38,16,3,0.5,0.5,1484.4345316515848,1520.0377110109239,-1,16.131514122084802,2.78,1.47,1
21,LAC,1610612746,2021-01-08,105,115,0.482,0.452,0.846,37,19,5,0.6666666666666666,0.8,1520.0377110109239,1484.4345316515848,1,20.788599826600155,1.47,2.78,0
22,MEM,1610612763,2021-01-08,115,110,0.459,0.406,0.857,46,14,6,0.25,0.0,1467.3864381123124,1550.1142884000512,-3,12.692731273258865,1.96,1.89,1
23,BKN,1610612751,2021-01-08,110,115,0.469,0.452,0.952,42,21,4,0.5555555555555556,0.5,1550.1142884000512,1467.3864381123124,2,18.325310374127938,1.89,1.96,0
24,ATL,1610612737,2021-01-09,105,113,0.382,0.311,0.821,47,14,4,0.5,0.75,1515.2818583292205,1492.0561715247902,-3,20.188841984449837,1.52,2.64,0
25,CHA,1610612766,2021-01-09,113,105,0.519,0.455,0.75,41,15,7,0.4444444444444444,0.3333333333333333,1492.0561715247902,1515.2818583292205,2,18.371209583669497,2.64,1.52,1
26,MIN,1610612750,2021-01-10,96,88,0.42,0.346,0.826,52,14,3,0.2222222222222222,0.25,1419.1049615553113,1500.4392794071885,-7,15.813360564207265,2.36,1.63,1
27,SAS,1610612759,2021-01-10,88,96,0.383,0.267,0.571,45,10,5,0.5555555555555556,0.8,1500.4392794071885,1419.1049615553113,3,15.795233185791478,1.63,2.36,0
28,MEM,1610612763,2021-01-11,101,91,0.513,0.25,0.762,40,15,6,0.3333333333333333,0.6666666666666666,1476.683839593666,1486.3158550341325,1,16.29533397477354,1.75,2.14,1
29,CLE,1610612739,2021-01-11,91,101,0.451,0.423,0.429,40,21,7,0.5,0.6666666666666666,1486.3158550341325,1476.683839593666,-1,13.31658372224437,2.14,1.75,0
30,LAL,1610612747,2021-01-12,117,100,0.5,0.438,0.704,55,21,12,0.7272727272727273,1.0,1562.0035722096263,1498.7242023740598,2,21.232817931642096,1.53,2.61,1
31,HOU,1610612745,2021-01-12,100,117,0.392,0.3,0.75,42,15,5,0.375,0.6,1498.7242023740598,1562.0035722096263,-1,20.39518808133548,2.61,1.53,0
32,DET,1610612765,2021-01-13,101,110,0.391,0.4,0.682,47,16,3,0.2,0.3333333333333333,1448.2479489737075,1562.084030453713,-1,17.719989104133735,5.3,1.18,0
33,MIL,1610612749,2021-01-13,110,101,0.482,0.442,0.643,48,14,9,0.6363636363636364,0.4,1562.084030453713,1448.2479489737075,2,23.608805619416902,1.18,5.3,1
34,SAC,1610612758,2021-01-13,126,132,0.524,0.5,0.731,42,13,2,0.45454545454545453,0.5714285714285714,1448.040279991278,1511.9526608079836,1,19.174045297664193,2.67,1.51,0
35,POR,1610612757,2021-01-13,132,126,0.489,0.479,0.778,38,8,8,0.6,0.6,1511.9526608079836,1448.040279991278,3,19.079669863992002,1.51,2.67,1
36,CHA,1610612766,2021-01-13,93,104,0.38,0.263,0.5,53,14,7,0.5454545454545454,0.6,1517.6025953697863,1526.912323780112,4,17.46175362705347,2.26,1.69,0
37,DAL,1610612742,2021-01-13,104,93,0.417,0.326,0.563,54,10,12,0.5555555555555556,0.5,1526.912323780112,1517.6025953697863,3,20.290423830933502,1.69,2.26,1
38,MIA,1610612748,2021-01-14,108,125,0.494,0.353,0.615,41,20,1,0.4444444444444444,0.25,1494.6830562072541,1521.4076218878793,-1,15.685967650715178,3.95,1.27,0
39,PHI,1610612755,2021-01-14,125,108,0.537,0.459,0.833,35,18,3,0.6666666666666666,0.8571428571428571,1521.4076218878793,1494.6830562072541,1,17.337074332056332,1.27,3.95,1
40,CLE,1610612739,2021-01-15,106,103,0.456,0.333,0.735,48,16,6,0.4166666666666667,0.4,1456.6887673234519,1459.075058666393,-3,12.920458937785886,2.13,1.76,1
41,NYK,1610612752,2021-01-15,103,106,0.488,0.36,0.875,39,13,10,0.4166666666666667,0.5,1459.075058666393,1456.6887673234519,-4,14.980735404853204,1.76,2.13,0
42,SAS,1610612759,2021-01-16,103,91,0.4,0.208,0.783,58,12,7,0.5,0.2,1492.3952179279356,1493.8930696087539,-1,17.798030639514703,1.34,3.39,1
43,HOU,1610612745,2021-01-16,91,103,0.369,0.375,0.63,51,23,9,0.4,0.25,1493.8930696087539,1492.3952179279356,1,17.368708601290432,3.39,1.34,0
44,CHA,1610612766,2021-01-16,113,116,0.437,0.417,0.759,48,15,5,0.46153846153846156,0.42857142857142855,1500.7153661190835,1481.8839945851205,-2,17.406314686519792,3.21,1.38,0
45,TOR,1610612761,2021-01-16,116,113,0.419,0.429,0.885,43,15,8,0.2727272727272727,0.5,1481.8839945851205,1500.7153661190835,1,20.916969832549306,1.38,3.21,1
46,CHI,1610612741,2021-01-17,117,101,0.506,0.28,0.727,47,14,6,0.3333333333333333,0.375,1459.3209802708022,1532.5724802772834,-4,19.3672207731871,3.23,1.37,1
47,DAL,1610612742,2021-01-17,101,117,0.441,0.258,0.579,47,17,2,0.5454545454545454,0.6666666666666666,1532.5724802772834,1459.3209802708022,-1,16.175723473007665,1.37,3.23,0
48,MIA,1610612748,2021-01-18,113,107,0.573,0.4,0.789,36,18,6,0.36363636363636365,0.5,1462.6266500037739,1460.9657978347595,-3,11.90225824587678,1.42,2.99,1
49,DET,1610612765,2021-01-18,107,113,0.463,0.351,0.75,32,18,3,0.25,0.2,1460.9657978347595,1462.6266500037739,1,19.268677741743677,2.99,1.42,0
50,SAC,1610612758,2021-01-20,96,115,0.453,0.464,0.417,39,18,4,0.35714285714285715,0.25,1417.3033828740683,1563.244496158081,-3,19.527040634109778,5.79,1.16,0
51,LAC,1610612746,2021-01-20,115,96,0.477,0.457,0.944,48,17,6,0.7142857142857143,0.7142857142857143,1563.244496158081,1417.3033828740683,4,21.790859667756177,1.16,5.79,1
52,DET,1610612765,2021-01-20,115,123,0.454,0.323,0.895,42,13,3,0.23076923076923078,0.16666666666666666,1453.280245916413,1504.6764418134208,-1,19.487628451408394,2.57,1.55,0
53,ATL,1610612737,2021-01-20,123,115,0.44,0.391,0.684,63,14,10,0.46153846153846156,0.5,1504.6764418134208,1453.280245916413,1,17.720111809593007,1.55,2.57,1
54,NOP,1610612740,2021-01-21,118,129,0.494,0.44,0.767,41,18,2,0.38461538461538464,0.375,1475.7637718433848,1567.1775945509576,-1,18.845207272818893,3.32,1.36,0
55,UTA,1610612762,2021-01-21,129,118,0.5,0.436,0.96,39,15,8,0.7142857142857143,0.6,1567.1775945509576,1475.7637718433848,6,18.75534881631416,1.36,3.32,1
56,PHI,1610612755,2021-01-22,122,110,0.556,0.429,0.833,45,20,7,0.6666666666666666,0.8888888888888888,1537.6766702266737,1504.8698528722061,1,22.87023775378574,1.53,2.63,1
57,BOS,1610612738,2021-01-22,110,122,0.456,0.4,0.8,32,13,5,0.6153846153846154,0.5714285714285714,1504.8698528722061,1537.6766702266737,-2,17.623260548727732,2.63,1.53,0
58,PHX,1610612756,2021-01-22,126,130,0.5,0.386,1.0,45,16,4,0.6153846153846154,0.75,1524.0483954867987,1533.5723946797796,1,19.013423118718887,1.88,1.97,0
59,DEN,1610612743,2021-01-22,130,126,0.515,0.231,0.947,43,9,1,0.5,0.6,1533.5723946797796,1524.0483954867987,1,20.50787493008849,1.97,1.88,1
60,BKN,1610612751,2021-01-22,113,125,0.483,0.326,0.882,29,11,8,0.5625,0.4,1535.3635702285717,1477.9829485680214,-1,21.541762747624418,1.38,3.19,0
61,CLE,1610612739,2021-01-22,125,113,0.517,0.32,0.844,50,15,3,0.5,0.5714285714285714,1477.9829485680214,1535.3635702285717,2,15.904295848583814,3.19,1.38,1
62,ATL,1610612737,2021-01-22,116,98,0.458,0.429,0.833,55,17,12,0.5,0.42857142857142855,1512.1164505683425,1410.3603801228096,2,20.514718562155878,1.41,3.03,1
63,MIN,1610612750,2021-01-22,98,116,0.43,0.25,0.833,40,13,8,0.23076923076923078,0.2857142857142857,1410.3603801228096,1512.1164505683425,-3,20.613873138226836,3.03,1.41,0
64,MIA,1610612748,2021-01-22,81,101,0.429,0.226,0.8,32,19,4,0.46153846153846156,0.3333333333333333,1481.423420840723,1496.6327992704937,2,16.242445899715896,2.16,1.74,0
65,TOR,1610612761,2021-01-22,101,81,0.464,0.425,0.667,45,22,3,0.35714285714285715,0.5714285714285714,1496.6327992704937,1481.423420840723,-1,14.555704942055263,1.74,2.16,1
66,LAL,1610612747,2021-01-23,101,90,0.456,0.211,0.806,42,19,4,0.75,1.0,1598.682739122525,1497.2371097847608,1,24.38927210610232,1.2,4.91,1
67,CHI,1610612741,2021-01-23,90,101,0.393,0.32,0.727,45,19,1,0.4666666666666667,0.4,1497.2371097847608,1598.682739122525,3,18.64557728953916,4.91,1.2,0
68,DEN,1610612743,2021-01-23,120,112,0.412,0.417,0.781,65,18,3,0.5333333333333333,0.6666666666666666,1539.676929629295,1517.9438605372832,2,22.62001331880583,1.97,1.88,1
69,PHX,1610612756,2021-01-23,112,120,0.402,0.302,0.778,50,10,4,0.5714285714285714,0.6,1517.9438605372832,1539.676929629295,-1,17.152264580449327,1.88,1.97,0
70,HOU,1610612745,2021-01-23,133,108,0.547,0.432,0.793,52,14,5,0.35714285714285715,0.2857142857142857,1472.1720834991818,1514.5410813175436,1,14.96940169807863,3.44,1.34,1
71,DAL,1610612742,2021-01-23,108,133,0.446,0.2,0.725,36,10,4,0.5333333333333333,0.5,1514.5410813175436,1472.1720834991818,2,17.744545178565215,1.34,3.44,0
72,LAC,1610612746,2021-01-24,108,100,0.446,0.304,0.75,46,10,2,0.75,0.7777777777777778,1579.8658064955855,1450.5982195784434,6,22.11878499182833,1.1,7.6,1
73,OKC,1610612760,2021-01-24,100,108,0.442,0.2,0.643,51,13,2,0.42857142857142855,0.625,1450.5982195784434,1579.8658064955855,-2,17.45919367199056,7.6,1.1,0
74,MIA,1610612748,2021-01-25,85,98,0.369,0.256,0.706,45,14,7,0.4,0.25,1460.8459413856476,1526.2734928270713,-2,18.531564965041795,3.63,1.31,0
