,GAME_DATE,TEAM_A_ID,TEAM_B_ID,TEAM_A,TEAM_B,TEAM_A_PTS,TEAM_B_PTS,TEAM_A_ODDS,TEAM_B_ODDS
0,2008-10-28 22:30:00,1610612741,1610612749,Chicago Bulls,Milwaukee Bucks,108,95,1.36,3.20
1,2008-10-28 22:00:00,1610612738,1610612739,Boston Celtics,Cleveland Cavaliers,90,85,1.36,3.15
2,2008-10-29 22:30:00,1610612745,1610612763,Houston Rockets,Memphis Grizzlies,82,71,1.10,7.80
3,2008-10-29 22:00:00,1610612765,1610612754,Detroit Pistons,Indiana Pacers,100,94,1.13,5.75
4,2008-10-29 22:00:00,1610612750,1610612758,Minnesota Timberwolves,Sacramento Kings,98,96,1.44,2.80
5,2008-10-29 22:00:00,1610612760,1610612749,Oklahoma City Thunder,Milwaukee Bucks,87,98,1.68,2.18
6,2008-10-29 22:00:00,1610612759,1610612756,San Antonio Spurs,Phoenix Suns,98,103,1.75,2.08
7,2008-10-29 21:30:00,1610612752,1610612748,New York Knicks,Miami Heat,120,115,1.68,2.18
8,2008-10-29 21:00:00,1610612753,1610612737,Orlando Magic,Atlanta Hawks,85,99,1.25,3.95
9,2008-10-29 21:00:00,1610612764,1610612751,Washington Wizards,Brooklyn Nets,85,95,1.37,3.10
10,2008-10-30 20:00:00,1610612755,1610612761,Philadelphia 76ers,Toronto Raptors,84,95,1.46,2.72
11,2008-10-30 00:30:00,1610612747,1610612757,Los Angeles Lakers,Portland Trail Blazers,96,76,1.27,3.85
12,2008-10-29 23:00:00,1610612762,1610612743,Utah Jazz,Denver Nuggets,98,94,1.27,3.85
13,2008-10-30 22:00:00,1610612742,1610612745,Dallas Mavericks,Houston Rockets,102,112,1.52,2.54
14,2008-10-30 21:00:00,1610612739,1610612766,Cleveland Cavaliers,Charlotte Hornets,96,79,1.14,5.50
15,2008-10-31 00:30:00,1610612744,1610612740,Golden State Warriors,New Orleans Pelicans,103,108,3.35,1.32
16,2008-10-31 00:30:00,1610612746,1610612747,Los Angeles Clippers,Los Angeles Lakers,79,117,5.20,1.15
17,2008-10-31 22:00:00,1610612738,1610612741,Boston Celtics,Chicago Bulls,96,80,-,-
18,2008-10-31 22:00:00,1610612763,1610612753,Memphis Grizzlies,Orlando Magic,86,84,-,-
19,2008-10-31 21:30:00,1610612748,1610612758,Miami Heat,Sacramento Kings,103,77,-,-
20,2008-10-31 21:00:00,1610612755,1610612752,Philadelphia 76ers,New York Knicks,116,87,-,-
21,2008-10-31 21:00:00,1610612761,1610612744,Toronto Raptors,Golden State Warriors,112,108,-,-
22,2008-11-01 00:30:00,1610612756,1610612740,Phoenix Suns,New Orleans Pelicans,95,108,1.60,2.33
23,2008-11-01 22:30:00,1610612741,1610612763,Chicago Bulls,Memphis Grizzlies,96,86,-,-
24,2008-11-01 22:30:00,1610612745,1610612760,Houston Rockets,Oklahoma City Thunder,89,77,-,-
25,2008-11-01 22:30:00,1610612749,1610612761,Milwaukee Bucks,Toronto Raptors,87,91,-,-
26,2008-11-01 22:00:00,1610612750,1610612742,Minnesota Timberwolves,Dallas Mavericks,85,95,-,-
27,2008-11-01 22:00:00,1610612740,1610612739,New Orleans Pelicans,Cleveland Cavaliers,104,92,-,-
28,2008-11-01 21:30:00,1610612751,1610612744,Brooklyn Nets,Golden State Warriors,97,105,-,-
29,2008-11-01 21:30:00,1610612765,1610612764,Detroit Pistons,Washington Wizards,117,109,-,-
30,2008-11-01 21:00:00,1610612737,1610612755,Atlanta Hawks,Philadelphia 76ers,95,88,-,-
31,2008-11-01 21:00:00,1610612766,1610612748,Charlotte Hornets,Miami Heat,100,87,-,-
32,2008-11-01 21:00:00,1610612754,1610612738,Indiana Pacers,Boston Celtics,95,79,-,-
33,2008-11-01 21:00:00,1610612753,1610612758,Orlando Magic,Sacramento Kings,121,103,-,-
34,2008-11-02 00:30:00,1610612746,1610612743,Los Angeles Clippers,Denver Nuggets,103,113,-,-
35,2008-11-02 00:30:00,1610612757,1610612759,Portland Trail Blazers,San Antonio Spurs,100,99,-,-
36,2008-11-02 22:00:00,1610612760,1610612750,Oklahoma City Thunder,Minnesota Timberwolves,88,85,-,-
37,2008-11-02 21:00:00,1610612752,1610612749,New York Knicks,Milwaukee Bucks,86,94,-,-
38,2008-11-03 00:00:00,1610612756,1610612757,Phoenix Suns,Portland Trail Blazers,107,96,-,-
39,2008-11-02 23:00:00,1610612762,1610612746,Utah Jazz,Los Angeles Clippers,101,79,-,-
40,2008-11-03 22:00:00,1610612766,1610612765,Charlotte Hornets,Detroit Pistons,83,101,2.52,1.52
41,2008-11-03 22:00:00,1610612753,1610612741,Orlando Magic,Chicago Bulls,96,93,1.31,3.45
42,2008-11-03 22:00:00,1610612755,1610612758,Philadelphia 76ers,Sacramento Kings,125,91,1.07,7.00
43,2008-11-04 22:30:00,1610612751,1610612756,Brooklyn Nets,Phoenix Suns,86,114,3.40,1.32
44,2008-11-05 01:30:00,1610612746,1610612762,Los Angeles Clippers,Utah Jazz,73,89,3.27,1.34
45,2008-11-04 23:30:00,1610612742,1610612739,Dallas Mavericks,Cleveland Cavaliers,81,100,1.60,2.33
46,2008-11-04 23:00:00,1610612763,1610612744,Memphis Grizzlies,Golden State Warriors,90,79,2.08,1.75
47,2008-11-05 22:30:00,1610612748,1610612755,Miami Heat,Philadelphia 76ers,106,83,-,-
48,2008-11-05 22:30:00,1610612752,1610612766,New York Knicks,Charlotte Hornets,101,98,-,-
49,2008-11-05 22:00:00,1610612754,1610612756,Indiana Pacers,Phoenix Suns,103,113,-,-
50,2008-11-05 22:00:00,1610612761,1610612765,Toronto Raptors,Detroit Pistons,93,100,-,-
51,2008-11-05 23:30:00,1610612745,1610612738,Houston Rockets,Boston Celtics,99,103,1.65,2.24
52,2008-11-05 23:30:00,1610612759,1610612742,San Antonio Spurs,Dallas Mavericks,81,98,1.56,2.48
53,2008-11-06 01:30:00,1610612744,1610612743,Golden State Warriors,Denver Nuggets,111,101,-,-
54,2008-11-06 01:30:00,1610612747,1610612746,Los Angeles Lakers,Los Angeles Clippers,106,88,-,-
55,2008-11-06 01:00:00,1610612758,1610612763,Sacramento Kings,Memphis Grizzlies,100,95,-,-
56,2008-11-06 00:00:00,1610612762,1610612757,Utah Jazz,Portland Trail Blazers,103,96,-,-
57,2008-11-05 23:00:00,1610612739,1610612741,Cleveland Cavaliers,Chicago Bulls,107,93,-,-
58,2008-11-05 23:00:00,1610612749,1610612764,Milwaukee Bucks,Washington Wizards,112,104,-,-
59,2008-11-05 23:00:00,1610612750,1610612759,Minnesota Timberwolves,San Antonio Spurs,125,129,-,-
60,2008-11-05 23:00:00,1610612740,1610612737,New Orleans Pelicans,Atlanta Hawks,79,87,-,-
61,2008-11-05 23:00:00,1610612760,1610612738,Oklahoma City Thunder,Boston Celtics,83,96,-,-
62,2008-11-06 23:00:00,1610612753,1610612755,Orlando Magic,Philadelphia 76ers,98,88,-,-
