,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,PER_A,WINNER
0,POR,1610612757,2008-11-10,106,99,0.438,0.529,0.844,34,6,1,0.5,0.0,1482.2476125790008,1529.3285751661028,16.500163311982877,1
1,ORL,1610612753,2008-11-10,99,106,0.451,0.292,0.737,44,14,1,0.6666666666666666,0.8,1529.3285751661028,1482.2476125790008,16.845403146159867,0
2,NJN,1610612751,2008-11-10,94,99,0.465,0.52,0.75,39,19,6,0.4,0.5,1475.2738200719602,1519.4686403678163,11.734195882956131,0
3,MIA,1610612748,2008-11-10,99,94,0.443,0.44,0.813,31,13,3,0.5,1.0,1519.4686403678163,1475.2738200719602,17.97963014977169,1
4,TOR,1610612761,2008-11-10,87,94,0.429,0.421,0.722,39,16,2,0.6666666666666666,0.75,1510.114947299853,1546.1355005105072,14.716335102525663,0
5,BOS,1610612738,2008-11-10,94,87,0.438,0.3,0.889,39,11,2,0.8571428571428571,1.0,1546.1355005105072,1510.114947299853,14.954283686607564,1
6,MEM,1610612763,2008-11-10,102,107,0.442,0.267,0.88,39,16,4,0.42857142857142855,0.2,1483.413865134259,1526.8941181726723,11.7610691269604,0
7,PHX,1610612756,2008-11-10,107,102,0.487,0.381,0.893,38,19,5,0.7142857142857143,0.5,1526.8941181726723,1483.413865134259,16.27702917909574,1
8,IND,1610612754,2008-11-10,107,99,0.482,0.286,0.724,41,11,10,0.4,0.6666666666666666,1507.5717038296411,1461.9923744851858,15.471256574672456,1
9,OKC,1610612760,2008-11-10,99,107,0.387,0.455,0.846,51,18,5,0.16666666666666666,0.0,1461.9923744851858,1507.5717038296411,10.595918109978165,0
10,CLE,1610612739,2008-11-11,99,93,0.486,0.15,0.813,36,10,6,0.7142857142857143,1.0,1539.8579447791674,1490.97708598499,15.02944045608476,1
11,MIL,1610612749,2008-11-11,93,99,0.38,0.438,0.839,45,17,2,0.42857142857142855,0.5,1490.97708598499,1539.8579447791674,11.473032181287333,0
