,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
0,HOU,1610612745,2017-10-28,89,103,0.377,0.368,0.81,43,19,3,0.8333333333333334,1.0,1531.6738366478203,1523.9308947879597,2,14.754203011062158,0
1,MEM,1610612763,2017-10-28,103,89,0.471,0.424,0.75,42,9,6,0.8,1.0,1523.9308947879597,1531.6738366478203,1,14.534613542046428,1
2,PHI,1610612755,2017-10-30,115,107,0.55,0.417,0.708,48,21,4,0.3333333333333333,0.5,1475.3854496910385,1518.4436110223742,1,16.126927309656647,1
3,HOU,1610612745,2017-10-30,107,115,0.398,0.277,0.737,35,15,3,0.7142857142857143,0.5,1518.4436110223742,1475.3854496910385,-1,17.846239340454172,0
4,CHA,1610612766,2017-11-01,126,121,0.536,0.56,0.759,41,11,3,0.5714285714285714,0.75,1513.8736944536788,1495.7859138565868,2,12.786622442892291,1
5,MIL,1610612749,2017-11-01,121,126,0.495,0.528,0.8,40,14,3,0.5714285714285714,1.0,1495.7859138565868,1513.8736944536788,-1,17.907806896569763,0
6,BKN,1610612751,2017-11-06,98,92,0.402,0.25,0.69,48,16,4,0.3333333333333333,0.0,1456.951679926253,1447.8558334427082,-4,16.854211384263024,1
7,PHX,1610612756,2017-11-06,92,98,0.349,0.24,0.743,52,17,7,0.4,0.5,1447.8558334427082,1456.951679926253,-2,16.55834768208276,0
8,CLE,1610612739,2017-11-07,124,119,0.5,0.5,0.868,39,13,4,0.4,0.3333333333333333,1462.3228360981525,1480.3114314412014,-1,15.682456945813676,1
9,MIL,1610612749,2017-11-07,119,124,0.566,0.433,0.75,36,16,8,0.4444444444444444,0.5,1480.3114314412014,1462.3228360981525,-3,19.783961068667796,0
