,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,WINNER
0,NYK,1610612752,2018-10-26,100,128,0.433,0.333,0.75,40,20,1,0.2,0.5,1477.0847415992882,-4,21.508939473281373,0
1,GSW,1610612744,2018-10-26,128,100,0.586,0.485,0.833,39,14,6,0.8,0.5,1539.8482928264218,2,19.31772577821296,1
2,CHA,1610612766,2018-10-27,103,105,0.389,0.257,0.833,48,9,8,0.5,0.5,1520.8103183441888,1,20.895442128008494,0
3,PHI,1610612755,2018-10-27,105,103,0.385,0.357,0.833,56,11,8,0.4,1.0,1489.1858290875773,-2,19.29111927477877,1
4,IND,1610612754,2018-10-27,119,107,0.649,0.385,0.692,24,15,3,0.6,0.3333333333333333,1525.5842758986673,1,15.229451745043153,1
5,CLE,1610612739,2018-10-27,107,119,0.465,0.28,0.909,39,18,2,0.0,0.0,1441.9717095784263,-5,15.009628275948979,0
6,MIL,1610612749,2018-10-27,113,91,0.5,0.333,0.913,57,21,7,1.0,1.0,1560.7203687939455,5,18.42239487915216,1
7,ORL,1610612753,2018-10-27,91,113,0.327,0.233,0.882,41,11,6,0.4,0.5,1472.9815540404581,-1,12.992684096262845,0
8,WAS,1610612764,2018-10-28,104,136,0.392,0.185,0.821,45,14,3,0.2,0.3333333333333333,1472.860881419096,-2,15.625078278645956,0
9,LAC,1610612746,2018-10-28,136,104,0.544,0.552,0.615,57,15,9,0.6,0.6666666666666666,1516.9318187998454,1,14.614557501960372,1
10,UTA,1610612762,2018-10-28,113,104,0.525,0.4,0.864,43,18,6,0.6,1.0,1524.3969710920921,2,18.459536755483978,1
11,DAL,1610612742,2018-10-28,104,113,0.418,0.321,0.76,43,13,3,0.4,1.0,1481.0344478633108,-2,16.636589651676967,0
12,ATL,1610612737,2018-10-29,92,113,0.372,0.216,0.667,47,15,3,0.4,0.3333333333333333,1484.3965078222416,-1,19.741986312343297,0
13,PHI,1610612755,2018-10-29,113,92,0.414,0.298,0.944,64,19,9,0.5,1.0,1494.5930933256586,1,16.73247229411355,1
14,DAL,1610612742,2018-10-29,108,113,0.473,0.294,0.706,49,23,3,0.3333333333333333,0.0,1472.7950288703023,-3,16.314684822393037,0
15,SAS,1610612759,2018-10-29,113,108,0.462,0.45,0.952,41,17,2,0.6,0.6666666666666666,1489.17802557942,1,15.204969262579548,1
16,GSW,1610612744,2018-10-29,149,124,0.552,0.533,0.731,49,7,7,0.8571428571428571,0.75,1562.1366043151434,4,20.81881964041164,1
17,CHI,1610612741,2018-10-29,124,149,0.489,0.314,0.618,44,9,3,0.3333333333333333,0.5,1470.8683957841506,1,15.736092653303967,0
18,NYK,1610612752,2018-10-29,115,96,0.489,0.375,0.889,53,16,3,0.16666666666666666,0.3333333333333333,1460.8199296651485,-5,17.949191087357736,1
19,BKN,1610612751,2018-10-29,96,115,0.405,0.289,0.773,32,10,7,0.3333333333333333,0.25,1486.381941862317,-2,13.723226113256764,0
20,MIA,1610612748,2018-10-29,113,123,0.413,0.333,0.706,52,18,9,0.6,0.6666666666666666,1523.200198835619,2,17.30701153167107,0
